****************
timestamp: 2023-12-12 18:23:56.488472
initializing training...
device: cuda
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: cowboy16_iso2_v7
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 12001 epochs...
[100/12001]	 3.125it/s	 time: 0:00:32~1:03:28	 loss: 2547.803>18.214	 lr: 3.474e-05 ▲
[200/12001]	 3.077it/s	 time: 0:01:05~1:03:54	 loss: 260.727>17.557	 lr: 5.924e-05 ▲
[300/12001]	 3.093it/s	 time: 0:01:37~1:03:02	 loss: 3006.443>17.179	 lr: 8.375e-05 ▲
[400/12001]	 3.101it/s	 time: 0:02:09~1:02:21	 loss: 877.995>17.179	 lr: 0.00010824 ▲
[500/12001]	 3.106it/s	 time: 0:02:41~1:01:43	 loss: 407.763>16.405	 lr: 0.00013275 ▲
[600/12001]	 3.109it/s	 time: 0:03:13~1:01:07	 loss: 351.146>16.405	 lr: 0.00015724 ▲
[700/12001]	 3.111it/s	 time: 0:03:45~1:00:32	 loss: 72.967>16.405	 lr: 0.00018174 ▲
[800/12001]	 3.113it/s	 time: 0:04:17~0:59:58	 loss: 24.343>15.035	 lr: 0.00020625 ▲
[900/12001]	 3.114it/s	 time: 0:04:49~0:59:24	 loss: 58.878>14.615	 lr: 0.00023074 ▲
[1000/12001]	 3.096it/s	 time: 0:05:23~0:59:12	 loss: 23.021>12.376	 lr: 0.00025524 ▲
model [cowboy16_iso2_v7_cp1000] saved to _checkpoints...
[1100/12001]	 3.073it/s	 time: 0:05:58~0:59:07	 loss: 158.91>12.241	 lr: 0.00027975 ▲
[1200/12001]	 3.053it/s	 time: 0:06:33~0:58:56	 loss: 16.195>9.372	 lr: 0.00030425 ▲
[1300/12001]	 3.059it/s	 time: 0:07:05~0:58:18	 loss: 10.628>8.766	 lr: 0.00032875 ▲
[1400/12001]	 3.057it/s	 time: 0:07:38~0:57:47	 loss: 10.325>7.532	 lr: 0.00035324 ▲
[1500/12001]	 3.061it/s	 time: 0:08:10~0:57:10	 loss: 8.916>7.414	 lr: 0.00037774 ▲
[1600/12001]	 3.065it/s	 time: 0:08:42~0:56:33	 loss: 8.627>7.196	 lr: 0.00040224 ▲
[1700/12001]	 3.069it/s	 time: 0:09:14~0:55:56	 loss: 8.004>6.439	 lr: 0.00042675 ▲
[1800/12001]	 3.072it/s	 time: 0:09:46~0:55:20	 loss: 7.948>6.049	 lr: 0.00045125 ▲
[1900/12001]	 3.074it/s	 time: 0:10:18~0:54:45	 loss: 6.9>5.245	 lr: 0.00047574 ▲
[2000/12001]	 3.077it/s	 time: 0:10:50~0:54:09	 loss: 6.582>5.245	 lr: 0.00049976 ▲
model [cowboy16_iso2_v7_cp2000] saved to _checkpoints...
[2100/12001]	 3.079it/s	 time: 0:11:22~0:53:35	 loss: 6.21>4.938	 lr: 0.00047526 ▼
[2200/12001]	 3.081it/s	 time: 0:11:54~0:53:00	 loss: 5.784>4.56	 lr: 0.00045075 ▼
[2300/12001]	 3.079it/s	 time: 0:12:27~0:52:30	 loss: 5.605>4.405	 lr: 0.00042625 ▼
[2400/12001]	 3.077it/s	 time: 0:13:00~0:51:59	 loss: 5.471>4.262	 lr: 0.00040176 ▼
[2500/12001]	 3.083it/s	 time: 0:13:31~0:51:21	 loss: 4.65>3.783	 lr: 0.00037726 ▼
[2600/12001]	 3.081it/s	 time: 0:14:04~0:50:51	 loss: 4.35>3.454	 lr: 0.00035276 ▼
[2700/12001]	 3.086it/s	 time: 0:14:35~0:50:13	 loss: 3.97>3.118	 lr: 0.00032825 ▼
[2800/12001]	 3.087it/s	 time: 0:15:07~0:49:40	 loss: 3.879>2.913	 lr: 0.00030375 ▼
[2900/12001]	 3.092it/s	 time: 0:15:38~0:49:03	 loss: 3.597>2.788	 lr: 0.00027926 ▼
[3000/12001]	 3.09it/s	 time: 0:16:11~0:48:33	 loss: 3.469>2.684	 lr: 0.00025476 ▼
model [cowboy16_iso2_v7_cp3000] saved to _checkpoints...
[3100/12001]	 3.091it/s	 time: 0:16:43~0:47:59	 loss: 3.177>2.393	 lr: 0.00023026 ▼
[3200/12001]	 3.092it/s	 time: 0:17:15~0:47:26	 loss: 3.185>2.335	 lr: 0.00020575 ▼
[3300/12001]	 3.093it/s	 time: 0:17:47~0:46:52	 loss: 2.919>2.208	 lr: 0.00018125 ▼
[3400/12001]	 3.097it/s	 time: 0:18:18~0:46:17	 loss: 2.827>2.14	 lr: 0.00015676 ▼
[3500/12001]	 3.095it/s	 time: 0:18:51~0:45:46	 loss: 2.659>2.045	 lr: 0.00013226 ▼
[3600/12001]	 3.098it/s	 time: 0:19:22~0:45:11	 loss: 2.606>2.038	 lr: 0.00010776 ▼
[3700/12001]	 3.091it/s	 time: 0:19:57~0:44:45	 loss: 2.538>1.88	 lr: 8.325e-05 ▼
[3800/12001]	 3.089it/s	 time: 0:20:30~0:44:14	 loss: 2.462>1.88	 lr: 5.875e-05 ▼
[3900/12001]	 3.093it/s	 time: 0:21:01~0:43:39	 loss: 2.414>1.838	 lr: 3.426e-05 ▼
[4000/12001]	 3.094it/s	 time: 0:21:33~0:43:06	 loss: 2.37>1.785	 lr: 1.012e-05 ▼
model [cowboy16_iso2_v7_cp4000] saved to _checkpoints...
[4100/12001]	 3.094it/s	 time: 0:22:05~0:42:33	 loss: 2.32>1.782	 lr: 2.237e-05 ▲
[4200/12001]	 3.095it/s	 time: 0:22:37~0:42:00	 loss: 2.327>1.773	 lr: 3.462e-05 ▲
[4300/12001]	 3.096it/s	 time: 0:23:09~0:41:27	 loss: 2.324>1.773	 lr: 4.687e-05 ▲
