****************
timestamp: 2023-12-14 22:20:27.205316
initializing training...
device: cuda
forcing cuDNN initialization...
****************
timestamp: 2023-12-14 22:54:25.204727
initializing training...
device: cuda
forcing cuDNN initialization...
****************
timestamp: 2023-12-14 22:58:09.483782
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 0
training new model from scratch...
model: cowboy16_iso3_v0
type: 6
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 20001 epochs...
[100/20001]	 2.941it/s	 time: 0:00:34~1:52:45	 loss: 1869.853>15.717	 lr: 3.474e-05 ▲
[200/20001]	 3.125it/s	 time: 0:01:04~1:45:36	 loss: 1574.008>14.066	 lr: 5.924e-05 ▲
[300/20001]	 3.158it/s	 time: 0:01:35~1:43:58	 loss: 1402.341>14.066	 lr: 8.375e-05 ▲
[400/20001]	 3.2it/s	 time: 0:02:05~1:42:05	 loss: 1370.575>14.066	 lr: 0.00010824 ▲
[500/20001]	 3.205it/s	 time: 0:02:36~1:41:24	 loss: 1265.787>14.066	 lr: 0.00013275 ▲
[600/20001]	 3.209it/s	 time: 0:03:07~1:40:46	 loss: 1194.855>14.066	 lr: 0.00015724 ▲
[700/20001]	 3.226it/s	 time: 0:03:37~1:39:43	 loss: 1522.302>14.066	 lr: 0.00018174 ▲
[800/20001]	 3.226it/s	 time: 0:04:08~1:39:12	 loss: 6302.468>14.066	 lr: 0.00020625 ▲
[900/20001]	 3.237it/s	 time: 0:04:38~1:38:19	 loss: 550.207>14.066	 lr: 0.00023074 ▲
[1000/20001]	 3.247it/s	 time: 0:05:08~1:37:32	 loss: 1969.782>13.65	 lr: 0.00025524 ▲
[1100/20001]	 3.254it/s	 time: 0:05:38~1:36:47	 loss: 194.607>13.277	 lr: 0.00027975 ▲
[1200/20001]	 3.261it/s	 time: 0:06:08~1:36:05	 loss: 1281.018>12.112	 lr: 0.00030425 ▲
[1300/20001]	 3.266it/s	 time: 0:06:38~1:35:25	 loss: 1069.852>12.112	 lr: 0.00032875 ▲
[1400/20001]	 3.271it/s	 time: 0:07:08~1:34:46	 loss: 727.11>11.973	 lr: 0.00035324 ▲
[1500/20001]	 3.275it/s	 time: 0:07:38~1:34:08	 loss: 24983.763>11.059	 lr: 0.00037774 ▲
[1600/20001]	 3.272it/s	 time: 0:08:09~1:33:43	 loss: 492.024>9.928	 lr: 0.00040224 ▲
[1700/20001]	 3.276it/s	 time: 0:08:39~1:33:06	 loss: 16.211>8.518	 lr: 0.00042675 ▲
[1800/20001]	 3.273it/s	 time: 0:09:10~1:32:41	 loss: 24.26>7.796	 lr: 0.00045125 ▲
[1900/20001]	 3.282it/s	 time: 0:09:39~1:31:55	 loss: 12.888>7.447	 lr: 0.00047574 ▲
[2000/20001]	 3.284it/s	 time: 0:10:09~1:31:21	 loss: 10.337>7.403	 lr: 0.00049976 ▲
[2100/20001]	 3.286it/s	 time: 0:10:39~1:30:46	 loss: 10.578>6.254	 lr: 0.00047526 ▼
[2200/20001]	 3.284it/s	 time: 0:11:10~1:30:20	 loss: 15.742>6.146	 lr: 0.00045075 ▼
[2300/20001]	 3.286it/s	 time: 0:11:40~1:29:46	 loss: 11.599>5.641	 lr: 0.00042625 ▼
[2400/20001]	 3.288it/s	 time: 0:12:10~1:29:13	 loss: 7.531>5.129	 lr: 0.00040176 ▼
[2500/20001]	 3.289it/s	 time: 0:12:40~1:28:40	 loss: 27.026>5.129	 lr: 0.00037726 ▼
[2600/20001]	 3.291it/s	 time: 0:13:10~1:28:06	 loss: 23.643>5.129	 lr: 0.00035276 ▼
[2700/20001]	 3.293it/s	 time: 0:13:40~1:27:34	 loss: 7.774>4.587	 lr: 0.00032825 ▼
[2800/20001]	 3.294it/s	 time: 0:14:10~1:27:01	 loss: 6.372>4.367	 lr: 0.00030375 ▼
