****************
timestamp: 2024-01-15 09:39:16.793736
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 65
nca parameter count: 10496
nca isotropic type: 3
training new model from scratch...
model: cowboy16_quat_v0
type: 2
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 20001 epochs...
[100/20001]	 1.176it/s	 time: 0:01:25~4:41:55	 loss: 897.219>17.467	 lr: 3.474e-05 ▲
[200/20001]	 1.205it/s	 time: 0:02:46~4:33:54	 loss: 30.631>15.856	 lr: 5.924e-05 ▲
[300/20001]	 1.21it/s	 time: 0:04:08~4:31:25	 loss: 27.896>15.856	 lr: 8.375e-05 ▲
[400/20001]	 1.201it/s	 time: 0:05:33~4:31:57	 loss: 28.52>15.114	 lr: 0.00010824 ▲
[500/20001]	 1.196it/s	 time: 0:06:58~4:31:42	 loss: 52.952>14.974	 lr: 0.00013275 ▲
[600/20001]	 1.198it/s	 time: 0:08:21~4:29:59	 loss: 22.228>13.866	 lr: 0.00015724 ▲
[700/20001]	 1.195it/s	 time: 0:09:46~4:29:16	 loss: 15.174>10.334	 lr: 0.00018174 ▲
[800/20001]	 1.196it/s	 time: 0:11:09~4:27:35	 loss: 24.075>10.334	 lr: 0.00020625 ▲
[900/20001]	 1.198it/s	 time: 0:12:31~4:25:37	 loss: 13.689>9.452	 lr: 0.00023074 ▲
[1000/20001]	 1.2it/s	 time: 0:13:53~4:23:47	 loss: 11.207>8.385	 lr: 0.00025524 ▲
[1100/20001]	 1.2it/s	 time: 0:15:17~4:22:35	 loss: 10.588>8.179	 lr: 0.00027975 ▲
[1200/20001]	 1.199it/s	 time: 0:16:41~4:21:22	 loss: 9.595>7.537	 lr: 0.00030425 ▲
[1300/20001]	 1.199it/s	 time: 0:18:04~4:19:52	 loss: 8.648>7.135	 lr: 0.00032875 ▲
[1400/20001]	 1.199it/s	 time: 0:19:28~4:18:37	 loss: 8.633>6.414	 lr: 0.00035324 ▲
[1500/20001]	 1.199it/s	 time: 0:20:51~4:17:09	 loss: 7.788>6.264	 lr: 0.00037774 ▲
[1600/20001]	 1.199it/s	 time: 0:22:14~4:15:41	 loss: 7.376>5.8	 lr: 0.00040224 ▲
[1700/20001]	 1.2it/s	 time: 0:23:37~4:14:13	 loss: 7.13>5.8	 lr: 0.00042675 ▲
[1800/20001]	 1.199it/s	 time: 0:25:01~4:12:56	 loss: 6.734>5.675	 lr: 0.00045125 ▲
[1900/20001]	 1.198it/s	 time: 0:26:26~4:11:48	 loss: 6.424>5.394	 lr: 0.00047574 ▲
[2000/20001]	 1.198it/s	 time: 0:27:50~4:10:30	 loss: 6.246>5.381	 lr: 0.00049976 ▲
[2100/20001]	 1.197it/s	 time: 0:29:14~4:09:10	 loss: 5.968>5.141	 lr: 0.00047526 ▼
[2200/20001]	 1.198it/s	 time: 0:30:37~4:07:43	 loss: 5.7>4.834	 lr: 0.00045075 ▼
[2300/20001]	 1.197it/s	 time: 0:32:02~4:06:31	 loss: 5.566>4.514	 lr: 0.00042625 ▼
[2400/20001]	 1.197it/s	 time: 0:33:25~4:05:03	 loss: 5.134>4.343	 lr: 0.00040176 ▼
[2500/20001]	 1.197it/s	 time: 0:34:48~4:03:35	 loss: 5.038>4.265	 lr: 0.00037726 ▼
[2600/20001]	 1.197it/s	 time: 0:36:12~4:02:15	 loss: 4.783>4.157	 lr: 0.00035276 ▼
[2700/20001]	 1.197it/s	 time: 0:37:36~4:00:55	 loss: 4.634>4.067	 lr: 0.00032825 ▼
[2800/20001]	 1.197it/s	 time: 0:38:59~3:59:28	 loss: 4.551>3.92	 lr: 0.00030375 ▼
[2900/20001]	 1.197it/s	 time: 0:40:23~3:58:07	 loss: 4.413>3.823	 lr: 0.00027926 ▼
[3000/20001]	 1.197it/s	 time: 0:41:47~3:56:46	 loss: 4.376>3.676	 lr: 0.00025476 ▼
[3100/20001]	 1.196it/s	 time: 0:43:11~3:55:25	 loss: 3.92>3.396	 lr: 0.00023026 ▼
[3200/20001]	 1.197it/s	 time: 0:44:34~3:53:58	 loss: 3.845>3.316	 lr: 0.00020575 ▼
[3300/20001]	 1.197it/s	 time: 0:45:58~3:52:37	 loss: 3.8>3.316	 lr: 0.00018125 ▼
[3400/20001]	 1.196it/s	 time: 0:47:23~3:51:20	 loss: 3.721>3.246	 lr: 0.00015676 ▼
[3500/20001]	 1.195it/s	 time: 0:48:48~3:50:03	 loss: 3.521>3.112	 lr: 0.00013226 ▼
[3600/20001]	 1.196it/s	 time: 0:50:11~3:48:36	 loss: 3.507>2.966	 lr: 0.00010776 ▼
[3700/20001]	 1.195it/s	 time: 0:51:35~3:47:14	 loss: 3.43>2.93	 lr: 8.325e-05 ▼
[3800/20001]	 1.195it/s	 time: 0:52:59~3:45:52	 loss: 3.319>2.924	 lr: 5.875e-05 ▼
[3900/20001]	 1.195it/s	 time: 0:54:23~3:44:30	 loss: 3.299>2.871	 lr: 3.426e-05 ▼
[4000/20001]	 1.195it/s	 time: 0:55:46~3:43:03	 loss: 3.253>2.871	 lr: 1.012e-05 ▼
model [cowboy16_quat_v0_cp4000] saved to _checkpoints...
[4100/20001]	 1.195it/s	 time: 0:57:10~3:41:41	 loss: 3.177>2.779	 lr: 2.237e-05 ▲
[4200/20001]	 1.196it/s	 time: 0:58:33~3:40:15	 loss: 3.212>2.779	 lr: 3.462e-05 ▲
[4300/20001]	 1.195it/s	 time: 0:59:57~3:38:53	 loss: 3.237>2.779	 lr: 4.687e-05 ▲
[4400/20001]	 1.195it/s	 time: 1:01:21~3:37:30	 loss: 3.201>2.779	 lr: 5.912e-05 ▲
[4500/20001]	 1.195it/s	 time: 1:02:47~3:36:15	 loss: 3.194>2.779	 lr: 7.137e-05 ▲
[4600/20001]	 1.195it/s	 time: 1:04:09~3:34:45	 loss: 3.264>2.706	 lr: 8.362e-05 ▲
[4700/20001]	 1.195it/s	 time: 1:05:33~3:33:23	 loss: 3.232>2.706	 lr: 9.587e-05 ▲
[4800/20001]	 1.195it/s	 time: 1:06:57~3:32:00	 loss: 3.192>2.706	 lr: 0.00010812 ▲
[4900/20001]	 1.195it/s	 time: 1:08:21~3:30:37	 loss: 3.246>2.706	 lr: 0.00012037 ▲
[5000/20001]	 1.196it/s	 time: 1:09:42~3:29:06	 loss: 3.184>2.706	 lr: 0.00013262 ▲
[5100/20001]	 1.195it/s	 time: 1:11:06~3:27:43	 loss: 3.147>2.706	 lr: 0.00014487 ▲
[5200/20001]	 1.196it/s	 time: 1:12:28~3:26:15	 loss: 3.23>2.68	 lr: 0.00015712 ▲
[5300/20001]	 1.196it/s	 time: 1:13:51~3:24:49	 loss: 3.235>2.68	 lr: 0.00016937 ▲
[5400/20001]	 1.197it/s	 time: 1:15:13~3:23:21	 loss: 3.149>2.638	 lr: 0.00018162 ▲
[5500/20001]	 1.196it/s	 time: 1:16:37~3:21:59	 loss: 3.03>2.592	 lr: 0.00019387 ▲
[5600/20001]	 1.196it/s	 time: 1:18:02~3:20:39	 loss: 2.976>2.49	 lr: 0.00020612 ▲
[5700/20001]	 1.196it/s	 time: 1:19:27~3:19:19	 loss: 3.066>2.49	 lr: 0.00021837 ▲
[5800/20001]	 1.195it/s	 time: 1:20:52~3:17:59	 loss: 3.028>2.49	 lr: 0.00023062 ▲
[5900/20001]	 1.195it/s	 time: 1:22:16~3:16:36	 loss: 3.062>2.47	 lr: 0.00024287 ▲
[6000/20001]	 1.195it/s	 time: 1:23:39~3:15:10	 loss: 3.085>2.47	 lr: 0.00025488 ▲
[6100/20001]	 1.196it/s	 time: 1:25:01~3:13:43	 loss: 3.134>2.47	 lr: 0.00024263 ▼
[6200/20001]	 1.195it/s	 time: 1:26:27~3:12:25	 loss: 2.911>2.445	 lr: 0.00023038 ▼
[6300/20001]	 1.195it/s	 time: 1:27:51~3:11:02	 loss: 2.761>2.307	 lr: 0.00021813 ▼
