****************
timestamp: 2024-03-25 17:27:59.293527
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: earth_iso3_v0
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 32, 32, 32]
target.shape: [4, 4, 32, 32, 32]
starting training w/ 20001 epochs...
[100/20001]	 1.408it/s	 time: 0:01:11~3:55:29	 loss: 509.646>44.695	 lr: 3.474e-05 ▲
[200/20001]	 1.418it/s	 time: 0:02:21~3:52:39	 loss: 3287.593>36.78	 lr: 5.924e-05 ▲
[300/20001]	 1.429it/s	 time: 0:03:30~3:49:50	 loss: 44.895>36.78	 lr: 8.375e-05 ▲
[400/20001]	 1.434it/s	 time: 0:04:39~3:47:51	 loss: 81.072>34.739	 lr: 0.00010824 ▲
[500/20001]	 1.441it/s	 time: 0:05:47~3:45:33	 loss: 41.082>31.405	 lr: 0.00013275 ▲
[600/20001]	 1.442it/s	 time: 0:06:56~3:44:10	 loss: 49.574>25.161	 lr: 0.00015724 ▲
[700/20001]	 1.443it/s	 time: 0:08:05~3:42:52	 loss: 26.868>21.06	 lr: 0.00018174 ▲
[800/20001]	 1.444it/s	 time: 0:09:14~3:41:36	 loss: 29.976>19.862	 lr: 0.00020625 ▲
[900/20001]	 1.445it/s	 time: 0:10:23~3:40:21	 loss: 21.375>16.839	 lr: 0.00023074 ▲
[1000/20001]	 1.445it/s	 time: 0:11:32~3:39:07	 loss: 19.175>14.914	 lr: 0.00025524 ▲
[1100/20001]	 1.445it/s	 time: 0:12:41~3:37:55	 loss: 16.909>13.244	 lr: 0.00027975 ▲
