****************
timestamp: 2024-04-15 08:16:29.879241
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: maze16_aniso
type: ANISOTROPIC
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 25001 epochs...
[100/25001]	 3.226it/s	 time: 0:00:31~2:08:39	 loss: 498.839>20.036	 lr: 3.474e-05 ▲
[200/25001]	 3.279it/s	 time: 0:01:01~2:06:04	 loss: 23.256>20.036	 lr: 5.924e-05 ▲
[300/25001]	 3.297it/s	 time: 0:01:31~2:04:52	 loss: 22.893>20.036	 lr: 8.375e-05 ▲
[400/25001]	 3.306it/s	 time: 0:02:01~2:04:01	 loss: 59.693>20.036	 lr: 0.00010824 ▲
[500/25001]	 3.311it/s	 time: 0:02:31~2:03:19	 loss: 39.377>20.036	 lr: 0.00013275 ▲
[600/25001]	 3.333it/s	 time: 0:03:00~2:02:00	 loss: 78.145>20.036	 lr: 0.00015724 ▲
[700/25001]	 3.333it/s	 time: 0:03:30~2:01:30	 loss: 127.625>20.036	 lr: 0.00018174 ▲
[800/25001]	 3.333it/s	 time: 0:04:00~2:01:00	 loss: 22.06>19.253	 lr: 0.00020625 ▲
[900/25001]	 3.333it/s	 time: 0:04:30~2:00:30	 loss: 21.45>19.253	 lr: 0.00023074 ▲
[1000/25001]	 3.333it/s	 time: 0:05:00~2:00:00	 loss: 20.938>19.253	 lr: 0.00025524 ▲
[1100/25001]	 3.333it/s	 time: 0:05:30~1:59:30	 loss: 20.838>19.175	 lr: 0.00027975 ▲
[1200/25001]	 3.343it/s	 time: 0:05:59~1:58:40	 loss: 20.999>18.871	 lr: 0.00030425 ▲
[1300/25001]	 3.342it/s	 time: 0:06:29~1:58:11	 loss: 20.777>18.871	 lr: 0.00032875 ▲
[1400/25001]	 3.341it/s	 time: 0:06:59~1:57:43	 loss: 20.786>18.807	 lr: 0.00035324 ▲
