****************
timestamp: 2024-04-15 11:01:02.973916
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: maze16_iso3_v0
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 50001 epochs...
[100/50001]	 2.632it/s	 time: 0:00:38~5:16:01	 loss: 26.823>20.311	 lr: 3.474e-05 ▲
[200/50001]	 2.667it/s	 time: 0:01:15~5:11:15	 loss: 22.584>19.373	 lr: 5.924e-05 ▲
[300/50001]	 2.655it/s	 time: 0:01:53~5:12:00	 loss: 21.7>19.373	 lr: 8.375e-05 ▲
[400/50001]	 2.667it/s	 time: 0:02:30~5:10:00	 loss: 20.5>19.154	 lr: 0.00010824 ▲
[500/50001]	 2.66it/s	 time: 0:03:08~5:10:12	 loss: 19.604>18.293	 lr: 0.00013275 ▲
[600/50001]	 2.667it/s	 time: 0:03:45~5:08:45	 loss: 18.608>17.54	 lr: 0.00015724 ▲
[700/50001]	 2.672it/s	 time: 0:04:22~5:07:32	 loss: 18.406>17.244	 lr: 0.00018174 ▲
[800/50001]	 2.658it/s	 time: 0:05:01~5:08:31	 loss: 17.836>17.071	 lr: 0.00020625 ▲
[900/50001]	 2.655it/s	 time: 0:05:39~5:08:14	 loss: 17.435>16.411	 lr: 0.00023074 ▲
[1000/50001]	 2.653it/s	 time: 0:06:17~5:07:53	 loss: 17.011>16.131	 lr: 0.00025524 ▲
[1100/50001]	 2.651it/s	 time: 0:06:55~5:07:28	 loss: 16.844>15.681	 lr: 0.00027975 ▲
[1200/50001]	 2.655it/s	 time: 0:07:32~5:06:21	 loss: 16.24>15.004	 lr: 0.00030425 ▲
[1300/50001]	 2.653it/s	 time: 0:08:10~5:05:56	 loss: 15.776>14.828	 lr: 0.00032875 ▲
[1400/50001]	 2.647it/s	 time: 0:08:49~5:06:03	 loss: 15.915>14.773	 lr: 0.00035324 ▲
[1500/50001]	 2.65it/s	 time: 0:09:26~5:05:00	 loss: 15.565>14.565	 lr: 0.00037774 ▲
[1600/50001]	 2.653it/s	 time: 0:10:03~5:04:00	 loss: 15.391>14.484	 lr: 0.00040224 ▲
[1700/50001]	 2.652it/s	 time: 0:10:41~5:03:31	 loss: 14.97>13.982	 lr: 0.00042675 ▲
[1800/50001]	 2.655it/s	 time: 0:11:18~5:02:35	 loss: 14.758>13.882	 lr: 0.00045125 ▲
[1900/50001]	 2.654it/s	 time: 0:11:56~5:02:06	 loss: 14.519>13.252	 lr: 0.00047574 ▲
[2000/50001]	 2.656it/s	 time: 0:12:33~5:01:12	 loss: 14.639>13.252	 lr: 0.00049976 ▲
[2100/50001]	 2.658it/s	 time: 0:13:10~5:00:19	 loss: 13.643>11.754	 lr: 0.00047526 ▼
[2200/50001]	 2.657it/s	 time: 0:13:48~4:59:50	 loss: 12.953>10.968	 lr: 0.00045075 ▼
[2300/50001]	 2.659it/s	 time: 0:14:25~4:58:59	 loss: 12.591>10.945	 lr: 0.00042625 ▼
[2400/50001]	 2.661it/s	 time: 0:15:02~4:58:09	 loss: 11.399>9.932	 lr: 0.00040176 ▼
[2500/50001]	 2.657it/s	 time: 0:15:41~4:57:58	 loss: 10.696>9.714	 lr: 0.00037726 ▼
[2600/50001]	 2.658it/s	 time: 0:16:18~4:57:09	 loss: 10.376>8.733	 lr: 0.00035276 ▼
[2700/50001]	 2.657it/s	 time: 0:16:56~4:56:38	 loss: 10.059>8.733	 lr: 0.00032825 ▼
[2800/50001]	 2.654it/s	 time: 0:17:35~4:56:24	 loss: 9.929>8.733	 lr: 0.00030375 ▼
[2900/50001]	 2.653it/s	 time: 0:18:13~4:55:51	 loss: 9.42>8.016	 lr: 0.00027926 ▼
[3000/50001]	 2.655it/s	 time: 0:18:50~4:55:03	 loss: 9.449>8.016	 lr: 0.00025476 ▼
[3100/50001]	 2.656it/s	 time: 0:19:27~4:54:15	 loss: 9.541>8.016	 lr: 0.00023026 ▼
[3200/50001]	 2.66it/s	 time: 0:20:03~4:53:13	 loss: 9.049>8.016	 lr: 0.00020575 ▼
[3300/50001]	 2.659it/s	 time: 0:20:41~4:52:42	 loss: 8.533>7.537	 lr: 0.00018125 ▼
[3400/50001]	 2.658it/s	 time: 0:21:19~4:52:09	 loss: 8.845>7.537	 lr: 0.00015676 ▼
[3500/50001]	 2.656it/s	 time: 0:21:58~4:51:50	 loss: 8.947>7.537	 lr: 0.00013226 ▼
[3600/50001]	 2.657it/s	 time: 0:22:35~4:51:04	 loss: 8.632>7.37	 lr: 0.00010776 ▼
[3700/50001]	 2.656it/s	 time: 0:23:13~4:50:31	 loss: 8.207>7.308	 lr: 8.325e-05 ▼
[3800/50001]	 2.655it/s	 time: 0:23:51~4:49:57	 loss: 8.038>7.131	 lr: 5.875e-05 ▼
[3900/50001]	 2.655it/s	 time: 0:24:29~4:49:24	 loss: 7.854>7.107	 lr: 3.426e-05 ▼
[4000/50001]	 2.656it/s	 time: 0:25:06~4:48:39	 loss: 7.843>7.101	 lr: 1.012e-05 ▼
[4100/50001]	 2.655it/s	 time: 0:25:44~4:48:05	 loss: 7.682>7.017	 lr: 2.237e-05 ▲
[4200/50001]	 2.655it/s	 time: 0:26:22~4:47:31	 loss: 7.999>7.017	 lr: 3.462e-05 ▲
[4300/50001]	 2.654it/s	 time: 0:27:00~4:46:57	 loss: 7.834>7.017	 lr: 4.687e-05 ▲
[4400/50001]	 2.655it/s	 time: 0:27:37~4:46:12	 loss: 7.876>7.017	 lr: 5.912e-05 ▲
[4500/50001]	 2.653it/s	 time: 0:28:16~4:45:48	 loss: 7.918>7.017	 lr: 7.137e-05 ▲
[4600/50001]	 2.654it/s	 time: 0:28:53~4:45:03	 loss: 7.862>6.978	 lr: 8.362e-05 ▲
[4700/50001]	 2.654it/s	 time: 0:29:31~4:44:29	 loss: 8.159>6.978	 lr: 9.587e-05 ▲
[4800/50001]	 2.653it/s	 time: 0:30:09~4:43:54	 loss: 8.118>6.978	 lr: 0.00010812 ▲
[4900/50001]	 2.653it/s	 time: 0:30:47~4:43:19	 loss: 8.123>6.978	 lr: 0.00012037 ▲
[5000/50001]	 2.653it/s	 time: 0:31:25~4:42:45	 loss: 8.231>6.978	 lr: 0.00013262 ▲
model [maze16_iso3_v0_cp5000] saved to _checkpoints...
[5100/50001]	 2.652it/s	 time: 0:32:03~4:42:09	 loss: 8.271>6.978	 lr: 0.00014487 ▲
[5200/50001]	 2.653it/s	 time: 0:32:40~4:41:26	 loss: 8.617>6.978	 lr: 0.00015712 ▲
[5300/50001]	 2.654it/s	 time: 0:33:17~4:40:42	 loss: 8.105>6.978	 lr: 0.00016937 ▲
[5400/50001]	 2.654it/s	 time: 0:33:55~4:40:07	 loss: 7.835>6.978	 lr: 0.00018162 ▲
[5500/50001]	 2.653it/s	 time: 0:34:33~4:39:32	 loss: 7.995>6.893	 lr: 0.00019387 ▲
[5600/50001]	 2.652it/s	 time: 0:35:12~4:39:05	 loss: 8.042>6.893	 lr: 0.00020612 ▲
[5700/50001]	 2.651it/s	 time: 0:35:50~4:38:29	 loss: 8.009>6.893	 lr: 0.00021837 ▲
[5800/50001]	 2.651it/s	 time: 0:36:28~4:37:54	 loss: 8.071>6.893	 lr: 0.00023062 ▲
[5900/50001]	 2.65it/s	 time: 0:37:06~4:37:18	 loss: 8.042>6.882	 lr: 0.00024287 ▲
[6000/50001]	 2.65it/s	 time: 0:37:44~4:36:42	 loss: 7.982>6.882	 lr: 0.00025488 ▲
[6100/50001]	 2.651it/s	 time: 0:38:21~4:35:59	 loss: 7.97>6.882	 lr: 0.00024263 ▼
[6200/50001]	 2.651it/s	 time: 0:38:59~4:35:23	 loss: 8.365>6.882	 lr: 0.00023038 ▼
[6300/50001]	 2.65it/s	 time: 0:39:37~4:34:48	 loss: 7.957>6.742	 lr: 0.00021813 ▼
[6400/50001]	 2.65it/s	 time: 0:40:15~4:34:12	 loss: 9.708>6.742	 lr: 0.00020588 ▼
[6500/50001]	 2.649it/s	 time: 0:40:54~4:33:42	 loss: 8.049>6.742	 lr: 0.00019363 ▼
[6600/50001]	 2.648it/s	 time: 0:41:32~4:33:06	 loss: 7.422>6.65	 lr: 0.00018138 ▼
[6700/50001]	 2.648it/s	 time: 0:42:10~4:32:30	 loss: 7.476>6.65	 lr: 0.00016913 ▼
[6800/50001]	 2.648it/s	 time: 0:42:48~4:31:54	 loss: 7.248>6.561	 lr: 0.00015688 ▼
[6900/50001]	 2.648it/s	 time: 0:43:26~4:31:18	 loss: 7.597>6.561	 lr: 0.00014463 ▼
[7000/50001]	 2.649it/s	 time: 0:44:03~4:30:35	 loss: 7.226>6.52	 lr: 0.00013238 ▼
[7100/50001]	 2.648it/s	 time: 0:44:41~4:29:59	 loss: 6.995>6.433	 lr: 0.00012013 ▼
[7200/50001]	 2.647it/s	 time: 0:45:20~4:29:28	 loss: 7.202>6.433	 lr: 0.00010788 ▼
[7300/50001]	 2.647it/s	 time: 0:45:58~4:28:52	 loss: 6.984>6.427	 lr: 9.563e-05 ▼
[7400/50001]	 2.647it/s	 time: 0:46:36~4:28:15	 loss: 7.063>6.427	 lr: 8.338e-05 ▼
[7500/50001]	 2.646it/s	 time: 0:47:14~4:27:39	 loss: 7.047>6.392	 lr: 7.113e-05 ▼
[7600/50001]	 2.646it/s	 time: 0:47:52~4:27:02	 loss: 6.884>6.338	 lr: 5.888e-05 ▼
[7700/50001]	 2.647it/s	 time: 0:48:29~4:26:20	 loss: 6.974>6.31	 lr: 4.663e-05 ▼
[7800/50001]	 2.647it/s	 time: 0:49:07~4:25:44	 loss: 6.779>6.296	 lr: 3.438e-05 ▼
[7900/50001]	 2.646it/s	 time: 0:49:46~4:25:12	 loss: 6.72>6.252	 lr: 2.213e-05 ▼
[8000/50001]	 2.642it/s	 time: 0:50:28~4:24:57	 loss: 6.728>6.224	 lr: 1.006e-05 ▼
[8100/50001]	 2.621it/s	 time: 0:51:30~4:26:24	 loss: 6.721>6.224	 lr: 1.619e-05 ▲
[8200/50001]	 2.486it/s	 time: 0:54:58~4:40:11	 loss: 6.794>6.224	 lr: 2.231e-05 ▲
[8300/50001]	 2.357it/s	 time: 0:58:42~4:54:54	 loss: 6.727>6.224	 lr: 2.844e-05 ▲
[8400/50001]	 2.241it/s	 time: 1:02:28~5:09:21	 loss: 6.693>6.21	 lr: 3.456e-05 ▲
[8500/50001]	 2.142it/s	 time: 1:06:09~5:22:58	 loss: 6.778>6.21	 lr: 4.069e-05 ▲
[8600/50001]	 2.053it/s	 time: 1:09:50~5:36:10	 loss: 6.794>6.21	 lr: 4.681e-05 ▲
[8700/50001]	 1.974it/s	 time: 1:13:27~5:48:40	 loss: 6.709>6.21	 lr: 5.294e-05 ▲
[8800/50001]	 1.903it/s	 time: 1:17:05~6:00:53	 loss: 6.816>6.21	 lr: 5.906e-05 ▲
[8900/50001]	 1.838it/s	 time: 1:20:41~6:12:35	 loss: 6.763>6.21	 lr: 6.519e-05 ▲
[9000/50001]	 1.782it/s	 time: 1:24:11~6:23:30	 loss: 6.991>6.21	 lr: 7.131e-05 ▲
[9100/50001]	 1.728it/s	 time: 1:27:45~6:34:23	 loss: 6.82>6.21	 lr: 7.744e-05 ▲
[9200/50001]	 1.678it/s	 time: 1:31:22~6:45:11	 loss: 6.91>6.21	 lr: 8.356e-05 ▲
[9300/50001]	 1.632it/s	 time: 1:34:58~6:55:36	 loss: 6.828>6.21	 lr: 8.969e-05 ▲
[9400/50001]	 1.589it/s	 time: 1:38:34~7:05:43	 loss: 6.811>6.21	 lr: 9.581e-05 ▲
[9500/50001]	 1.549it/s	 time: 1:42:12~7:15:41	 loss: 6.949>6.21	 lr: 0.00010194 ▲
[9600/50001]	 1.512it/s	 time: 1:45:48~7:25:14	 loss: 6.76>6.21	 lr: 0.00010806 ▲
[9700/50001]	 1.478it/s	 time: 1:49:23~7:34:26	 loss: 6.883>6.21	 lr: 0.00011419 ▲
[9800/50001]	 1.446it/s	 time: 1:52:57~7:43:19	 loss: 6.937>6.21	 lr: 0.00012031 ▲
[9900/50001]	 1.415it/s	 time: 1:56:34~7:52:09	 loss: 7.368>6.21	 lr: 0.00012644 ▲
[10000/50001]	 1.386it/s	 time: 2:00:13~8:00:52	 loss: 6.87>6.21	 lr: 0.00013244 ▲
model [maze16_iso3_v0_cp10000] saved to _checkpoints...
[10100/50001]	 1.36it/s	 time: 2:03:44~8:08:48	 loss: 6.966>6.21	 lr: 0.00012631 ▼
[10200/50001]	 1.335it/s	 time: 2:07:18~8:16:43	 loss: 7.114>6.21	 lr: 0.00012019 ▼
[10300/50001]	 1.311it/s	 time: 2:10:55~8:24:36	 loss: 6.969>6.21	 lr: 0.00011406 ▼
[10400/50001]	 1.287it/s	 time: 2:14:40~8:32:46	 loss: 6.704>6.169	 lr: 0.00010794 ▼
[10500/50001]	 1.265it/s	 time: 2:18:18~8:40:16	 loss: 6.699>6.122	 lr: 0.00010181 ▼
[10600/50001]	 1.246it/s	 time: 2:21:50~8:47:11	 loss: 6.662>6.122	 lr: 9.569e-05 ▼
[10700/50001]	 1.225it/s	 time: 2:25:32~8:54:31	 loss: 6.611>6.122	 lr: 8.956e-05 ▼
[10800/50001]	 1.207it/s	 time: 2:29:08~9:01:17	 loss: 6.613>6.1	 lr: 8.344e-05 ▼
[10900/50001]	 1.189it/s	 time: 2:32:51~9:08:17	 loss: 6.604>6.088	 lr: 7.731e-05 ▼
[11000/50001]	 1.172it/s	 time: 2:36:26~9:14:37	 loss: 6.556>6.077	 lr: 7.119e-05 ▼
[11100/50001]	 1.156it/s	 time: 2:40:00~9:20:43	 loss: 6.603>6.056	 lr: 6.506e-05 ▼
[11200/50001]	 1.141it/s	 time: 2:43:32~9:26:31	 loss: 6.573>6.056	 lr: 5.894e-05 ▼
[11300/50001]	 1.127it/s	 time: 2:47:07~9:32:20	 loss: 6.603>6.009	 lr: 5.281e-05 ▼
[11400/50001]	 1.112it/s	 time: 2:50:51~9:38:29	 loss: 6.506>5.986	 lr: 4.669e-05 ▼
[11500/50001]	 1.099it/s	 time: 2:54:24~9:43:51	 loss: 6.531>5.986	 lr: 4.056e-05 ▼
[11600/50001]	 1.086it/s	 time: 2:58:02~9:49:21	 loss: 6.488>5.986	 lr: 3.444e-05 ▼
[11700/50001]	 1.073it/s	 time: 3:01:47~9:55:04	 loss: 6.429>5.986	 lr: 2.831e-05 ▼
[11800/50001]	 1.06it/s	 time: 3:05:29~10:00:27	 loss: 6.53>5.966	 lr: 2.219e-05 ▼
[11900/50001]	 1.048it/s	 time: 3:09:11~10:05:42	 loss: 6.536>5.966	 lr: 1.606e-05 ▼
[12000/50001]	 1.037it/s	 time: 3:12:47~10:10:28	 loss: 6.44>5.966	 lr: 1.003e-05 ▼
[12100/50001]	 1.027it/s	 time: 3:16:27~10:15:19	 loss: 6.461>5.966	 lr: 1.309e-05 ▲
[12200/50001]	 1.016it/s	 time: 3:20:05~10:19:55	 loss: 6.389>5.95	 lr: 1.616e-05 ▲
[12300/50001]	 1.006it/s	 time: 3:23:43~10:24:23	 loss: 6.423>5.95	 lr: 1.922e-05 ▲
[12400/50001]	 0.997it/s	 time: 3:27:14~10:28:23	 loss: 6.392>5.941	 lr: 2.228e-05 ▲
[12500/50001]	 0.988it/s	 time: 3:30:51~10:32:33	 loss: 6.417>5.941	 lr: 2.534e-05 ▲
[12600/50001]	 0.979it/s	 time: 3:34:28~10:36:35	 loss: 6.403>5.941	 lr: 2.841e-05 ▲
[12700/50001]	 0.971it/s	 time: 3:38:06~10:40:33	 loss: 6.388>5.941	 lr: 3.147e-05 ▲
[12800/50001]	 0.962it/s	 time: 3:41:42~10:44:18	 loss: 6.435>5.941	 lr: 3.453e-05 ▲
[12900/50001]	 0.955it/s	 time: 3:45:12~10:47:40	 loss: 6.53>5.941	 lr: 3.759e-05 ▲
[13000/50001]	 0.947it/s	 time: 3:48:51~10:51:20	 loss: 6.477>5.941	 lr: 4.066e-05 ▲
[13100/50001]	 0.939it/s	 time: 3:52:31~10:54:57	 loss: 6.495>5.941	 lr: 4.372e-05 ▲
[13200/50001]	 0.932it/s	 time: 3:56:09~10:58:21	 loss: 6.43>5.941	 lr: 4.678e-05 ▲
[13300/50001]	 0.925it/s	 time: 3:59:45~11:01:33	 loss: 6.439>5.941	 lr: 4.984e-05 ▲
[13400/50001]	 0.917it/s	 time: 4:03:25~11:04:51	 loss: 6.391>5.941	 lr: 5.291e-05 ▲
[13500/50001]	 0.911it/s	 time: 4:07:04~11:07:59	 loss: 6.515>5.941	 lr: 5.597e-05 ▲
[13600/50001]	 0.904it/s	 time: 4:10:43~11:11:02	 loss: 6.479>5.941	 lr: 5.903e-05 ▲
[13700/50001]	 0.898it/s	 time: 4:14:14~11:13:37	 loss: 6.475>5.941	 lr: 6.209e-05 ▲
[13800/50001]	 0.892it/s	 time: 4:17:43~11:16:02	 loss: 6.6>5.941	 lr: 6.516e-05 ▲
[13900/50001]	 0.887it/s	 time: 4:21:15~11:18:29	 loss: 6.485>5.941	 lr: 6.822e-05 ▲
[14000/50001]	 0.881it/s	 time: 4:24:44~11:20:44	 loss: 6.513>5.941	 lr: 7.122e-05 ▲
[14100/50001]	 0.876it/s	 time: 4:28:19~11:23:09	 loss: 6.457>5.941	 lr: 6.816e-05 ▼
[14200/50001]	 0.871it/s	 time: 4:31:52~11:25:24	 loss: 6.475>5.941	 lr: 6.509e-05 ▼
[14300/50001]	 0.866it/s	 time: 4:35:20~11:27:22	 loss: 6.428>5.941	 lr: 6.203e-05 ▼
[14400/50001]	 0.861it/s	 time: 4:38:54~11:29:30	 loss: 6.411>5.9	 lr: 5.897e-05 ▼
[14500/50001]	 0.855it/s	 time: 4:42:30~11:31:38	 loss: 6.47>5.9	 lr: 5.591e-05 ▼
[14600/50001]	 0.85it/s	 time: 4:46:12~11:33:56	 loss: 6.364>5.9	 lr: 5.284e-05 ▼
[14700/50001]	 0.846it/s	 time: 4:49:42~11:35:40	 loss: 6.518>5.865	 lr: 4.978e-05 ▼
[14800/50001]	 0.841it/s	 time: 4:53:21~11:37:41	 loss: 6.342>5.865	 lr: 4.672e-05 ▼
[14900/50001]	 0.837it/s	 time: 4:56:51~11:39:17	 loss: 6.351>5.865	 lr: 4.366e-05 ▼
[15000/50001]	 0.832it/s	 time: 5:00:19~11:40:44	 loss: 6.374>5.865	 lr: 4.059e-05 ▼
model [maze16_iso3_v0_cp15000] saved to _checkpoints...
[15100/50001]	 0.828it/s	 time: 5:03:48~11:42:09	 loss: 6.334>5.854	 lr: 3.753e-05 ▼
[15200/50001]	 0.824it/s	 time: 5:07:23~11:43:44	 loss: 6.342>5.854	 lr: 3.447e-05 ▼
[15300/50001]	 0.82it/s	 time: 5:10:59~11:45:18	 loss: 6.388>5.84	 lr: 3.141e-05 ▼
[15400/50001]	 0.816it/s	 time: 5:14:40~11:46:58	 loss: 6.3>5.84	 lr: 2.834e-05 ▼
[15500/50001]	 0.812it/s	 time: 5:18:13~11:48:17	 loss: 6.345>5.84	 lr: 2.528e-05 ▼
[15600/50001]	 0.808it/s	 time: 5:21:52~11:49:45	 loss: 6.313>5.84	 lr: 2.222e-05 ▼
[15700/50001]	 0.804it/s	 time: 5:25:25~11:50:56	 loss: 6.359>5.84	 lr: 1.916e-05 ▼
[15800/50001]	 0.8it/s	 time: 5:29:01~11:52:10	 loss: 6.272>5.84	 lr: 1.609e-05 ▼
[15900/50001]	 0.797it/s	 time: 5:32:29~11:53:03	 loss: 6.262>5.825	 lr: 1.303e-05 ▼
[16000/50001]	 0.794it/s	 time: 5:35:56~11:53:51	 loss: 6.257>5.814	 lr: 1.002e-05 ▼
[16100/50001]	 0.791it/s	 time: 5:39:19~11:54:27	 loss: 6.398>5.814	 lr: 1.155e-05 ▲
[16200/50001]	 0.788it/s	 time: 5:42:49~11:55:15	 loss: 6.252>5.814	 lr: 1.308e-05 ▲
[16300/50001]	 0.784it/s	 time: 5:46:26~11:56:14	 loss: 6.213>5.814	 lr: 1.461e-05 ▲
[16400/50001]	 0.781it/s	 time: 5:49:54~11:56:52	 loss: 6.302>5.814	 lr: 1.614e-05 ▲
[16500/50001]	 0.778it/s	 time: 5:53:34~11:57:50	 loss: 6.216>5.8	 lr: 1.767e-05 ▲
[16600/50001]	 0.775it/s	 time: 5:57:10~11:58:38	 loss: 6.277>5.8	 lr: 1.92e-05 ▲
