****************
timestamp: 2024-04-22 22:22:52.870828
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 85
nca parameter count: 13568
nca isotropic type: 3
training new model from scratch...
model: maze16_isoRmat_v0
type: ISO_ROT_MATRIX
channels: 20
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0001>1e-06 w/ 2000 step
seed.shape: [1, 20, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 25001 epochs...
[100/25001]	 0.649it/s	 time: 0:02:34~10:39:06	 loss: 121.863>23.364	 lr: 6e-06 ▲
[200/25001]	 0.671it/s	 time: 0:04:58~10:15:52	 loss: 39.304>22.419	 lr: 1.095e-05 ▲
[300/25001]	 0.683it/s	 time: 0:07:19~10:02:24	 loss: 31.296>20.516	 lr: 1.59e-05 ▲
[400/25001]	 0.683it/s	 time: 0:09:46~10:00:39	 loss: 27.423>19.744	 lr: 2.085e-05 ▲
[500/25001]	 0.685it/s	 time: 0:12:10~9:56:10	 loss: 23.199>19.744	 lr: 2.58e-05 ▲
[600/25001]	 0.686it/s	 time: 0:14:35~9:53:03	 loss: 23.95>19.744	 lr: 3.075e-05 ▲
[700/25001]	 0.688it/s	 time: 0:16:58~9:48:59	 loss: 26.504>19.744	 lr: 3.57e-05 ▲
[800/25001]	 0.688it/s	 time: 0:19:23~9:46:20	 loss: 24.668>19.744	 lr: 4.065e-05 ▲
[900/25001]	 0.69it/s	 time: 0:21:45~9:42:25	 loss: 29.137>19.744	 lr: 4.56e-05 ▲
[1000/25001]	 0.692it/s	 time: 0:24:06~9:38:24	 loss: 54.819>19.714	 lr: 5.055e-05 ▲
[1100/25001]	 0.693it/s	 time: 0:26:27~9:34:41	 loss: 60.369>19.714	 lr: 5.55e-05 ▲
[1200/25001]	 0.693it/s	 time: 0:28:51~9:32:11	 loss: 160.412>19.637	 lr: 6.045e-05 ▲
[1300/25001]	 0.694it/s	 time: 0:31:13~9:29:06	 loss: 185.297>18.77	 lr: 6.54e-05 ▲
[1400/25001]	 0.694it/s	 time: 0:33:37~9:26:40	 loss: 26.468>18.515	 lr: 7.035e-05 ▲
[1500/25001]	 0.695it/s	 time: 0:35:59~9:23:44	 loss: 22.732>17.811	 lr: 7.53e-05 ▲
[1600/25001]	 0.695it/s	 time: 0:38:23~9:21:21	 loss: 19.472>17.712	 lr: 8.025e-05 ▲
[1700/25001]	 0.695it/s	 time: 0:40:46~9:18:44	 loss: 21.881>17.321	 lr: 8.52e-05 ▲
[1800/25001]	 0.696it/s	 time: 0:43:06~9:15:30	 loss: 18.353>17.107	 lr: 9.015e-05 ▲
[1900/25001]	 0.696it/s	 time: 0:45:30~9:13:11	 loss: 18.072>17.084	 lr: 9.51e-05 ▲
