****************
timestamp: 2024-04-14 18:59:49.720254
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: maze25_aniso_nodmg
type: ANISOTROPIC
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 33, 33, 33]
target.shape: [4, 4, 33, 33, 33]
starting training w/ 50001 epochs...
[100/50001]	 1.031it/s	 time: 0:01:37~13:26:43	 loss: 14.957>14.786	 lr: 3.474e-05 ▲
[200/50001]	 1.047it/s	 time: 0:03:11~13:12:39	 loss: 14.953>14.729	 lr: 5.924e-05 ▲
[300/50001]	 1.045it/s	 time: 0:04:47~13:12:26	 loss: 16.265>14.729	 lr: 8.375e-05 ▲
[400/50001]	 1.055it/s	 time: 0:06:19~13:03:16	 loss: 16.202>14.703	 lr: 0.00010824 ▲
[500/50001]	 1.05it/s	 time: 0:07:56~13:05:24	 loss: 14.944>14.703	 lr: 0.00013275 ▲
[600/50001]	 1.049it/s	 time: 0:09:32~13:04:54	 loss: 14.923>14.607	 lr: 0.00015724 ▲
[700/50001]	 1.048it/s	 time: 0:11:08~13:04:06	 loss: 14.92>14.607	 lr: 0.00018174 ▲
[800/50001]	 1.047it/s	 time: 0:12:44~13:03:06	 loss: 15.711>14.607	 lr: 0.00020625 ▲
[900/50001]	 1.047it/s	 time: 0:14:20~13:01:57	 loss: 14.872>14.51	 lr: 0.00023074 ▲
[1000/50001]	 1.047it/s	 time: 0:15:55~12:59:55	 loss: 14.802>14.51	 lr: 0.00025524 ▲
[1100/50001]	 1.047it/s	 time: 0:17:31~12:58:41	 loss: 14.756>14.49	 lr: 0.00027975 ▲
[1200/50001]	 1.048it/s	 time: 0:19:05~12:56:03	 loss: 14.732>14.49	 lr: 0.00030425 ▲
[1300/50001]	 1.05it/s	 time: 0:20:38~12:52:57	 loss: 14.813>14.353	 lr: 0.00032875 ▲
[1400/50001]	 1.049it/s	 time: 0:22:15~12:52:23	 loss: 14.661>14.329	 lr: 0.00035324 ▲
[1500/50001]	 1.05it/s	 time: 0:23:48~12:49:32	 loss: 14.565>14.244	 lr: 0.00037774 ▲
[1600/50001]	 1.05it/s	 time: 0:25:24~12:48:21	 loss: 14.275>13.76	 lr: 0.00040224 ▲
[1700/50001]	 1.052it/s	 time: 0:26:56~12:45:13	 loss: 14.039>13.087	 lr: 0.00042675 ▲
[1800/50001]	 1.052it/s	 time: 0:28:31~12:43:36	 loss: 13.49>12.176	 lr: 0.00045125 ▲
[1900/50001]	 1.053it/s	 time: 0:30:05~12:41:35	 loss: 13.136>11.537	 lr: 0.00047574 ▲
[2000/50001]	 1.052it/s	 time: 0:31:41~12:40:24	 loss: 12.664>10.823	 lr: 0.00049976 ▲
[2100/50001]	 1.053it/s	 time: 0:33:14~12:38:02	 loss: 11.865>9.945	 lr: 0.00047526 ▼
[2200/50001]	 1.052it/s	 time: 0:34:51~12:37:11	 loss: 11.185>9.582	 lr: 0.00045075 ▼
[2300/50001]	 1.052it/s	 time: 0:36:26~12:35:35	 loss: 10.753>8.978	 lr: 0.00042625 ▼
[2400/50001]	 1.053it/s	 time: 0:37:59~12:33:20	 loss: 10.628>8.978	 lr: 0.00040176 ▼
[2500/50001]	 1.054it/s	 time: 0:39:33~12:31:27	 loss: 10.391>8.507	 lr: 0.00037726 ▼
[2600/50001]	 1.053it/s	 time: 0:41:08~12:29:53	 loss: 9.921>8.507	 lr: 0.00035276 ▼
[2700/50001]	 1.053it/s	 time: 0:42:43~12:28:19	 loss: 9.648>8.087	 lr: 0.00032825 ▼
[2800/50001]	 1.054it/s	 time: 0:44:17~12:26:29	 loss: 9.282>7.829	 lr: 0.00030375 ▼
[2900/50001]	 1.054it/s	 time: 0:45:52~12:24:56	 loss: 9.159>7.499	 lr: 0.00027926 ▼
[3000/50001]	 1.054it/s	 time: 0:47:26~12:23:07	 loss: 8.851>7.293	 lr: 0.00025476 ▼
[3100/50001]	 1.054it/s	 time: 0:49:01~12:21:34	 loss: 8.678>6.984	 lr: 0.00023026 ▼
[3200/50001]	 1.054it/s	 time: 0:50:37~12:20:16	 loss: 8.304>6.984	 lr: 0.00020575 ▼
[3300/50001]	 1.054it/s	 time: 0:52:10~12:18:14	 loss: 8.323>6.631	 lr: 0.00018125 ▼
[3400/50001]	 1.054it/s	 time: 0:53:47~12:17:08	 loss: 8.147>6.483	 lr: 0.00015676 ▼
[3500/50001]	 1.054it/s	 time: 0:55:22~12:15:35	 loss: 7.906>6.415	 lr: 0.00013226 ▼
[3600/50001]	 1.054it/s	 time: 0:56:57~12:14:01	 loss: 7.769>6.212	 lr: 0.00010776 ▼
[3700/50001]	 1.053it/s	 time: 0:58:33~12:12:39	 loss: 7.766>6.129	 lr: 8.325e-05 ▼
[3800/50001]	 1.054it/s	 time: 1:00:06~12:10:41	 loss: 7.652>6.044	 lr: 5.875e-05 ▼
[3900/50001]	 1.054it/s	 time: 1:01:41~12:09:07	 loss: 7.686>6.043	 lr: 3.426e-05 ▼
[4000/50001]	 1.053it/s	 time: 1:03:18~12:07:57	 loss: 7.517>5.81	 lr: 1.012e-05 ▼
[4100/50001]	 1.053it/s	 time: 1:04:54~12:06:33	 loss: 7.59>5.646	 lr: 2.237e-05 ▲
[4200/50001]	 1.053it/s	 time: 1:06:29~12:04:59	 loss: 7.458>5.646	 lr: 3.462e-05 ▲
