****************
timestamp: 2024-04-03 11:21:40.847369
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 65
nca parameter count: 10496
nca isotropic type: 3
training new model from scratch...
model: minicube5_quat_v1
type: QUATERNION
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 8
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 9, 9, 9]
target.shape: [8, 4, 9, 9, 9]
starting training w/ 5001 epochs...
[100/5001]	 0.322it/s	 time: 0:05:11~4:13:59	 loss: 57.308>21.316	 lr: 3.474e-05 ▲
[200/5001]	 0.323it/s	 time: 0:10:20~4:08:00	 loss: 83.905>21.316	 lr: 5.924e-05 ▲
[300/5001]	 0.324it/s	 time: 0:15:25~4:01:31	 loss: 10227.62>21.316	 lr: 8.375e-05 ▲
[400/5001]	 0.322it/s	 time: 0:20:41~3:57:51	 loss: 9907.8>21.316	 lr: 0.00010824 ▲
[500/5001]	 0.322it/s	 time: 0:25:53~3:52:57	 loss: 239.121>21.316	 lr: 0.00013275 ▲
[600/5001]	 0.322it/s	 time: 0:31:01~3:47:27	 loss: 12721.334>21.316	 lr: 0.00015724 ▲
[700/5001]	 0.322it/s	 time: 0:36:12~3:42:22	 loss: 12628.93>21.316	 lr: 0.00018174 ▲
[800/5001]	 0.322it/s	 time: 0:41:21~3:37:05	 loss: 24.917>20.816	 lr: 0.00020625 ▲
[900/5001]	 0.323it/s	 time: 0:46:30~3:31:50	 loss: 20.232>16.905	 lr: 0.00023074 ▲
[1000/5001]	 0.322it/s	 time: 0:51:44~3:26:55	 loss: 18.531>15.601	 lr: 0.00025524 ▲
[1100/5001]	 0.323it/s	 time: 0:56:47~3:21:19	 loss: 17.588>14.626	 lr: 0.00027975 ▲
[1200/5001]	 0.323it/s	 time: 1:01:54~3:16:01	 loss: 16.969>13.688	 lr: 0.00030425 ▲
[1300/5001]	 0.323it/s	 time: 1:06:59~3:10:38	 loss: 15.065>11.654	 lr: 0.00032875 ▲
[1400/5001]	 0.323it/s	 time: 1:12:08~3:05:29	 loss: 15.45>11.527	 lr: 0.00035324 ▲
