****************
timestamp: 2024-02-29 20:45:03.410771
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_cube_iso3_v3
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 20001 epochs...
[100/20001]	 2.703it/s	 time: 0:00:37~2:02:43	 loss: 650.66>14.215	 lr: 3.474e-05 ▲
[200/20001]	 2.74it/s	 time: 0:01:13~2:00:27	 loss: 16.956>13.594	 lr: 5.924e-05 ▲
[300/20001]	 2.778it/s	 time: 0:01:48~1:58:12	 loss: 16.644>13.401	 lr: 8.375e-05 ▲
[400/20001]	 2.778it/s	 time: 0:02:24~1:57:36	 loss: 16.241>12.594	 lr: 0.00010824 ▲
[500/20001]	 2.793it/s	 time: 0:02:59~1:56:21	 loss: 13.086>11.542	 lr: 0.00013275 ▲
[600/20001]	 2.804it/s	 time: 0:03:34~1:55:19	 loss: 11.582>10.111	 lr: 0.00015724 ▲
[700/20001]	 2.8it/s	 time: 0:04:10~1:54:52	 loss: 10.587>9.418	 lr: 0.00018174 ▲
[800/20001]	 2.797it/s	 time: 0:04:46~1:54:24	 loss: 9.699>8.732	 lr: 0.00020625 ▲
[900/20001]	 2.804it/s	 time: 0:05:21~1:53:32	 loss: 9.291>8.321	 lr: 0.00023074 ▲
[1000/20001]	 2.801it/s	 time: 0:05:57~1:53:03	 loss: 9.666>8.321	 lr: 0.00025524 ▲
[1100/20001]	 2.799it/s	 time: 0:06:33~1:52:32	 loss: 9.138>8.103	 lr: 0.00027975 ▲
[1200/20001]	 2.797it/s	 time: 0:07:09~1:52:01	 loss: 8.773>7.839	 lr: 0.00030425 ▲
[1300/20001]	 2.802it/s	 time: 0:07:44~1:51:14	 loss: 8.494>7.374	 lr: 0.00032875 ▲
[1400/20001]	 2.806it/s	 time: 0:08:19~1:50:29	 loss: 8.017>6.891	 lr: 0.00035324 ▲
[1500/20001]	 2.799it/s	 time: 0:08:56~1:50:10	 loss: 7.925>6.7	 lr: 0.00037774 ▲
[1600/20001]	 2.802it/s	 time: 0:09:31~1:49:26	 loss: 7.429>6.367	 lr: 0.00040224 ▲
[1700/20001]	 2.801it/s	 time: 0:10:07~1:48:54	 loss: 7.281>6.136	 lr: 0.00042675 ▲
[1800/20001]	 2.804it/s	 time: 0:10:42~1:48:11	 loss: 6.712>5.856	 lr: 0.00045125 ▲
[1900/20001]	 2.798it/s	 time: 0:11:19~1:47:48	 loss: 6.444>5.238	 lr: 0.00047574 ▲
[2000/20001]	 2.797it/s	 time: 0:11:55~1:47:15	 loss: 6.027>4.611	 lr: 0.00049976 ▲
[2100/20001]	 2.8it/s	 time: 0:12:30~1:46:32	 loss: 5.952>4.566	 lr: 0.00047526 ▼
[2200/20001]	 2.799it/s	 time: 0:13:06~1:45:59	 loss: 5.176>3.845	 lr: 0.00045075 ▼
[2300/20001]	 2.798it/s	 time: 0:13:42~1:45:25	 loss: 4.603>3.417	 lr: 0.00042625 ▼
[2400/20001]	 2.8it/s	 time: 0:14:17~1:44:44	 loss: 4.557>3.325	 lr: 0.00040176 ▼
[2500/20001]	 2.8it/s	 time: 0:14:53~1:44:10	 loss: 4.342>3.057	 lr: 0.00037726 ▼
[2600/20001]	 2.799it/s	 time: 0:15:29~1:43:37	 loss: 4.005>2.893	 lr: 0.00035276 ▼
[2700/20001]	 2.801it/s	 time: 0:16:04~1:42:56	 loss: 3.574>2.654	 lr: 0.00032825 ▼
[2800/20001]	 2.8it/s	 time: 0:16:40~1:42:22	 loss: 3.43>2.645	 lr: 0.00030375 ▼
[2900/20001]	 2.799it/s	 time: 0:17:16~1:41:48	 loss: 3.406>2.554	 lr: 0.00027926 ▼
[3000/20001]	 2.796it/s	 time: 0:17:53~1:41:20	 loss: 3.2>2.349	 lr: 0.00025476 ▼
[3100/20001]	 2.795it/s	 time: 0:18:29~1:40:45	 loss: 3.074>2.349	 lr: 0.00023026 ▼
