****************
timestamp: 2024-02-27 23:14:38.341217
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 90
nca parameter count: 13696
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_slice_iso3_v2
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.5it/s	 time: 0:00:40~1:06:00	 loss: 49.414>1.205	 lr: 3.474e-05 ▲
[200/10001]	 2.532it/s	 time: 0:01:19~1:04:30	 loss: 218.258>0.995	 lr: 5.924e-05 ▲
[300/10001]	 2.542it/s	 time: 0:01:58~1:03:35	 loss: 116.375>0.954	 lr: 8.375e-05 ▲
[400/10001]	 2.548it/s	 time: 0:02:37~1:02:48	 loss: 12.892>0.905	 lr: 0.00010824 ▲
[500/10001]	 2.538it/s	 time: 0:03:17~1:02:23	 loss: 1.213>0.749	 lr: 0.00013275 ▲
[600/10001]	 2.553it/s	 time: 0:03:55~1:01:21	 loss: 7.155>0.749	 lr: 0.00015724 ▲
[700/10001]	 2.555it/s	 time: 0:04:34~1:00:40	 loss: 0.968>0.721	 lr: 0.00018174 ▲
[800/10001]	 2.556it/s	 time: 0:05:13~0:59:59	 loss: 2.584>0.652	 lr: 0.00020625 ▲
[900/10001]	 2.557it/s	 time: 0:05:52~0:59:19	 loss: 0.778>0.604	 lr: 0.00023074 ▲
[1000/10001]	 2.558it/s	 time: 0:06:31~0:58:39	 loss: 0.73>0.568	 lr: 0.00025524 ▲
[1100/10001]	 2.552it/s	 time: 0:07:11~0:58:07	 loss: 0.653>0.546	 lr: 0.00027975 ▲
[1200/10001]	 2.559it/s	 time: 0:07:49~0:57:19	 loss: 0.734>0.546	 lr: 0.00030425 ▲
[1300/10001]	 2.559it/s	 time: 0:08:28~0:56:39	 loss: 0.635>0.493	 lr: 0.00032875 ▲
[1400/10001]	 2.555it/s	 time: 0:09:08~0:56:06	 loss: 0.562>0.483	 lr: 0.00035324 ▲
[1500/10001]	 2.555it/s	 time: 0:09:47~0:55:26	 loss: 0.583>0.477	 lr: 0.00037774 ▲
[1600/10001]	 2.552it/s	 time: 0:10:27~0:54:51	 loss: 0.546>0.446	 lr: 0.00040224 ▲
[1700/10001]	 2.556it/s	 time: 0:11:05~0:54:06	 loss: 0.59>0.446	 lr: 0.00042675 ▲
[1800/10001]	 2.553it/s	 time: 0:11:45~0:53:31	 loss: 0.518>0.439	 lr: 0.00045125 ▲
[1900/10001]	 2.55it/s	 time: 0:12:25~0:52:56	 loss: 0.54>0.424	 lr: 0.00047574 ▲
[2000/10001]	 2.551it/s	 time: 0:13:04~0:52:16	 loss: 0.542>0.424	 lr: 0.00049976 ▲
[2100/10001]	 2.552it/s	 time: 0:13:43~0:51:36	 loss: 0.487>0.409	 lr: 0.00047526 ▼
[2200/10001]	 2.552it/s	 time: 0:14:22~0:50:56	 loss: 0.492>0.409	 lr: 0.00045075 ▼
[2300/10001]	 2.556it/s	 time: 0:15:00~0:50:13	 loss: 0.458>0.382	 lr: 0.00042625 ▼
[2400/10001]	 2.556it/s	 time: 0:15:39~0:49:33	 loss: 0.455>0.382	 lr: 0.00040176 ▼
[2500/10001]	 2.556it/s	 time: 0:16:18~0:48:54	 loss: 0.443>0.345	 lr: 0.00037726 ▼
[2600/10001]	 2.557it/s	 time: 0:16:57~0:48:14	 loss: 0.44>0.345	 lr: 0.00035276 ▼
[2700/10001]	 2.557it/s	 time: 0:17:36~0:47:35	 loss: 0.433>0.303	 lr: 0.00032825 ▼
[2800/10001]	 2.557it/s	 time: 0:18:15~0:46:55	 loss: 0.375>0.301	 lr: 0.00030375 ▼
[2900/10001]	 2.56it/s	 time: 0:18:53~0:46:13	 loss: 0.37>0.288	 lr: 0.00027926 ▼
[3000/10001]	 2.56it/s	 time: 0:19:32~0:45:34	 loss: 0.343>0.246	 lr: 0.00025476 ▼
[3100/10001]	 2.56it/s	 time: 0:20:11~0:44:55	 loss: 0.316>0.222	 lr: 0.00023026 ▼
[3200/10001]	 2.56it/s	 time: 0:20:50~0:44:16	 loss: 0.275>0.193	 lr: 0.00020575 ▼
