****************
timestamp: 2024-02-28 13:18:47.970580
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 60
nca parameter count: 9856
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_slice_iso3_v4
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.857it/s	 time: 0:00:35~0:57:45	 loss: 72.041>0.882	 lr: 3.474e-05 ▲
[200/10001]	 2.857it/s	 time: 0:01:10~0:57:10	 loss: 12.082>0.704	 lr: 5.924e-05 ▲
[300/10001]	 2.83it/s	 time: 0:01:46~0:57:07	 loss: 1.013>0.666	 lr: 8.375e-05 ▲
[400/10001]	 2.837it/s	 time: 0:02:21~0:56:24	 loss: 0.703>0.552	 lr: 0.00010824 ▲
[500/10001]	 2.809it/s	 time: 0:02:58~0:56:22	 loss: 0.63>0.507	 lr: 0.00013275 ▲
[600/10001]	 2.817it/s	 time: 0:03:33~0:55:37	 loss: 0.617>0.507	 lr: 0.00015724 ▲
[700/10001]	 2.834it/s	 time: 0:04:07~0:54:41	 loss: 0.662>0.507	 lr: 0.00018174 ▲
[800/10001]	 2.807it/s	 time: 0:04:45~0:54:37	 loss: 0.627>0.468	 lr: 0.00020625 ▲
[900/10001]	 2.795it/s	 time: 0:05:22~0:54:15	 loss: 0.578>0.468	 lr: 0.00023074 ▲
[1000/10001]	 2.801it/s	 time: 0:05:57~0:53:33	 loss: 0.561>0.457	 lr: 0.00025524 ▲
[1100/10001]	 2.799it/s	 time: 0:06:33~0:52:59	 loss: 0.552>0.443	 lr: 0.00027975 ▲
[1200/10001]	 2.804it/s	 time: 0:07:08~0:52:18	 loss: 0.517>0.425	 lr: 0.00030425 ▲
[1300/10001]	 2.808it/s	 time: 0:07:43~0:51:38	 loss: 0.515>0.424	 lr: 0.00032875 ▲
[1400/10001]	 2.811it/s	 time: 0:08:18~0:50:59	 loss: 0.541>0.417	 lr: 0.00035324 ▲
[1500/10001]	 2.814it/s	 time: 0:08:53~0:50:20	 loss: 0.487>0.394	 lr: 0.00037774 ▲
[1600/10001]	 2.817it/s	 time: 0:09:28~0:49:42	 loss: 0.492>0.394	 lr: 0.00040224 ▲
[1700/10001]	 2.824it/s	 time: 0:10:02~0:48:59	 loss: 0.456>0.375	 lr: 0.00042675 ▲
[1800/10001]	 2.826it/s	 time: 0:10:37~0:48:21	 loss: 0.461>0.359	 lr: 0.00045125 ▲
[1900/10001]	 2.832it/s	 time: 0:11:11~0:47:40	 loss: 0.446>0.321	 lr: 0.00047574 ▲
[2000/10001]	 2.833it/s	 time: 0:11:46~0:47:04	 loss: 0.383>0.299	 lr: 0.00049976 ▲
[2100/10001]	 2.834it/s	 time: 0:12:21~0:46:27	 loss: 0.369>0.252	 lr: 0.00047526 ▼
[2200/10001]	 2.835it/s	 time: 0:12:56~0:45:51	 loss: 0.334>0.219	 lr: 0.00045075 ▼
[2300/10001]	 2.836it/s	 time: 0:13:31~0:45:15	 loss: 0.323>0.205	 lr: 0.00042625 ▼
