****************
timestamp: 2024-02-22 12:20:54.255593
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso3_v3
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.703it/s	 time: 0:00:37~1:01:03	 loss: 622.145>16.143	 lr: 3.474e-05 ▲
[200/10001]	 2.74it/s	 time: 0:01:13~0:59:37	 loss: 206.945>14.294	 lr: 5.924e-05 ▲
[300/10001]	 2.752it/s	 time: 0:01:49~0:58:44	 loss: 71.474>14.294	 lr: 8.375e-05 ▲
[400/10001]	 2.759it/s	 time: 0:02:25~0:58:00	 loss: 91.815>14.261	 lr: 0.00010824 ▲
[500/10001]	 2.778it/s	 time: 0:03:00~0:57:00	 loss: 69.711>14.261	 lr: 0.00013275 ▲
[600/10001]	 2.791it/s	 time: 0:03:35~0:56:08	 loss: 43.631>12.601	 lr: 0.00015724 ▲
[700/10001]	 2.778it/s	 time: 0:04:12~0:55:48	 loss: 35.107>11.891	 lr: 0.00018174 ▲
[800/10001]	 2.778it/s	 time: 0:04:48~0:55:12	 loss: 16.704>11.828	 lr: 0.00020625 ▲
[900/10001]	 2.786it/s	 time: 0:05:23~0:54:25	 loss: 28.176>11.38	 lr: 0.00023074 ▲
[1000/10001]	 2.786it/s	 time: 0:05:59~0:53:51	 loss: 268.409>11.38	 lr: 0.00025524 ▲
[1100/10001]	 2.785it/s	 time: 0:06:35~0:53:15	 loss: 15.939>10.065	 lr: 0.00027975 ▲
[1200/10001]	 2.784it/s	 time: 0:07:11~0:52:40	 loss: 10.805>9.079	 lr: 0.00030425 ▲
[1300/10001]	 2.784it/s	 time: 0:07:47~0:52:05	 loss: 10.068>8.837	 lr: 0.00032875 ▲
[1400/10001]	 2.783it/s	 time: 0:08:23~0:51:29	 loss: 9.938>8.327	 lr: 0.00035324 ▲
[1500/10001]	 2.783it/s	 time: 0:08:59~0:50:54	 loss: 9.439>8.035	 lr: 0.00037774 ▲
[1600/10001]	 2.783it/s	 time: 0:09:35~0:50:18	 loss: 9.155>7.697	 lr: 0.00040224 ▲
[1700/10001]	 2.782it/s	 time: 0:10:11~0:49:43	 loss: 8.578>7.258	 lr: 0.00042675 ▲
[1800/10001]	 2.782it/s	 time: 0:10:47~0:49:07	 loss: 8.152>7.133	 lr: 0.00045125 ▲
[1900/10001]	 2.786it/s	 time: 0:11:22~0:48:27	 loss: 7.7>6.758	 lr: 0.00047574 ▲
[2000/10001]	 2.789it/s	 time: 0:11:57~0:47:48	 loss: 7.298>6.057	 lr: 0.00049976 ▲
[2100/10001]	 2.789it/s	 time: 0:12:33~0:47:12	 loss: 6.577>5.557	 lr: 0.00047526 ▼
[2200/10001]	 2.788it/s	 time: 0:13:09~0:46:37	 loss: 5.926>5.163	 lr: 0.00045075 ▼
[2300/10001]	 2.788it/s	 time: 0:13:45~0:46:01	 loss: 5.737>4.835	 lr: 0.00042625 ▼
[2400/10001]	 2.791it/s	 time: 0:14:20~0:45:23	 loss: 5.208>4.383	 lr: 0.00040176 ▼
[2500/10001]	 2.79it/s	 time: 0:14:56~0:44:48	 loss: 4.466>3.459	 lr: 0.00037726 ▼
[2600/10001]	 2.793it/s	 time: 0:15:31~0:44:09	 loss: 3.911>2.908	 lr: 0.00035276 ▼
[2700/10001]	 2.792it/s	 time: 0:16:07~0:43:34	 loss: 3.396>2.54	 lr: 0.00032825 ▼
[2800/10001]	 2.794it/s	 time: 0:16:42~0:42:56	 loss: 3.075>2.313	 lr: 0.00030375 ▼
[2900/10001]	 2.797it/s	 time: 0:17:17~0:42:18	 loss: 2.791>2.069	 lr: 0.00027926 ▼
[3000/10001]	 2.793it/s	 time: 0:17:54~0:41:46	 loss: 2.483>1.903	 lr: 0.00025476 ▼
[3100/10001]	 2.795it/s	 time: 0:18:29~0:41:08	 loss: 2.42>1.822	 lr: 0.00023026 ▼
[3200/10001]	 2.795it/s	 time: 0:19:05~0:40:33	 loss: 2.396>1.76	 lr: 0.00020575 ▼
[3300/10001]	 2.794it/s	 time: 0:19:41~0:39:57	 loss: 2.218>1.695	 lr: 0.00018125 ▼
[3400/10001]	 2.794it/s	 time: 0:20:17~0:39:22	 loss: 2.115>1.626	 lr: 0.00015676 ▼
[3500/10001]	 2.796it/s	 time: 0:20:52~0:38:45	 loss: 2.084>1.601	 lr: 0.00013226 ▼
[3600/10001]	 2.795it/s	 time: 0:21:28~0:38:09	 loss: 2.079>1.588	 lr: 0.00010776 ▼
[3700/10001]	 2.792it/s	 time: 0:22:05~0:37:36	 loss: 1.983>1.572	 lr: 8.325e-05 ▼
[3800/10001]	 2.792it/s	 time: 0:22:41~0:37:00	 loss: 1.889>1.541	 lr: 5.875e-05 ▼
[3900/10001]	 2.794it/s	 time: 0:23:16~0:36:23	 loss: 1.876>1.519	 lr: 3.426e-05 ▼
[4000/10001]	 2.793it/s	 time: 0:23:52~0:35:48	 loss: 1.874>1.508	 lr: 1.012e-05 ▼
[4100/10001]	 2.793it/s	 time: 0:24:28~0:35:12	 loss: 1.893>1.496	 lr: 2.237e-05 ▲
[4200/10001]	 2.793it/s	 time: 0:25:04~0:34:36	 loss: 1.827>1.496	 lr: 3.462e-05 ▲
[4300/10001]	 2.789it/s	 time: 0:25:42~0:34:04	 loss: 1.85>1.495	 lr: 4.687e-05 ▲
[4400/10001]	 2.788it/s	 time: 0:26:18~0:33:28	 loss: 1.835>1.495	 lr: 5.912e-05 ▲
[4500/10001]	 2.788it/s	 time: 0:26:54~0:32:52	 loss: 1.826>1.495	 lr: 7.137e-05 ▲
[4600/10001]	 2.788it/s	 time: 0:27:30~0:32:16	 loss: 1.843>1.495	 lr: 8.362e-05 ▲
[4700/10001]	 2.788it/s	 time: 0:28:06~0:31:41	 loss: 1.803>1.495	 lr: 9.587e-05 ▲
[4800/10001]	 2.787it/s	 time: 0:28:42~0:31:05	 loss: 1.823>1.495	 lr: 0.00010812 ▲
[4900/10001]	 2.787it/s	 time: 0:29:18~0:30:29	 loss: 1.79>1.494	 lr: 0.00012037 ▲
[5000/10001]	 2.787it/s	 time: 0:29:54~0:29:53	 loss: 1.781>1.491	 lr: 0.00013262 ▲
model [rubiks_iso3_v3_cp5000] saved to _checkpoints...
[5100/10001]	 2.787it/s	 time: 0:30:30~0:29:18	 loss: 1.759>1.472	 lr: 0.00014487 ▲
[5200/10001]	 2.788it/s	 time: 0:31:05~0:28:41	 loss: 1.839>1.472	 lr: 0.00015712 ▲
[5300/10001]	 2.788it/s	 time: 0:31:41~0:28:05	 loss: 1.787>1.472	 lr: 0.00016937 ▲
[5400/10001]	 2.788it/s	 time: 0:32:17~0:27:30	 loss: 1.761>1.47	 lr: 0.00018162 ▲
[5500/10001]	 2.789it/s	 time: 0:32:52~0:26:53	 loss: 1.766>1.469	 lr: 0.00019387 ▲
[5600/10001]	 2.787it/s	 time: 0:33:29~0:26:18	 loss: 1.79>1.469	 lr: 0.00020612 ▲
[5700/10001]	 2.789it/s	 time: 0:34:04~0:25:41	 loss: 1.77>1.469	 lr: 0.00021837 ▲
[5800/10001]	 2.788it/s	 time: 0:34:40~0:25:06	 loss: 1.75>1.465	 lr: 0.00023062 ▲
[5900/10001]	 2.788it/s	 time: 0:35:16~0:24:30	 loss: 1.744>1.439	 lr: 0.00024287 ▲
[6000/10001]	 2.788it/s	 time: 0:35:52~0:23:54	 loss: 1.815>1.439	 lr: 0.00025488 ▲
[6100/10001]	 2.789it/s	 time: 0:36:27~0:23:18	 loss: 1.76>1.439	 lr: 0.00024263 ▼
[6200/10001]	 2.788it/s	 time: 0:37:04~0:22:43	 loss: 1.755>1.439	 lr: 0.00023038 ▼
[6300/10001]	 2.789it/s	 time: 0:37:39~0:22:06	 loss: 1.755>1.43	 lr: 0.00021813 ▼
[6400/10001]	 2.79it/s	 time: 0:38:14~0:21:30	 loss: 1.741>1.43	 lr: 0.00020588 ▼
[6500/10001]	 2.79it/s	 time: 0:38:50~0:20:54	 loss: 1.726>1.43	 lr: 0.00019363 ▼
[6600/10001]	 2.79it/s	 time: 0:39:26~0:20:18	 loss: 1.664>1.417	 lr: 0.00018138 ▼
[6700/10001]	 2.789it/s	 time: 0:40:02~0:19:43	 loss: 1.668>1.413	 lr: 0.00016913 ▼
[6800/10001]	 2.79it/s	 time: 0:40:37~0:19:06	 loss: 1.669>1.408	 lr: 0.00015688 ▼
[6900/10001]	 2.791it/s	 time: 0:41:12~0:18:30	 loss: 1.683>1.397	 lr: 0.00014463 ▼
[7000/10001]	 2.792it/s	 time: 0:41:47~0:17:54	 loss: 1.651>1.382	 lr: 0.00013238 ▼
[7100/10001]	 2.792it/s	 time: 0:42:23~0:17:18	 loss: 1.583>1.382	 lr: 0.00012013 ▼
[7200/10001]	 2.791it/s	 time: 0:43:00~0:16:43	 loss: 1.594>1.381	 lr: 0.00010788 ▼
[7300/10001]	 2.792it/s	 time: 0:43:35~0:16:07	 loss: 1.588>1.378	 lr: 9.563e-05 ▼
[7400/10001]	 2.79it/s	 time: 0:44:12~0:15:31	 loss: 1.568>1.37	 lr: 8.338e-05 ▼
[7500/10001]	 2.79it/s	 time: 0:44:48~0:14:56	 loss: 1.61>1.37	 lr: 7.113e-05 ▼
[7600/10001]	 2.79it/s	 time: 0:45:24~0:14:20	 loss: 1.559>1.366	 lr: 5.888e-05 ▼
[7700/10001]	 2.791it/s	 time: 0:45:59~0:13:44	 loss: 1.582>1.366	 lr: 4.663e-05 ▼
[7800/10001]	 2.792it/s	 time: 0:46:34~0:13:08	 loss: 1.56>1.36	 lr: 3.438e-05 ▼
[7900/10001]	 2.792it/s	 time: 0:47:10~0:12:32	 loss: 1.552>1.356	 lr: 2.213e-05 ▼
[8000/10001]	 2.792it/s	 time: 0:47:45~0:11:56	 loss: 1.55>1.347	 lr: 1.006e-05 ▼
[8100/10001]	 2.791it/s	 time: 0:48:22~0:11:20	 loss: 1.534>1.347	 lr: 1.619e-05 ▲
[8200/10001]	 2.792it/s	 time: 0:48:57~0:10:44	 loss: 1.537>1.347	 lr: 2.231e-05 ▲
[8300/10001]	 2.793it/s	 time: 0:49:32~0:10:08	 loss: 1.59>1.347	 lr: 2.844e-05 ▲
[8400/10001]	 2.793it/s	 time: 0:50:08~0:09:32	 loss: 1.56>1.347	 lr: 3.456e-05 ▲
[8500/10001]	 2.792it/s	 time: 0:50:44~0:08:57	 loss: 1.558>1.347	 lr: 4.069e-05 ▲
[8600/10001]	 2.792it/s	 time: 0:51:20~0:08:21	 loss: 1.548>1.347	 lr: 4.681e-05 ▲
[8700/10001]	 2.793it/s	 time: 0:51:55~0:07:45	 loss: 1.596>1.347	 lr: 5.294e-05 ▲
[8800/10001]	 2.793it/s	 time: 0:52:31~0:07:09	 loss: 1.551>1.347	 lr: 5.906e-05 ▲
[8900/10001]	 2.793it/s	 time: 0:53:07~0:06:33	 loss: 1.565>1.347	 lr: 6.519e-05 ▲
[9000/10001]	 2.792it/s	 time: 0:53:44~0:05:58	 loss: 1.53>1.347	 lr: 7.131e-05 ▲
[9100/10001]	 2.791it/s	 time: 0:54:20~0:05:22	 loss: 1.566>1.347	 lr: 7.744e-05 ▲
[9200/10001]	 2.792it/s	 time: 0:54:55~0:04:46	 loss: 1.567>1.347	 lr: 8.356e-05 ▲
[9300/10001]	 2.791it/s	 time: 0:55:32~0:04:10	 loss: 1.579>1.347	 lr: 8.969e-05 ▲
[9400/10001]	 2.791it/s	 time: 0:56:08~0:03:34	 loss: 1.576>1.347	 lr: 9.581e-05 ▲
[9500/10001]	 2.791it/s	 time: 0:56:44~0:02:59	 loss: 1.559>1.347	 lr: 0.00010194 ▲
[9600/10001]	 2.791it/s	 time: 0:57:20~0:02:23	 loss: 1.549>1.347	 lr: 0.00010806 ▲
[9700/10001]	 2.791it/s	 time: 0:57:56~0:01:47	 loss: 1.554>1.347	 lr: 0.00011419 ▲
[9800/10001]	 2.79it/s	 time: 0:58:32~0:01:11	 loss: 1.566>1.347	 lr: 0.00012031 ▲
[9900/10001]	 2.79it/s	 time: 0:59:08~0:00:35	 loss: 1.62>1.347	 lr: 0.00012644 ▲
[10000/10001]	 2.789it/s	 time: 0:59:45~0:00:00	 loss: 1.621>1.347	 lr: 0.00013244 ▲
model [rubiks_iso3_v3_cp10000] saved to _checkpoints...
train time: 0:59:45
model [rubiks_iso3_v3] saved to _models...
elapsed time: 0:59:51
****************
