****************
timestamp: 2024-02-23 18:03:59.478895
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso3_v5
type: YAW_ISO_V3
hidden-seed-info: True
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.703it/s	 time: 0:00:37~1:01:03	 loss: 1872.445>18.746	 lr: 3.474e-05 ▲
[200/10001]	 2.778it/s	 time: 0:01:12~0:58:48	 loss: 410.978>16.498	 lr: 5.924e-05 ▲
[300/10001]	 2.778it/s	 time: 0:01:48~0:58:12	 loss: 642.973>15.451	 lr: 8.375e-05 ▲
[400/10001]	 2.778it/s	 time: 0:02:24~0:57:36	 loss: 170.235>14.954	 lr: 0.00010824 ▲
[500/10001]	 2.793it/s	 time: 0:02:59~0:56:41	 loss: 26.778>14.954	 lr: 0.00013275 ▲
[600/10001]	 2.791it/s	 time: 0:03:35~0:56:08	 loss: 39.672>14.954	 lr: 0.00015724 ▲
[700/10001]	 2.789it/s	 time: 0:04:11~0:55:34	 loss: 52.199>14.954	 lr: 0.00018174 ▲
[800/10001]	 2.787it/s	 time: 0:04:47~0:55:00	 loss: 254.513>13.868	 lr: 0.00020625 ▲
[900/10001]	 2.786it/s	 time: 0:05:23~0:54:25	 loss: 56.335>13.124	 lr: 0.00023074 ▲
[1000/10001]	 2.793it/s	 time: 0:05:58~0:53:42	 loss: 13.909>11.86	 lr: 0.00025524 ▲
[1100/10001]	 2.792it/s	 time: 0:06:34~0:53:07	 loss: 14.975>11.12	 lr: 0.00027975 ▲
[1200/10001]	 2.784it/s	 time: 0:07:11~0:52:40	 loss: 12.362>10.801	 lr: 0.00030425 ▲
[1300/10001]	 2.79it/s	 time: 0:07:46~0:51:58	 loss: 11.696>9.766	 lr: 0.00032875 ▲
[1400/10001]	 2.789it/s	 time: 0:08:22~0:51:23	 loss: 10.91>9.546	 lr: 0.00035324 ▲
[1500/10001]	 2.783it/s	 time: 0:08:59~0:50:54	 loss: 10.866>9.546	 lr: 0.00037774 ▲
[1600/10001]	 2.787it/s	 time: 0:09:34~0:50:13	 loss: 10.209>8.998	 lr: 0.00040224 ▲
[1700/10001]	 2.782it/s	 time: 0:10:11~0:49:43	 loss: 9.555>8.293	 lr: 0.00042675 ▲
[1800/10001]	 2.791it/s	 time: 0:10:45~0:48:58	 loss: 9.414>8.293	 lr: 0.00045125 ▲
[1900/10001]	 2.79it/s	 time: 0:11:21~0:48:23	 loss: 9.166>8.247	 lr: 0.00047574 ▲
[2000/10001]	 2.789it/s	 time: 0:11:57~0:47:48	 loss: 9.018>8.105	 lr: 0.00049976 ▲
[2100/10001]	 2.793it/s	 time: 0:12:32~0:47:08	 loss: 8.295>7.351	 lr: 0.00047526 ▼
[2200/10001]	 2.792it/s	 time: 0:13:08~0:46:33	 loss: 7.899>7.214	 lr: 0.00045075 ▼
[2300/10001]	 2.791it/s	 time: 0:13:44~0:45:58	 loss: 7.896>6.938	 lr: 0.00042625 ▼
[2400/10001]	 2.787it/s	 time: 0:14:21~0:45:26	 loss: 7.546>6.842	 lr: 0.00040176 ▼
[2500/10001]	 2.781it/s	 time: 0:14:59~0:44:57	 loss: 7.434>6.778	 lr: 0.00037726 ▼
[2600/10001]	 2.781it/s	 time: 0:15:35~0:44:21	 loss: 7.189>6.693	 lr: 0.00035276 ▼
[2700/10001]	 2.778it/s	 time: 0:16:12~0:43:48	 loss: 7.095>6.471	 lr: 0.00032825 ▼
[2800/10001]	 2.781it/s	 time: 0:16:47~0:43:09	 loss: 7.037>6.471	 lr: 0.00030375 ▼
[2900/10001]	 2.783it/s	 time: 0:17:22~0:42:31	 loss: 6.678>6.05	 lr: 0.00027926 ▼
[3000/10001]	 2.786it/s	 time: 0:17:57~0:41:53	 loss: 6.598>6.024	 lr: 0.00025476 ▼
[3100/10001]	 2.785it/s	 time: 0:18:33~0:41:17	 loss: 6.373>5.705	 lr: 0.00023026 ▼
