****************
timestamp: 2024-02-26 17:16:38.803265
initializing training...
device: cuda
forcing cuDNN initialization...
****************
timestamp: 2024-02-26 17:17:26.765699
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso3_v7
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.703it/s	 time: 0:00:37~1:01:03	 loss: 703.961>19.077	 lr: 3.474e-05 ▲
[200/10001]	 2.778it/s	 time: 0:01:12~0:58:48	 loss: 268.529>15.511	 lr: 5.924e-05 ▲
[300/10001]	 2.778it/s	 time: 0:01:48~0:58:12	 loss: 1345.972>14.245	 lr: 8.375e-05 ▲
[400/10001]	 2.778it/s	 time: 0:02:24~0:57:36	 loss: 1209.624>14.245	 lr: 0.00010824 ▲
[500/10001]	 2.793it/s	 time: 0:02:59~0:56:41	 loss: 868.286>14.245	 lr: 0.00013275 ▲
[600/10001]	 2.765it/s	 time: 0:03:37~0:56:39	 loss: 6243.239>14.245	 lr: 0.00015724 ▲
[700/10001]	 2.734it/s	 time: 0:04:16~0:56:41	 loss: 323.349>14.245	 lr: 0.00018174 ▲
[800/10001]	 2.73it/s	 time: 0:04:53~0:56:09	 loss: 468.913>14.245	 lr: 0.00020625 ▲
[900/10001]	 2.727it/s	 time: 0:05:30~0:55:36	 loss: 819.226>14.245	 lr: 0.00023074 ▲
[1000/10001]	 2.74it/s	 time: 0:06:05~0:54:45	 loss: 844.444>14.245	 lr: 0.00025524 ▲
[1100/10001]	 2.736it/s	 time: 0:06:42~0:54:12	 loss: 41.927>14.245	 lr: 0.00027975 ▲
[1200/10001]	 2.74it/s	 time: 0:07:18~0:53:32	 loss: 43.0>14.245	 lr: 0.00030425 ▲
[1300/10001]	 2.748it/s	 time: 0:07:53~0:52:45	 loss: 99.017>14.245	 lr: 0.00032875 ▲
[1400/10001]	 2.745it/s	 time: 0:08:30~0:52:12	 loss: 20.697>12.656	 lr: 0.00035324 ▲
[1500/10001]	 2.742it/s	 time: 0:09:07~0:51:39	 loss: 25.322>12.4	 lr: 0.00037774 ▲
[1600/10001]	 2.749it/s	 time: 0:09:42~0:50:55	 loss: 39.469>11.499	 lr: 0.00040224 ▲
[1700/10001]	 2.751it/s	 time: 0:10:18~0:50:17	 loss: 61.9>11.442	 lr: 0.00042675 ▲
[1800/10001]	 2.757it/s	 time: 0:10:53~0:49:34	 loss: 17.239>11.442	 lr: 0.00045125 ▲
[1900/10001]	 2.758it/s	 time: 0:11:29~0:48:57	 loss: 12.696>10.451	 lr: 0.00047574 ▲
[2000/10001]	 2.762it/s	 time: 0:12:04~0:48:16	 loss: 12.652>10.451	 lr: 0.00049976 ▲
[2100/10001]	 2.763it/s	 time: 0:12:40~0:47:39	 loss: 11.586>10.277	 lr: 0.00047526 ▼
[2200/10001]	 2.767it/s	 time: 0:13:15~0:46:58	 loss: 10.838>9.639	 lr: 0.00045075 ▼
[2300/10001]	 2.771it/s	 time: 0:13:50~0:46:18	 loss: 10.162>8.766	 lr: 0.00042625 ▼
[2400/10001]	 2.771it/s	 time: 0:14:26~0:45:42	 loss: 9.696>8.659	 lr: 0.00040176 ▼
[2500/10001]	 2.772it/s	 time: 0:15:02~0:45:06	 loss: 9.321>8.47	 lr: 0.00037726 ▼
[2600/10001]	 2.775it/s	 time: 0:15:37~0:44:26	 loss: 9.025>8.145	 lr: 0.00035276 ▼
[2700/10001]	 2.778it/s	 time: 0:16:12~0:43:48	 loss: 8.725>7.85	 lr: 0.00032825 ▼
[2800/10001]	 2.775it/s	 time: 0:16:49~0:43:14	 loss: 8.437>7.706	 lr: 0.00030375 ▼
[2900/10001]	 2.77it/s	 time: 0:17:27~0:42:43	 loss: 8.191>7.458	 lr: 0.00027926 ▼
