****************
timestamp: 2024-04-05 21:18:58.706342
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 65
nca parameter count: 10496
nca isotropic type: 3
training new model from scratch...
model: rubiks_isoRmat_v0
type: ISO_ROT_MATRIX
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 19, 19, 19]
target.shape: [4, 4, 19, 19, 19]
starting training w/ 20001 epochs...
[100/20001]	 1.01it/s	 time: 0:01:39~5:28:21	 loss: 5777.686>34.266	 lr: 3.474e-05 ▲
[200/20001]	 1.042it/s	 time: 0:03:12~5:16:48	 loss: 1101.699>31.645	 lr: 5.924e-05 ▲
[300/20001]	 1.056it/s	 time: 0:04:44~5:10:49	 loss: 2050.292>31.456	 lr: 8.375e-05 ▲
[400/20001]	 1.064it/s	 time: 0:06:16~5:07:04	 loss: 5745.897>31.456	 lr: 0.00010824 ▲
[500/20001]	 1.068it/s	 time: 0:07:48~5:04:12	 loss: 227.061>31.456	 lr: 0.00013275 ▲
[600/20001]	 1.071it/s	 time: 0:09:20~5:01:46	 loss: 1626.877>31.456	 lr: 0.00015724 ▲
[700/20001]	 1.07it/s	 time: 0:10:54~5:00:31	 loss: 56.593>25.152	 lr: 0.00018174 ▲
[800/20001]	 1.074it/s	 time: 0:12:25~4:58:00	 loss: 112.27>22.089	 lr: 0.00020625 ▲
[900/20001]	 1.075it/s	 time: 0:13:57~4:56:03	 loss: 28.641>21.566	 lr: 0.00023074 ▲
[1000/20001]	 1.079it/s	 time: 0:15:27~4:53:33	 loss: 27.24>19.464	 lr: 0.00025524 ▲
[1100/20001]	 1.079it/s	 time: 0:16:59~4:51:48	 loss: 25.786>19.464	 lr: 0.00027975 ▲
[1200/20001]	 1.08it/s	 time: 0:18:31~4:50:05	 loss: 30.747>19.095	 lr: 0.00030425 ▲
[1300/20001]	 1.078it/s	 time: 0:20:06~4:49:07	 loss: 25.909>18.381	 lr: 0.00032875 ▲
[1400/20001]	 1.079it/s	 time: 0:21:37~4:47:11	 loss: 21.208>17.365	 lr: 0.00035324 ▲
[1500/20001]	 1.08it/s	 time: 0:23:09~4:45:31	 loss: 22.114>17.365	 lr: 0.00037774 ▲
[1600/20001]	 1.08it/s	 time: 0:24:42~4:44:03	 loss: 35.382>17.365	 lr: 0.00040224 ▲
[1700/20001]	 1.08it/s	 time: 0:26:14~4:42:23	 loss: 20.502>17.365	 lr: 0.00042675 ▲
[1800/20001]	 1.082it/s	 time: 0:27:43~4:40:14	 loss: 81.189>16.259	 lr: 0.00045125 ▲
[1900/20001]	 1.083it/s	 time: 0:29:15~4:38:38	 loss: 18.738>16.169	 lr: 0.00047574 ▲
[2000/20001]	 1.083it/s	 time: 0:30:47~4:37:03	 loss: 18.503>14.612	 lr: 0.00049976 ▲
[2100/20001]	 1.082it/s	 time: 0:32:20~4:35:36	 loss: 18.153>14.612	 lr: 0.00047526 ▼
[2200/20001]	 1.083it/s	 time: 0:33:52~4:34:00	 loss: 19.861>14.612	 lr: 0.00045075 ▼
[2300/20001]	 1.084it/s	 time: 0:35:22~4:32:10	 loss: 18.188>14.553	 lr: 0.00042625 ▼
[2400/20001]	 1.084it/s	 time: 0:36:55~4:30:43	 loss: 17.109>14.3	 lr: 0.00040176 ▼
[2500/20001]	 1.084it/s	 time: 0:38:27~4:29:09	 loss: 17.261>14.267	 lr: 0.00037726 ▼
[2600/20001]	 1.085it/s	 time: 0:39:57~4:27:21	 loss: 17.762>14.267	 lr: 0.00035276 ▼
[2700/20001]	 1.084it/s	 time: 0:41:30~4:25:54	 loss: 17.509>14.267	 lr: 0.00032825 ▼
[2800/20001]	 1.084it/s	 time: 0:43:03~4:24:27	 loss: 17.054>14.267	 lr: 0.00030375 ▼
[2900/20001]	 1.084it/s	 time: 0:44:35~4:22:53	 loss: 17.397>14.267	 lr: 0.00027926 ▼
[3000/20001]	 1.084it/s	 time: 0:46:07~4:21:19	 loss: 16.255>14.043	 lr: 0.00025476 ▼
[3100/20001]	 1.085it/s	 time: 0:47:38~4:19:40	 loss: 16.304>13.752	 lr: 0.00023026 ▼
[3200/20001]	 1.084it/s	 time: 0:49:11~4:18:12	 loss: 15.627>13.113	 lr: 0.00020575 ▼
[3300/20001]	 1.084it/s	 time: 0:50:44~4:16:44	 loss: 16.406>13.113	 lr: 0.00018125 ▼
[3400/20001]	 1.085it/s	 time: 0:52:14~4:15:01	 loss: 16.191>13.113	 lr: 0.00015676 ▼
[3500/20001]	 1.085it/s	 time: 0:53:45~4:13:23	 loss: 15.816>13.113	 lr: 0.00013226 ▼
[3600/20001]	 1.085it/s	 time: 0:55:17~4:11:50	 loss: 16.859>13.113	 lr: 0.00010776 ▼
[3700/20001]	 1.085it/s	 time: 0:56:50~4:10:22	 loss: 16.071>13.113	 lr: 8.325e-05 ▼
[3800/20001]	 1.086it/s	 time: 0:58:20~4:08:41	 loss: 15.43>13.113	 lr: 5.875e-05 ▼
[3900/20001]	 1.086it/s	 time: 0:59:52~4:07:08	 loss: 16.253>13.113	 lr: 3.426e-05 ▼
[4000/20001]	 1.085it/s	 time: 1:01:25~4:05:40	 loss: 15.814>13.113	 lr: 1.012e-05 ▼
[4100/20001]	 1.085it/s	 time: 1:02:58~4:04:11	 loss: 15.625>13.113	 lr: 2.237e-05 ▲
[4200/20001]	 1.086it/s	 time: 1:04:29~4:02:34	 loss: 15.405>13.113	 lr: 3.462e-05 ▲
[4300/20001]	 1.086it/s	 time: 1:06:00~4:00:58	 loss: 15.234>13.113	 lr: 4.687e-05 ▲
[4400/20001]	 1.086it/s	 time: 1:07:32~3:59:26	 loss: 15.315>13.113	 lr: 5.912e-05 ▲
[4500/20001]	 1.086it/s	 time: 1:09:04~3:57:53	 loss: 15.224>12.738	 lr: 7.137e-05 ▲
[4600/20001]	 1.086it/s	 time: 1:10:35~3:56:18	 loss: 15.772>12.738	 lr: 8.362e-05 ▲
[4700/20001]	 1.086it/s	 time: 1:12:06~3:54:42	 loss: 15.743>12.738	 lr: 9.587e-05 ▲
[4800/20001]	 1.087it/s	 time: 1:13:36~3:53:04	 loss: 15.972>12.738	 lr: 0.00010812 ▲
[4900/20001]	 1.086it/s	 time: 1:15:10~3:51:38	 loss: 16.549>12.738	 lr: 0.00012037 ▲
[5000/20001]	 1.086it/s	 time: 1:16:43~3:50:09	 loss: 16.6>12.738	 lr: 0.00013262 ▲
model [rubiks_isoRmat_v0_cp5000] saved to _checkpoints...
[5100/20001]	 1.086it/s	 time: 1:18:14~3:48:33	 loss: 15.539>12.738	 lr: 0.00014487 ▲
[5200/20001]	 1.087it/s	 time: 1:19:45~3:46:58	 loss: 15.275>12.408	 lr: 0.00015712 ▲
[5300/20001]	 1.087it/s	 time: 1:21:15~3:45:21	 loss: 15.561>12.408	 lr: 0.00016937 ▲
[5400/20001]	 1.087it/s	 time: 1:22:47~3:43:49	 loss: 15.277>11.7	 lr: 0.00018162 ▲
[5500/20001]	 1.087it/s	 time: 1:24:20~3:42:20	 loss: 16.162>11.7	 lr: 0.00019387 ▲
[5600/20001]	 1.087it/s	 time: 1:25:52~3:40:48	 loss: 16.266>11.7	 lr: 0.00020612 ▲
[5700/20001]	 1.088it/s	 time: 1:27:21~3:39:08	 loss: 16.263>11.7	 lr: 0.00021837 ▲
[5800/20001]	 1.088it/s	 time: 1:28:51~3:37:31	 loss: 16.269>11.7	 lr: 0.00023062 ▲
[5900/20001]	 1.088it/s	 time: 1:30:23~3:36:00	 loss: 15.23>11.7	 lr: 0.00024287 ▲
[6000/20001]	 1.088it/s	 time: 1:31:54~3:34:26	 loss: 15.633>11.7	 lr: 0.00025488 ▲
[6100/20001]	 1.088it/s	 time: 1:33:28~3:32:58	 loss: 16.053>11.7	 lr: 0.00024263 ▼
[6200/20001]	 1.088it/s	 time: 1:34:58~3:31:22	 loss: 16.93>11.7	 lr: 0.00023038 ▼
[6300/20001]	 1.088it/s	 time: 1:36:31~3:29:53	 loss: 16.699>11.7	 lr: 0.00021813 ▼
[6400/20001]	 1.088it/s	 time: 1:38:02~3:28:19	 loss: 14.46>11.361	 lr: 0.00020588 ▼
