****************
timestamp: 2024-02-21 14:30:35.392297
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: rubiks_slice_ansio_v0
type: ANISOTROPIC
hidden-seed-info: True
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.941it/s	 time: 0:00:34~0:56:05	 loss: 1.399>1.113	 lr: 3.474e-05 ▲
[200/10001]	 3.077it/s	 time: 0:01:05~0:53:04	 loss: 1.834>1.066	 lr: 5.924e-05 ▲
[300/10001]	 3.061it/s	 time: 0:01:38~0:52:48	 loss: 12.955>1.066	 lr: 8.375e-05 ▲
[400/10001]	 3.101it/s	 time: 0:02:09~0:51:36	 loss: 1.273>1.01	 lr: 0.00010824 ▲
[500/10001]	 3.125it/s	 time: 0:02:40~0:50:40	 loss: 1.746>1.01	 lr: 0.00013275 ▲
[600/10001]	 3.125it/s	 time: 0:03:12~0:50:08	 loss: 1.364>1.001	 lr: 0.00015724 ▲
[700/10001]	 3.139it/s	 time: 0:03:43~0:49:22	 loss: 1.267>1.001	 lr: 0.00018174 ▲
[800/10001]	 3.137it/s	 time: 0:04:15~0:48:52	 loss: 1.198>0.878	 lr: 0.00020625 ▲
[900/10001]	 3.136it/s	 time: 0:04:47~0:48:21	 loss: 1.125>0.877	 lr: 0.00023074 ▲
[1000/10001]	 3.145it/s	 time: 0:05:18~0:47:42	 loss: 1.026>0.808	 lr: 0.00025524 ▲
[1100/10001]	 3.143it/s	 time: 0:05:50~0:47:11	 loss: 1.002>0.725	 lr: 0.00027975 ▲
[1200/10001]	 3.15it/s	 time: 0:06:21~0:46:34	 loss: 0.803>0.609	 lr: 0.00030425 ▲
[1300/10001]	 3.148it/s	 time: 0:06:53~0:46:03	 loss: 0.683>0.446	 lr: 0.00032875 ▲
[1400/10001]	 3.146it/s	 time: 0:07:25~0:45:33	 loss: 0.496>0.247	 lr: 0.00035324 ▲
[1500/10001]	 3.145it/s	 time: 0:07:57~0:45:03	 loss: 0.328>0.164	 lr: 0.00037774 ▲
[1600/10001]	 3.137it/s	 time: 0:08:30~0:44:37	 loss: 0.26>0.116	 lr: 0.00040224 ▲
[1700/10001]	 3.142it/s	 time: 0:09:01~0:44:01	 loss: 0.207>0.088	 lr: 0.00042675 ▲
[1800/10001]	 3.147it/s	 time: 0:09:32~0:43:25	 loss: 0.197>0.081	 lr: 0.00045125 ▲
[1900/10001]	 3.146it/s	 time: 0:10:04~0:42:54	 loss: 0.164>0.058	 lr: 0.00047574 ▲
[2000/10001]	 3.145it/s	 time: 0:10:36~0:42:24	 loss: 0.166>0.054	 lr: 0.00049976 ▲
[2100/10001]	 3.148it/s	 time: 0:11:07~0:41:49	 loss: 0.146>0.046	 lr: 0.00047526 ▼
