****************
timestamp: 2024-02-15 12:12:25.199739
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 0
training new model from scratch...
model: rubiks_slice_iso3_v0
type: YAW_ISO_V3
batch-size: 4
pool-size: 32
lr: 0.001>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.857it/s	 time: 0:00:35~0:57:45	 loss: 20.075>1.079	 lr: 5.999e-05 ▲
[200/10001]	 2.857it/s	 time: 0:01:10~0:57:10	 loss: 71.003>1.079	 lr: 0.00010949 ▲
[300/10001]	 2.913it/s	 time: 0:01:43~0:55:30	 loss: 433.845>1.079	 lr: 0.000159 ▲
[400/10001]	 2.92it/s	 time: 0:02:17~0:54:48	 loss: 4.802>1.079	 lr: 0.00020849 ▲
[500/10001]	 2.924it/s	 time: 0:02:51~0:54:08	 loss: 1.329>1.079	 lr: 0.000258 ▲
[600/10001]	 2.927it/s	 time: 0:03:25~0:53:31	 loss: 1.329>1.079	 lr: 0.0003075 ▲
[700/10001]	 2.929it/s	 time: 0:03:59~0:52:55	 loss: 1.329>1.079	 lr: 0.00035699 ▲
[800/10001]	 2.93it/s	 time: 0:04:33~0:52:19	 loss: 1.329>1.079	 lr: 0.0004065 ▲
[900/10001]	 2.932it/s	 time: 0:05:07~0:51:44	 loss: 1.329>1.079	 lr: 0.00045599 ▲
[1000/10001]	 2.933it/s	 time: 0:05:41~0:51:08	 loss: 1.329>1.079	 lr: 0.00050549 ▲
[1100/10001]	 2.933it/s	 time: 0:06:15~0:50:34	 loss: 1.329>1.079	 lr: 0.000555 ▲
[1200/10001]	 2.934it/s	 time: 0:06:49~0:49:59	 loss: 1.329>1.079	 lr: 0.0006045 ▲
[1300/10001]	 2.935it/s	 time: 0:07:23~0:49:24	 loss: 1.329>1.079	 lr: 0.000654 ▲
[1400/10001]	 2.935it/s	 time: 0:07:57~0:48:50	 loss: 1.329>1.079	 lr: 0.0007035 ▲
[1500/10001]	 2.935it/s	 time: 0:08:31~0:48:15	 loss: 1.329>1.079	 lr: 0.00075299 ▲
[1600/10001]	 2.93it/s	 time: 0:09:06~0:47:46	 loss: 1.329>1.079	 lr: 0.0008025 ▲
[1700/10001]	 2.926it/s	 time: 0:09:41~0:47:16	 loss: 1.329>1.079	 lr: 0.000852 ▲
