****************
timestamp: 2024-03-25 12:02:00.615646
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: thin_shell_sphere17_iso3_v0
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 20001 epochs...
[100/20001]	 2.703it/s	 time: 0:00:37~2:02:43	 loss: 10.082>10.079	 lr: 3.474e-05 ▲
[200/20001]	 2.778it/s	 time: 0:01:12~1:58:48	 loss: 10.08>10.079	 lr: 5.924e-05 ▲
[300/20001]	 2.752it/s	 time: 0:01:49~1:59:17	 loss: 10.081>10.079	 lr: 8.375e-05 ▲
[400/20001]	 2.703it/s	 time: 0:02:28~2:00:52	 loss: 10.081>10.079	 lr: 0.00010824 ▲
[500/20001]	 2.703it/s	 time: 0:03:05~2:00:15	 loss: 10.081>10.079	 lr: 0.00013275 ▲
[600/20001]	 2.727it/s	 time: 0:03:40~1:58:33	 loss: 10.08>10.079	 lr: 0.00015724 ▲
[700/20001]	 2.724it/s	 time: 0:04:17~1:58:05	 loss: 10.08>10.079	 lr: 0.00018174 ▲
[800/20001]	 2.73it/s	 time: 0:04:53~1:57:11	 loss: 10.08>10.079	 lr: 0.00020625 ▲
[900/20001]	 2.744it/s	 time: 0:05:28~1:56:00	 loss: 10.079>10.079	 lr: 0.00023074 ▲
[1000/20001]	 2.74it/s	 time: 0:06:05~1:55:35	 loss: 10.079>10.079	 lr: 0.00025524 ▲
[1100/20001]	 2.743it/s	 time: 0:06:41~1:54:49	 loss: 10.079>10.079	 lr: 0.00027975 ▲
[1200/20001]	 2.746it/s	 time: 0:07:17~1:54:06	 loss: 10.079>10.079	 lr: 0.00030425 ▲
[1300/20001]	 2.743it/s	 time: 0:07:54~1:53:38	 loss: 10.079>10.079	 lr: 0.00032875 ▲
[1400/20001]	 2.745it/s	 time: 0:08:30~1:52:55	 loss: 10.079>10.079	 lr: 0.00035324 ▲
[1500/20001]	 2.742it/s	 time: 0:09:07~1:52:26	 loss: 10.079>10.079	 lr: 0.00037774 ▲
[1600/20001]	 2.744it/s	 time: 0:09:43~1:51:44	 loss: 10.079>10.079	 lr: 0.00040224 ▲
[1700/20001]	 2.746it/s	 time: 0:10:19~1:51:03	 loss: 10.079>10.079	 lr: 0.00042675 ▲
[1800/20001]	 2.748it/s	 time: 0:10:55~1:50:22	 loss: 10.079>10.079	 lr: 0.00045125 ▲
[1900/20001]	 2.75it/s	 time: 0:11:31~1:49:42	 loss: 10.079>10.079	 lr: 0.00047574 ▲
