****************
timestamp: 2024-03-20 13:04:05.146629
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: cactus_iso3_v1
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 33, 33, 33]
target.shape: [4, 4, 33, 33, 33]
starting training w/ 20001 epochs...
[100/20001]	 1.266it/s	 time: 0:01:19~4:22:00	 loss: 350.997>3.998	 lr: 3.474e-05 ▲
[200/20001]	 1.282it/s	 time: 0:02:36~4:17:23	 loss: 11.117>3.883	 lr: 5.924e-05 ▲
[300/20001]	 1.288it/s	 time: 0:03:53~4:15:00	 loss: 4.114>3.625	 lr: 8.375e-05 ▲
[400/20001]	 1.278it/s	 time: 0:05:13~4:15:37	 loss: 3.762>3.431	 lr: 0.00010824 ▲
[500/20001]	 1.282it/s	 time: 0:06:30~4:13:29	 loss: 5.698>3.114	 lr: 0.00013275 ▲
[600/20001]	 1.279it/s	 time: 0:07:49~4:12:44	 loss: 3.471>3.028	 lr: 0.00015724 ▲
[700/20001]	 1.28it/s	 time: 0:09:07~4:11:21	 loss: 3.12>2.774	 lr: 0.00018174 ▲
[800/20001]	 1.276it/s	 time: 0:10:27~4:10:47	 loss: 2.983>2.589	 lr: 0.00020625 ▲
[900/20001]	 1.277it/s	 time: 0:11:45~4:09:21	 loss: 2.829>2.579	 lr: 0.00023074 ▲
[1000/20001]	 1.279it/s	 time: 0:13:02~4:07:38	 loss: 2.673>2.389	 lr: 0.00025524 ▲
[1100/20001]	 1.279it/s	 time: 0:14:20~4:06:16	 loss: 2.585>2.305	 lr: 0.00027975 ▲
[1200/20001]	 1.277it/s	 time: 0:15:40~4:05:26	 loss: 2.443>2.213	 lr: 0.00030425 ▲
[1300/20001]	 1.277it/s	 time: 0:16:58~4:04:03	 loss: 2.396>2.12	 lr: 0.00032875 ▲
[1400/20001]	 1.279it/s	 time: 0:18:15~4:02:27	 loss: 2.304>1.974	 lr: 0.00035324 ▲
[1500/20001]	 1.278it/s	 time: 0:19:34~4:01:19	 loss: 2.234>1.961	 lr: 0.00037774 ▲
[1600/20001]	 1.279it/s	 time: 0:20:51~3:59:46	 loss: 2.189>1.961	 lr: 0.00040224 ▲
[1700/20001]	 1.278it/s	 time: 0:22:10~3:58:37	 loss: 2.147>1.918	 lr: 0.00042675 ▲
[1800/20001]	 1.278it/s	 time: 0:23:28~3:57:16	 loss: 2.104>1.829	 lr: 0.00045125 ▲
[1900/20001]	 1.279it/s	 time: 0:24:46~3:55:56	 loss: 2.04>1.693	 lr: 0.00047574 ▲
[2000/20001]	 1.277it/s	 time: 0:26:06~3:54:53	 loss: 1.981>1.668	 lr: 0.00049976 ▲
[2100/20001]	 1.278it/s	 time: 0:27:23~3:53:24	 loss: 1.955>1.646	 lr: 0.00047526 ▼
[2200/20001]	 1.278it/s	 time: 0:28:42~3:52:12	 loss: 1.761>1.532	 lr: 0.00045075 ▼
[2300/20001]	 1.277it/s	 time: 0:30:01~3:50:59	 loss: 1.688>1.348	 lr: 0.00042625 ▼
[2400/20001]	 1.277it/s	 time: 0:31:19~3:49:39	 loss: 1.593>1.313	 lr: 0.00040176 ▼
[2500/20001]	 1.277it/s	 time: 0:32:37~3:48:19	 loss: 1.572>1.231	 lr: 0.00037726 ▼
[2600/20001]	 1.277it/s	 time: 0:33:56~3:47:05	 loss: 1.505>1.231	 lr: 0.00035276 ▼
[2700/20001]	 1.277it/s	 time: 0:35:15~3:45:51	 loss: 1.4>1.18	 lr: 0.00032825 ▼
[2800/20001]	 1.276it/s	 time: 0:36:34~3:44:37	 loss: 1.361>1.164	 lr: 0.00030375 ▼
[2900/20001]	 1.276it/s	 time: 0:37:53~3:43:22	 loss: 1.293>1.092	 lr: 0.00027926 ▼
[3000/20001]	 1.276it/s	 time: 0:39:12~3:42:08	 loss: 1.293>1.083	 lr: 0.00025476 ▼
[3100/20001]	 1.275it/s	 time: 0:40:31~3:40:52	 loss: 1.296>1.067	 lr: 0.00023026 ▼
[3200/20001]	 1.274it/s	 time: 0:41:51~3:39:42	 loss: 1.215>1.005	 lr: 0.00020575 ▼
[3300/20001]	 1.274it/s	 time: 0:43:10~3:38:26	 loss: 1.184>0.988	 lr: 0.00018125 ▼
[3400/20001]	 1.274it/s	 time: 0:44:28~3:37:06	 loss: 1.158>0.964	 lr: 0.00015676 ▼
[3500/20001]	 1.274it/s	 time: 0:45:47~3:35:50	 loss: 1.148>0.959	 lr: 0.00013226 ▼
[3600/20001]	 1.274it/s	 time: 0:47:05~3:34:29	 loss: 1.096>0.877	 lr: 0.00010776 ▼
