****************
timestamp: 2023-12-11 16:09:29.716078
initializing training...
device: cuda
nca perception channels: 76
nca parameter count: 11904
nca isotropic type: 1
training new model from scratch...
model: cowboy16_iso2_v3
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 12001 epochs...
[100/12001]	 3.125it/s	 time: 0:00:32~1:03:28	 loss: 189.051>20.984	 lr: 3.474e-05 ▲
[200/12001]	 3.125it/s	 time: 0:01:04~1:02:56	 loss: 33.347>19.513	 lr: 5.924e-05 ▲
[300/12001]	 3.125it/s	 time: 0:01:36~1:02:24	 loss: 28.505>19.241	 lr: 8.375e-05 ▲
[400/12001]	 3.15it/s	 time: 0:02:07~1:01:23	 loss: 24.396>18.444	 lr: 0.00010824 ▲
[500/12001]	 3.145it/s	 time: 0:02:39~1:00:57	 loss: 25.728>18.444	 lr: 0.00013275 ▲
[600/12001]	 3.141it/s	 time: 0:03:11~1:00:28	 loss: 47.548>17.813	 lr: 0.00015724 ▲
[700/12001]	 3.139it/s	 time: 0:03:43~0:59:59	 loss: 24.516>17.617	 lr: 0.00018174 ▲
[800/12001]	 3.137it/s	 time: 0:04:15~0:59:29	 loss: 21.799>13.582	 lr: 0.00020625 ▲
[900/12001]	 3.136it/s	 time: 0:04:47~0:58:59	 loss: 33.035>10.898	 lr: 0.00023074 ▲
[1000/12001]	 3.125it/s	 time: 0:05:20~0:58:40	 loss: 13.607>9.867	 lr: 0.00025524 ▲
model [cowboy16_iso2_v3_cp1000] saved to _checkpoints...
[1100/12001]	 3.125it/s	 time: 0:05:52~0:58:08	 loss: 13.964>9.68	 lr: 0.00027975 ▲
[1200/12001]	 3.133it/s	 time: 0:06:23~0:57:27	 loss: 13.768>9.562	 lr: 0.00030425 ▲
[1300/12001]	 3.125it/s	 time: 0:06:56~0:57:04	 loss: 14.241>9.562	 lr: 0.00032875 ▲
[1400/12001]	 3.125it/s	 time: 0:07:28~0:56:32	 loss: 13.659>9.562	 lr: 0.00035324 ▲
[1500/12001]	 3.132it/s	 time: 0:07:59~0:55:53	 loss: 13.108>9.232	 lr: 0.00037774 ▲
[1600/12001]	 3.131it/s	 time: 0:08:31~0:55:21	 loss: 11.701>8.644	 lr: 0.00040224 ▲
[1700/12001]	 3.131it/s	 time: 0:09:03~0:54:49	 loss: 10.375>7.394	 lr: 0.00042675 ▲
[1800/12001]	 3.13it/s	 time: 0:09:35~0:54:18	 loss: 9.384>7.262	 lr: 0.00045125 ▲
[1900/12001]	 3.13it/s	 time: 0:10:07~0:53:46	 loss: 9.242>7.189	 lr: 0.00047574 ▲
[2000/12001]	 3.14it/s	 time: 0:10:37~0:53:05	 loss: 8.622>6.273	 lr: 0.00049976 ▲
model [cowboy16_iso2_v3_cp2000] saved to _checkpoints...
[2100/12001]	 3.134it/s	 time: 0:11:10~0:52:38	 loss: 7.864>5.75	 lr: 0.00047526 ▼
[2200/12001]	 3.125it/s	 time: 0:11:44~0:52:16	 loss: 8.317>5.75	 lr: 0.00045075 ▼
[2300/12001]	 3.121it/s	 time: 0:12:17~0:51:48	 loss: 7.761>5.75	 lr: 0.00042625 ▼
