****************
timestamp: 2023-11-14 09:26:44.663151
initializing training...
device: cuda
nca perception channels: 68
nca parameter count: 10880
training new model from scratch...
model: cowboy16_quat_2
type: QUATERNION
batch-size: 4
pool-size: 32
lr: 0.001>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 5001 epochs...
[20/5001]	 0.299it/s	 time: 0:01:07~4:38:03	 loss: 29.049>21.376	 lr: 2.039e-05 ▲
[40/5001]	 0.299it/s	 time: 0:02:14~4:36:56	 loss: 34.997>21.077	 lr: 3.03e-05 ▲
[60/5001]	 0.302it/s	 time: 0:03:19~4:33:04	 loss: 22.715>21.077	 lr: 4.019e-05 ▲
[80/5001]	 0.303it/s	 time: 0:04:24~4:30:36	 loss: 22.779>20.283	 lr: 5.01e-05 ▲
[100/5001]	 0.304it/s	 time: 0:05:29~4:28:41	 loss: 24.257>20.283	 lr: 5.999e-05 ▲
[120/5001]	 0.302it/s	 time: 0:06:38~4:29:45	 loss: 27.258>20.069	 lr: 6.99e-05 ▲
[140/5001]	 0.302it/s	 time: 0:07:44~4:28:27	 loss: 23.252>19.827	 lr: 7.98e-05 ▲
[160/5001]	 0.302it/s	 time: 0:08:50~4:27:12	 loss: 325.184>19.827	 lr: 8.969e-05 ▲
[180/5001]	 0.304it/s	 time: 0:09:52~4:24:12	 loss: 280.252>19.827	 lr: 9.96e-05 ▲
[200/5001]	 0.304it/s	 time: 0:10:58~4:23:12	 loss: 72.943>19.827	 lr: 0.00010949 ▲
[220/5001]	 0.303it/s	 time: 0:12:05~4:22:32	 loss: 23.966>19.827	 lr: 0.0001194 ▲
[240/5001]	 0.303it/s	 time: 0:13:12~4:21:48	 loss: 25.903>19.827	 lr: 0.00012929 ▲
[260/5001]	 0.303it/s	 time: 0:14:17~4:20:23	 loss: 589.564>19.827	 lr: 0.0001392 ▲
[280/5001]	 0.304it/s	 time: 0:15:20~4:18:28	 loss: 397.861>19.827	 lr: 0.00014909 ▲
[300/5001]	 0.304it/s	 time: 0:16:26~4:17:27	 loss: 45.709>19.827	 lr: 0.000159 ▲
[320/5001]	 0.306it/s	 time: 0:17:27~4:15:12	 loss: 24.012>19.827	 lr: 0.00016889 ▲
[340/5001]	 0.305it/s	 time: 0:18:33~4:14:14	 loss: 23.498>19.827	 lr: 0.0001788 ▲
[360/5001]	 0.304it/s	 time: 0:19:43~4:14:07	 loss: 24.567>19.827	 lr: 0.00018869 ▲
[380/5001]	 0.304it/s	 time: 0:20:51~4:13:29	 loss: 23.193>19.827	 lr: 0.0001986 ▲
[400/5001]	 0.304it/s	 time: 0:21:57~4:12:25	 loss: 25.973>19.827	 lr: 0.00020849 ▲
[420/5001]	 0.303it/s	 time: 0:23:04~4:11:32	 loss: 25.116>19.827	 lr: 0.0002184 ▲
[440/5001]	 0.304it/s	 time: 0:24:08~4:10:06	 loss: 28.789>19.664	 lr: 0.00022829 ▲
[460/5001]	 0.303it/s	 time: 0:25:17~4:09:32	 loss: 24.78>19.664	 lr: 0.0002382 ▲
[480/5001]	 0.304it/s	 time: 0:26:19~4:07:48	 loss: 24.373>19.664	 lr: 0.00024809 ▲
[500/5001]	 0.304it/s	 time: 0:27:26~4:06:54	 loss: 23.576>19.664	 lr: 0.000258 ▲
[520/5001]	 0.303it/s	 time: 0:28:34~4:06:06	 loss: 25.724>19.664	 lr: 0.0002679 ▲
[540/5001]	 0.304it/s	 time: 0:29:38~4:04:44	 loss: 23.951>19.193	 lr: 0.0002778 ▲
[560/5001]	 0.304it/s	 time: 0:30:42~4:03:24	 loss: 34.055>19.193	 lr: 0.00028769 ▲
[580/5001]	 0.304it/s	 time: 0:31:45~4:01:57	 loss: 25.361>19.193	 lr: 0.00029759 ▲
[600/5001]	 0.304it/s	 time: 0:32:54~4:01:16	 loss: 22.656>19.193	 lr: 0.0003075 ▲
[620/5001]	 0.304it/s	 time: 0:34:02~4:00:25	 loss: 22.577>19.193	 lr: 0.0003174 ▲
[640/5001]	 0.303it/s	 time: 0:35:09~3:59:27	 loss: 23.306>18.815	 lr: 0.0003273 ▲
[660/5001]	 0.304it/s	 time: 0:36:14~3:58:15	 loss: 22.517>18.815	 lr: 0.00033719 ▲
[680/5001]	 0.304it/s	 time: 0:37:19~3:57:04	 loss: 21.918>17.891	 lr: 0.0003471 ▲
[700/5001]	 0.303it/s	 time: 0:38:28~3:56:17	 loss: 22.147>17.891	 lr: 0.00035699 ▲
[720/5001]	 0.303it/s	 time: 0:39:35~3:55:18	 loss: 22.126>17.891	 lr: 0.0003669 ▲
[740/5001]	 0.303it/s	 time: 0:40:40~3:54:06	 loss: 20.58>17.891	 lr: 0.00037679 ▲
[760/5001]	 0.303it/s	 time: 0:41:45~3:52:55	 loss: 20.737>17.284	 lr: 0.0003867 ▲
[780/5001]	 0.303it/s	 time: 0:42:51~3:51:49	 loss: 18.798>17.005	 lr: 0.00039659 ▲
[800/5001]	 0.303it/s	 time: 0:43:58~3:50:49	 loss: 18.083>16.114	 lr: 0.0004065 ▲
[820/5001]	 0.303it/s	 time: 0:45:06~3:49:54	 loss: 18.658>15.02	 lr: 0.00041639 ▲
[840/5001]	 0.303it/s	 time: 0:46:14~3:48:57	 loss: 19.896>15.02	 lr: 0.0004263 ▲
