****************
timestamp: 2024-02-01 13:14:07.345111
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 65
nca parameter count: 10496
nca isotropic type: 3
training new model from scratch...
model: cowboy16_quat_v2
type: 2
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 10001 epochs...
[100/10001]	 0.28it/s	 time: 0:05:57~9:49:03	 loss: 422.106>16.553	 lr: 3.474e-05 ▲
[200/10001]	 0.274it/s	 time: 0:12:09~9:55:21	 loss: 1381.106>16.553	 lr: 5.924e-05 ▲
[300/10001]	 0.273it/s	 time: 0:18:20~9:52:46	 loss: 3863.835>16.553	 lr: 8.375e-05 ▲
[400/10001]	 0.273it/s	 time: 0:24:27~9:46:47	 loss: 506.615>15.589	 lr: 0.00010824 ▲
[500/10001]	 0.272it/s	 time: 0:30:37~9:41:43	 loss: 122.881>15.589	 lr: 0.00013275 ▲
[600/10001]	 0.272it/s	 time: 0:36:45~9:35:45	 loss: 15682.971>15.589	 lr: 0.00015724 ▲
[700/10001]	 0.269it/s	 time: 0:43:18~9:35:16	 loss: 54.155>15.233	 lr: 0.00018174 ▲
[800/10001]	 0.266it/s	 time: 0:50:06~9:36:09	 loss: 580.098>13.806	 lr: 0.00020625 ▲
[900/10001]	 0.266it/s	 time: 0:56:26~9:30:36	 loss: 620.006>12.981	 lr: 0.00023074 ▲
[1000/10001]	 0.266it/s	 time: 1:02:40~9:24:00	 loss: 796.402>12.491	 lr: 0.00025524 ▲
[1100/10001]	 0.267it/s	 time: 1:08:46~9:16:23	 loss: 15.617>11.767	 lr: 0.00027975 ▲
[1200/10001]	 0.267it/s	 time: 1:14:59~9:09:52	 loss: 13.584>11.041	 lr: 0.00030425 ▲
[1300/10001]	 0.266it/s	 time: 1:21:20~9:04:18	 loss: 32.815>11.041	 lr: 0.00032875 ▲
[1400/10001]	 0.265it/s	 time: 1:27:57~9:00:15	 loss: 13.497>10.884	 lr: 0.00035324 ▲
[1500/10001]	 0.265it/s	 time: 1:34:10~8:53:36	 loss: 12.4>10.016	 lr: 0.00037774 ▲
[1600/10001]	 0.266it/s	 time: 1:40:11~8:45:57	 loss: 11.221>9.485	 lr: 0.00040224 ▲
[1700/10001]	 0.269it/s	 time: 1:45:28~8:34:55	 loss: 10.768>8.842	 lr: 0.00042675 ▲
