****************
timestamp: 2024-04-09 00:59:55.580548
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: earth_aniso_single_1
type: ANISOTROPIC
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.001>1e-05 w/ 2000 step
seed.shape: [1, 16, 32, 32, 32]
target.shape: [4, 4, 32, 32, 32]
starting training w/ 50001 epochs...
[100/50001]	 1.695it/s	 time: 0:00:59~8:10:41	 loss: 5948.025>33.467	 lr: 5.999e-05 ▲
[200/50001]	 1.709it/s	 time: 0:01:57~8:05:33	 loss: 9233.869>33.467	 lr: 0.00010949 ▲
[300/50001]	 1.714it/s	 time: 0:02:55~8:03:11	 loss: 2832.136>33.467	 lr: 0.000159 ▲
[400/50001]	 1.709it/s	 time: 0:03:54~8:03:36	 loss: 1048.61>33.467	 lr: 0.00020849 ▲
[500/50001]	 1.712it/s	 time: 0:04:52~8:01:48	 loss: 1676.116>33.467	 lr: 0.000258 ▲
[600/50001]	 1.714it/s	 time: 0:05:50~8:00:16	 loss: 3272.71>33.467	 lr: 0.0003075 ▲
[700/50001]	 1.716it/s	 time: 0:06:48~7:58:54	 loss: 668.753>33.467	 lr: 0.00035699 ▲
[800/50001]	 1.717it/s	 time: 0:07:46~7:57:39	 loss: 37.186>31.063	 lr: 0.0004065 ▲
[900/50001]	 1.718it/s	 time: 0:08:44~7:56:27	 loss: 35.576>29.613	 lr: 0.00045599 ▲
[1000/50001]	 1.718it/s	 time: 0:09:42~7:55:18	 loss: 35.223>28.094	 lr: 0.00050549 ▲
[1100/50001]	 1.719it/s	 time: 0:10:40~7:54:10	 loss: 40.759>28.094	 lr: 0.000555 ▲
[1200/50001]	 1.719it/s	 time: 0:11:38~7:53:05	 loss: 45.664>28.094	 lr: 0.0006045 ▲
[1300/50001]	 1.722it/s	 time: 0:12:35~7:51:23	 loss: 55.816>27.434	 lr: 0.000654 ▲
[1400/50001]	 1.722it/s	 time: 0:13:33~7:50:22	 loss: 46.759>27.434	 lr: 0.0007035 ▲
