****************
timestamp: 2023-12-13 10:16:12.944159
initializing training...
device: cuda
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: ghosty_iso2_v12
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 12001 epochs...
[100/12001]	 3.125it/s	 time: 0:00:32~1:03:28	 loss: 5206.314>28.888	 lr: 3.474e-05 ▲
[200/12001]	 3.125it/s	 time: 0:01:04~1:02:56	 loss: 3899.985>27.631	 lr: 5.924e-05 ▲
[300/12001]	 3.125it/s	 time: 0:01:36~1:02:24	 loss: 230.632>27.631	 lr: 8.375e-05 ▲
[400/12001]	 3.125it/s	 time: 0:02:08~1:01:52	 loss: 3303.581>24.737	 lr: 0.00010824 ▲
[500/12001]	 3.106it/s	 time: 0:02:41~1:01:43	 loss: 242.11>23.368	 lr: 0.00013275 ▲
[600/12001]	 3.109it/s	 time: 0:03:13~1:01:07	 loss: 1010.756>22.527	 lr: 0.00015724 ▲
[700/12001]	 3.125it/s	 time: 0:03:44~1:00:16	 loss: 66.383>18.904	 lr: 0.00018174 ▲
[800/12001]	 3.125it/s	 time: 0:04:16~0:59:44	 loss: 328.356>18.812	 lr: 0.00020625 ▲
[900/12001]	 3.125it/s	 time: 0:04:48~0:59:12	 loss: 174.076>17.067	 lr: 0.00023074 ▲
[1000/12001]	 3.125it/s	 time: 0:05:20~0:58:40	 loss: 39.268>14.181	 lr: 0.00025524 ▲
[1100/12001]	 3.125it/s	 time: 0:05:52~0:58:08	 loss: 26.181>11.86	 lr: 0.00027975 ▲
[1200/12001]	 3.133it/s	 time: 0:06:23~0:57:27	 loss: 15.631>11.273	 lr: 0.00030425 ▲
[1300/12001]	 3.14it/s	 time: 0:06:54~0:56:47	 loss: 19.151>9.25	 lr: 0.00032875 ▲
[1400/12001]	 3.139it/s	 time: 0:07:26~0:56:16	 loss: 12.589>9.25	 lr: 0.00035324 ▲
[1500/12001]	 3.132it/s	 time: 0:07:59~0:55:53	 loss: 11.826>9.25	 lr: 0.00037774 ▲
[1600/12001]	 3.119it/s	 time: 0:08:33~0:55:34	 loss: 9.831>7.135	 lr: 0.00040224 ▲
[1700/12001]	 3.108it/s	 time: 0:09:07~0:55:14	 loss: 9.619>7.135	 lr: 0.00042675 ▲
[1800/12001]	 3.109it/s	 time: 0:09:39~0:54:41	 loss: 8.353>6.154	 lr: 0.00045125 ▲
[1900/12001]	 3.105it/s	 time: 0:10:12~0:54:13	 loss: 7.517>5.322	 lr: 0.00047574 ▲
[2000/12001]	 3.106it/s	 time: 0:10:44~0:53:40	 loss: 7.822>5.109	 lr: 0.00049976 ▲
[2100/12001]	 3.107it/s	 time: 0:11:16~0:53:06	 loss: 6.409>4.468	 lr: 0.00047526 ▼
[2200/12001]	 3.107it/s	 time: 0:11:48~0:52:33	 loss: 6.606>4.219	 lr: 0.00045075 ▼
[2300/12001]	 3.112it/s	 time: 0:12:19~0:51:56	 loss: 6.073>3.991	 lr: 0.00042625 ▼
[2400/12001]	 3.113it/s	 time: 0:12:51~0:51:24	 loss: 4.97>3.233	 lr: 0.00040176 ▼
[2500/12001]	 3.113it/s	 time: 0:13:23~0:50:51	 loss: 4.44>3.047	 lr: 0.00037726 ▼
[2600/12001]	 3.11it/s	 time: 0:13:56~0:50:22	 loss: 4.47>2.841	 lr: 0.00035276 ▼
[2700/12001]	 3.107it/s	 time: 0:14:29~0:49:53	 loss: 4.064>2.706	 lr: 0.00032825 ▼
[2800/12001]	 3.108it/s	 time: 0:15:01~0:49:20	 loss: 3.749>2.579	 lr: 0.00030375 ▼
[2900/12001]	 3.108it/s	 time: 0:15:33~0:48:47	 loss: 4.186>2.579	 lr: 0.00027926 ▼
[3000/12001]	 3.109it/s	 time: 0:16:05~0:48:15	 loss: 4.027>2.506	 lr: 0.00025476 ▼
model [ghosty_iso2_v12_cp3000] saved to _checkpoints...
[3100/12001]	 3.112it/s	 time: 0:16:36~0:47:39	 loss: 4.658>2.403	 lr: 0.00023026 ▼
[3200/12001]	 3.113it/s	 time: 0:17:08~0:47:07	 loss: 4.322>2.403	 lr: 0.00020575 ▼
[3300/12001]	 3.113it/s	 time: 0:17:40~0:46:34	 loss: 4.176>2.351	 lr: 0.00018125 ▼
[3400/12001]	 3.116it/s	 time: 0:18:11~0:45:59	 loss: 4.665>2.351	 lr: 0.00015676 ▼
[3500/12001]	 3.117it/s	 time: 0:18:43~0:45:27	 loss: 4.159>2.301	 lr: 0.00013226 ▼
[3600/12001]	 3.117it/s	 time: 0:19:15~0:44:54	 loss: 3.391>2.116	 lr: 0.00010776 ▼
[3700/12001]	 3.114it/s	 time: 0:19:48~0:44:24	 loss: 2.945>1.906	 lr: 8.325e-05 ▼
[3800/12001]	 3.11it/s	 time: 0:20:22~0:43:56	 loss: 2.856>1.841	 lr: 5.875e-05 ▼
[3900/12001]	 3.108it/s	 time: 0:20:55~0:43:26	 loss: 2.452>1.799	 lr: 3.426e-05 ▼
[4000/12001]	 3.106it/s	 time: 0:21:28~0:42:56	 loss: 2.393>1.706	 lr: 1.012e-05 ▼
[4100/12001]	 3.106it/s	 time: 0:22:00~0:42:23	 loss: 2.246>1.683	 lr: 2.237e-05 ▲
[4200/12001]	 3.107it/s	 time: 0:22:32~0:41:50	 loss: 2.381>1.683	 lr: 3.462e-05 ▲
[4300/12001]	 3.107it/s	 time: 0:23:04~0:41:18	 loss: 2.251>1.673	 lr: 4.687e-05 ▲
[4400/12001]	 3.107it/s	 time: 0:23:36~0:40:45	 loss: 2.286>1.663	 lr: 5.912e-05 ▲
[4500/12001]	 3.108it/s	 time: 0:24:08~0:40:13	 loss: 2.54>1.647	 lr: 7.137e-05 ▲
