****************
timestamp: 2024-03-25 12:41:07.406429
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: gray_cactus_iso3_v0
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 33, 33, 33]
target.shape: [4, 4, 33, 33, 33]
starting training w/ 20001 epochs...
[100/20001]	 1.266it/s	 time: 0:01:19~4:22:00	 loss: 14.986>4.816	 lr: 3.474e-05 ▲
[200/20001]	 1.274it/s	 time: 0:02:37~4:19:03	 loss: 8.052>4.574	 lr: 5.924e-05 ▲
[300/20001]	 1.271it/s	 time: 0:03:56~4:18:17	 loss: 4.659>4.292	 lr: 8.375e-05 ▲
[400/20001]	 1.266it/s	 time: 0:05:16~4:18:03	 loss: 4.932>4.006	 lr: 0.00010824 ▲
[500/20001]	 1.276it/s	 time: 0:06:32~4:14:48	 loss: 4.779>3.766	 lr: 0.00013275 ▲
[600/20001]	 1.271it/s	 time: 0:07:52~4:14:21	 loss: 5.042>3.586	 lr: 0.00015724 ▲
[700/20001]	 1.273it/s	 time: 0:09:10~4:12:44	 loss: 3.855>3.364	 lr: 0.00018174 ▲
[800/20001]	 1.274it/s	 time: 0:10:28~4:11:12	 loss: 3.497>3.125	 lr: 0.00020625 ▲
[900/20001]	 1.271it/s	 time: 0:11:48~4:10:25	 loss: 3.341>2.94	 lr: 0.00023074 ▲
[1000/20001]	 1.272it/s	 time: 0:13:06~4:08:53	 loss: 3.184>2.878	 lr: 0.00025524 ▲
[1100/20001]	 1.273it/s	 time: 0:14:24~4:07:25	 loss: 2.997>2.619	 lr: 0.00027975 ▲
[1200/20001]	 1.273it/s	 time: 0:15:43~4:06:13	 loss: 2.943>2.61	 lr: 0.00030425 ▲
[1300/20001]	 1.275it/s	 time: 0:17:00~4:04:32	 loss: 2.802>2.499	 lr: 0.00032875 ▲
[1400/20001]	 1.273it/s	 time: 0:18:20~4:03:34	 loss: 2.731>2.499	 lr: 0.00035324 ▲
[1500/20001]	 1.271it/s	 time: 0:19:40~4:02:33	 loss: 2.695>2.42	 lr: 0.00037774 ▲
[1600/20001]	 1.271it/s	 time: 0:20:59~4:01:18	 loss: 2.474>2.097	 lr: 0.00040224 ▲
[1700/20001]	 1.271it/s	 time: 0:22:18~4:00:03	 loss: 2.554>2.097	 lr: 0.00042675 ▲
[1800/20001]	 1.271it/s	 time: 0:23:36~3:58:37	 loss: 2.38>2.015	 lr: 0.00045125 ▲
[1900/20001]	 1.272it/s	 time: 0:24:54~3:57:12	 loss: 2.244>1.903	 lr: 0.00047574 ▲
[2000/20001]	 1.271it/s	 time: 0:26:13~3:55:57	 loss: 2.189>1.786	 lr: 0.00049976 ▲
[2100/20001]	 1.271it/s	 time: 0:27:32~3:54:41	 loss: 2.09>1.754	 lr: 0.00047526 ▼
[2200/20001]	 1.272it/s	 time: 0:28:50~3:53:17	 loss: 1.962>1.571	 lr: 0.00045075 ▼
[2300/20001]	 1.271it/s	 time: 0:30:09~3:52:01	 loss: 1.921>1.559	 lr: 0.00042625 ▼
[2400/20001]	 1.271it/s	 time: 0:31:28~3:50:45	 loss: 1.77>1.5	 lr: 0.00040176 ▼
[2500/20001]	 1.272it/s	 time: 0:32:46~3:49:22	 loss: 1.684>1.44	 lr: 0.00037726 ▼
[2600/20001]	 1.271it/s	 time: 0:34:05~3:48:05	 loss: 1.603>1.359	 lr: 0.00035276 ▼
[2700/20001]	 1.272it/s	 time: 0:35:23~3:46:42	 loss: 1.598>1.268	 lr: 0.00032825 ▼
[2800/20001]	 1.272it/s	 time: 0:36:41~3:45:20	 loss: 1.533>1.252	 lr: 0.00030375 ▼
[2900/20001]	 1.272it/s	 time: 0:38:00~3:44:04	 loss: 1.487>1.222	 lr: 0.00027926 ▼
[3000/20001]	 1.272it/s	 time: 0:39:18~3:42:41	 loss: 1.392>1.151	 lr: 0.00025476 ▼
[3100/20001]	 1.273it/s	 time: 0:40:36~3:41:20	 loss: 1.387>1.123	 lr: 0.00023026 ▼
[3200/20001]	 1.272it/s	 time: 0:41:55~3:40:03	 loss: 1.345>1.118	 lr: 0.00020575 ▼
[3300/20001]	 1.272it/s	 time: 0:43:14~3:38:47	 loss: 1.328>1.078	 lr: 0.00018125 ▼
[3400/20001]	 1.272it/s	 time: 0:44:32~3:37:25	 loss: 1.236>1.006	 lr: 0.00015676 ▼
[3500/20001]	 1.273it/s	 time: 0:45:49~3:35:59	 loss: 1.245>0.962	 lr: 0.00013226 ▼
[3600/20001]	 1.273it/s	 time: 0:47:08~3:34:43	 loss: 1.203>0.877	 lr: 0.00010776 ▼
[3700/20001]	 1.273it/s	 time: 0:48:27~3:33:26	 loss: 1.126>0.864	 lr: 8.325e-05 ▼
[3800/20001]	 1.272it/s	 time: 0:49:47~3:32:14	 loss: 1.077>0.864	 lr: 5.875e-05 ▼
[3900/20001]	 1.273it/s	 time: 0:51:04~3:30:48	 loss: 1.062>0.818	 lr: 3.426e-05 ▼
[4000/20001]	 1.273it/s	 time: 0:52:22~3:29:28	 loss: 1.048>0.795	 lr: 1.012e-05 ▼
[4100/20001]	 1.274it/s	 time: 0:53:39~3:28:03	 loss: 1.067>0.795	 lr: 2.237e-05 ▲
[4200/20001]	 1.273it/s	 time: 0:54:59~3:26:50	 loss: 1.017>0.795	 lr: 3.462e-05 ▲
[4300/20001]	 1.273it/s	 time: 0:56:17~3:25:29	 loss: 1.052>0.795	 lr: 4.687e-05 ▲
[4400/20001]	 1.273it/s	 time: 0:57:36~3:24:13	 loss: 1.053>0.767	 lr: 5.912e-05 ▲
[4500/20001]	 1.273it/s	 time: 0:58:56~3:22:59	 loss: 1.042>0.767	 lr: 7.137e-05 ▲
[4600/20001]	 1.273it/s	 time: 1:00:13~3:21:35	 loss: 1.012>0.759	 lr: 8.362e-05 ▲
[4700/20001]	 1.272it/s	 time: 1:01:34~3:20:25	 loss: 1.081>0.746	 lr: 9.587e-05 ▲
[4800/20001]	 1.273it/s	 time: 1:02:52~3:19:04	 loss: 0.995>0.735	 lr: 0.00010812 ▲
[4900/20001]	 1.273it/s	 time: 1:04:10~3:17:44	 loss: 0.964>0.732	 lr: 0.00012037 ▲
[5000/20001]	 1.273it/s	 time: 1:05:29~3:16:27	 loss: 0.949>0.732	 lr: 0.00013262 ▲
model [gray_cactus_iso3_v0_cp5000] saved to _checkpoints...
[5100/20001]	 1.273it/s	 time: 1:06:46~3:15:03	 loss: 0.975>0.655	 lr: 0.00014487 ▲
[5200/20001]	 1.273it/s	 time: 1:08:06~3:13:49	 loss: 1.042>0.655	 lr: 0.00015712 ▲
[5300/20001]	 1.273it/s	 time: 1:09:25~3:12:31	 loss: 1.021>0.655	 lr: 0.00016937 ▲
[5400/20001]	 1.272it/s	 time: 1:10:44~3:11:14	 loss: 0.984>0.655	 lr: 0.00018162 ▲
[5500/20001]	 1.273it/s	 time: 1:12:02~3:09:54	 loss: 0.988>0.655	 lr: 0.00019387 ▲
[5600/20001]	 1.272it/s	 time: 1:13:21~3:08:36	 loss: 0.986>0.655	 lr: 0.00020612 ▲
[5700/20001]	 1.273it/s	 time: 1:14:39~3:07:16	 loss: 0.951>0.621	 lr: 0.00021837 ▲
[5800/20001]	 1.273it/s	 time: 1:15:56~3:05:54	 loss: 0.946>0.618	 lr: 0.00023062 ▲
[5900/20001]	 1.273it/s	 time: 1:17:15~3:04:36	 loss: 0.989>0.614	 lr: 0.00024287 ▲
[6000/20001]	 1.273it/s	 time: 1:18:35~3:03:21	 loss: 0.907>0.614	 lr: 0.00025488 ▲
[6100/20001]	 1.273it/s	 time: 1:19:52~3:01:59	 loss: 0.98>0.614	 lr: 0.00024263 ▼
[6200/20001]	 1.273it/s	 time: 1:21:09~3:00:37	 loss: 0.917>0.538	 lr: 0.00023038 ▼
[6300/20001]	 1.273it/s	 time: 1:22:27~2:59:17	 loss: 0.843>0.533	 lr: 0.00021813 ▼
[6400/20001]	 1.274it/s	 time: 1:23:44~2:57:56	 loss: 0.824>0.489	 lr: 0.00020588 ▼
[6500/20001]	 1.274it/s	 time: 1:25:03~2:56:38	 loss: 0.764>0.481	 lr: 0.00019363 ▼
[6600/20001]	 1.274it/s	 time: 1:26:22~2:55:21	 loss: 0.767>0.481	 lr: 0.00018138 ▼
[6700/20001]	 1.274it/s	 time: 1:27:41~2:54:03	 loss: 0.736>0.416	 lr: 0.00016913 ▼
[6800/20001]	 1.273it/s	 time: 1:29:01~2:52:47	 loss: 0.721>0.416	 lr: 0.00015688 ▼
[6900/20001]	 1.273it/s	 time: 1:30:20~2:51:30	 loss: 0.682>0.403	 lr: 0.00014463 ▼
[7000/20001]	 1.273it/s	 time: 1:31:39~2:50:12	 loss: 0.662>0.403	 lr: 0.00013238 ▼
[7100/20001]	 1.273it/s	 time: 1:32:57~2:48:52	 loss: 0.613>0.385	 lr: 0.00012013 ▼
[7200/20001]	 1.273it/s	 time: 1:34:16~2:47:35	 loss: 0.605>0.365	 lr: 0.00010788 ▼
[7300/20001]	 1.273it/s	 time: 1:35:36~2:46:19	 loss: 0.604>0.331	 lr: 9.563e-05 ▼
[7400/20001]	 1.272it/s	 time: 1:36:57~2:45:04	 loss: 0.554>0.331	 lr: 8.338e-05 ▼
[7500/20001]	 1.272it/s	 time: 1:38:16~2:43:46	 loss: 0.552>0.327	 lr: 7.113e-05 ▼
[7600/20001]	 1.272it/s	 time: 1:39:35~2:42:28	 loss: 0.525>0.325	 lr: 5.888e-05 ▼
[7700/20001]	 1.272it/s	 time: 1:40:55~2:41:12	 loss: 0.504>0.299	 lr: 4.663e-05 ▼
[7800/20001]	 1.272it/s	 time: 1:42:13~2:39:52	 loss: 0.566>0.299	 lr: 3.438e-05 ▼
[7900/20001]	 1.272it/s	 time: 1:43:32~2:38:34	 loss: 0.502>0.289	 lr: 2.213e-05 ▼
[8000/20001]	 1.271it/s	 time: 1:44:52~2:37:18	 loss: 0.491>0.28	 lr: 1.006e-05 ▼
[8100/20001]	 1.271it/s	 time: 1:46:11~2:35:59	 loss: 0.528>0.279	 lr: 1.619e-05 ▲
[8200/20001]	 1.272it/s	 time: 1:47:28~2:34:38	 loss: 0.554>0.279	 lr: 2.231e-05 ▲
[8300/20001]	 1.271it/s	 time: 1:48:48~2:33:22	 loss: 0.528>0.278	 lr: 2.844e-05 ▲
[8400/20001]	 1.272it/s	 time: 1:50:06~2:32:02	 loss: 0.507>0.278	 lr: 3.456e-05 ▲
[8500/20001]	 1.271it/s	 time: 1:51:26~2:30:45	 loss: 0.508>0.272	 lr: 4.069e-05 ▲
[8600/20001]	 1.272it/s	 time: 1:52:43~2:29:24	 loss: 0.509>0.272	 lr: 4.681e-05 ▲
[8700/20001]	 1.272it/s	 time: 1:54:01~2:28:05	 loss: 0.535>0.272	 lr: 5.294e-05 ▲
[8800/20001]	 1.272it/s	 time: 1:55:20~2:26:47	 loss: 0.525>0.269	 lr: 5.906e-05 ▲
[8900/20001]	 1.272it/s	 time: 1:56:38~2:25:27	 loss: 0.511>0.269	 lr: 6.519e-05 ▲
[9000/20001]	 1.272it/s	 time: 1:57:57~2:24:09	 loss: 0.535>0.269	 lr: 7.131e-05 ▲
[9100/20001]	 1.272it/s	 time: 1:59:15~2:22:50	 loss: 0.548>0.269	 lr: 7.744e-05 ▲
[9200/20001]	 1.272it/s	 time: 2:00:33~2:21:30	 loss: 0.524>0.269	 lr: 8.356e-05 ▲
[9300/20001]	 1.272it/s	 time: 2:01:52~2:20:12	 loss: 0.556>0.269	 lr: 8.969e-05 ▲
[9400/20001]	 1.272it/s	 time: 2:03:10~2:18:53	 loss: 0.535>0.269	 lr: 9.581e-05 ▲
[9500/20001]	 1.272it/s	 time: 2:04:29~2:17:35	 loss: 0.549>0.269	 lr: 0.00010194 ▲
[9600/20001]	 1.272it/s	 time: 2:05:48~2:16:17	 loss: 0.546>0.269	 lr: 0.00010806 ▲
[9700/20001]	 1.272it/s	 time: 2:07:06~2:14:57	 loss: 0.586>0.269	 lr: 0.00011419 ▲
[9800/20001]	 1.272it/s	 time: 2:08:25~2:13:39	 loss: 0.514>0.269	 lr: 0.00012031 ▲
[9900/20001]	 1.272it/s	 time: 2:09:42~2:12:19	 loss: 0.583>0.269	 lr: 0.00012644 ▲
[10000/20001]	 1.272it/s	 time: 2:11:01~2:11:01	 loss: 0.575>0.269	 lr: 0.00013244 ▲
model [gray_cactus_iso3_v0_cp10000] saved to _checkpoints...
[10100/20001]	 1.272it/s	 time: 2:12:22~2:09:44	 loss: 0.546>0.269	 lr: 0.00012631 ▼
[10200/20001]	 1.272it/s	 time: 2:13:39~2:08:24	 loss: 0.508>0.269	 lr: 0.00012019 ▼
[10300/20001]	 1.272it/s	 time: 2:14:58~2:07:06	 loss: 0.531>0.269	 lr: 0.00011406 ▼
[10400/20001]	 1.272it/s	 time: 2:16:17~2:05:48	 loss: 0.517>0.268	 lr: 0.00010794 ▼
[10500/20001]	 1.272it/s	 time: 2:17:37~2:04:30	 loss: 0.503>0.265	 lr: 0.00010181 ▼
[10600/20001]	 1.272it/s	 time: 2:18:54~2:03:10	 loss: 0.502>0.265	 lr: 9.569e-05 ▼
[10700/20001]	 1.272it/s	 time: 2:20:13~2:01:52	 loss: 0.461>0.235	 lr: 8.956e-05 ▼
[10800/20001]	 1.272it/s	 time: 2:21:32~2:00:33	 loss: 0.496>0.235	 lr: 8.344e-05 ▼
[10900/20001]	 1.272it/s	 time: 2:22:50~1:59:14	 loss: 0.504>0.235	 lr: 7.731e-05 ▼
[11000/20001]	 1.272it/s	 time: 2:24:08~1:57:55	 loss: 0.445>0.235	 lr: 7.119e-05 ▼
[11100/20001]	 1.272it/s	 time: 2:25:28~1:56:38	 loss: 0.425>0.216	 lr: 6.506e-05 ▼
[11200/20001]	 1.272it/s	 time: 2:26:47~1:55:19	 loss: 0.422>0.216	 lr: 5.894e-05 ▼
[11300/20001]	 1.272it/s	 time: 2:28:05~1:54:00	 loss: 0.466>0.216	 lr: 5.281e-05 ▼
[11400/20001]	 1.272it/s	 time: 2:29:21~1:52:40	 loss: 0.419>0.216	 lr: 4.669e-05 ▼
[11500/20001]	 1.272it/s	 time: 2:30:39~1:51:20	 loss: 0.438>0.215	 lr: 4.056e-05 ▼
[11600/20001]	 1.272it/s	 time: 2:31:56~1:50:01	 loss: 0.418>0.215	 lr: 3.444e-05 ▼
[11700/20001]	 1.272it/s	 time: 2:33:15~1:48:42	 loss: 0.377>0.215	 lr: 2.831e-05 ▼
[11800/20001]	 1.272it/s	 time: 2:34:34~1:47:24	 loss: 0.407>0.206	 lr: 2.219e-05 ▼
[11900/20001]	 1.272it/s	 time: 2:35:52~1:46:05	 loss: 0.414>0.202	 lr: 1.606e-05 ▼
[12000/20001]	 1.272it/s	 time: 2:37:11~1:44:47	 loss: 0.387>0.202	 lr: 1.003e-05 ▼
[12100/20001]	 1.273it/s	 time: 2:38:28~1:43:27	 loss: 0.423>0.202	 lr: 1.309e-05 ▲
[12200/20001]	 1.273it/s	 time: 2:39:47~1:42:09	 loss: 0.386>0.202	 lr: 1.616e-05 ▲
[12300/20001]	 1.273it/s	 time: 2:41:05~1:40:50	 loss: 0.395>0.201	 lr: 1.922e-05 ▲
[12400/20001]	 1.273it/s	 time: 2:42:23~1:39:31	 loss: 0.391>0.201	 lr: 2.228e-05 ▲
