****************
timestamp: 2024-04-03 22:13:31.330447
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 65
nca parameter count: 10496
nca isotropic type: 3
training new model from scratch...
model: minicube5_quat_v3
type: QUATERNION
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 8
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 9, 9, 9]
target.shape: [8, 4, 9, 9, 9]
starting training w/ 10001 epochs...
[100/10001]	 0.262it/s	 time: 0:06:21~10:28:39	 loss: 317.941>20.935	 lr: 3.474e-05 ▲
[200/10001]	 0.286it/s	 time: 0:11:40~9:31:40	 loss: 3629.301>20.935	 lr: 5.924e-05 ▲
[300/10001]	 0.294it/s	 time: 0:17:00~9:09:40	 loss: 85395.556>20.935	 lr: 8.375e-05 ▲
[400/10001]	 0.3it/s	 time: 0:22:12~8:52:48	 loss: 2197.426>20.935	 lr: 0.00010824 ▲
[500/10001]	 0.3it/s	 time: 0:27:47~8:47:53	 loss: 269.553>20.935	 lr: 0.00013275 ▲
[600/10001]	 0.302it/s	 time: 0:33:10~8:39:36	 loss: 26.847>20.935	 lr: 0.00015724 ▲
[700/10001]	 0.303it/s	 time: 0:38:29~8:31:16	 loss: 23.803>19.102	 lr: 0.00018174 ▲
[800/10001]	 0.305it/s	 time: 0:43:43~8:22:44	 loss: 24.508>19.102	 lr: 0.00020625 ▲
[900/10001]	 0.306it/s	 time: 0:49:00~8:15:26	 loss: 20.008>16.698	 lr: 0.00023074 ▲
[1000/10001]	 0.307it/s	 time: 0:54:13~8:07:57	 loss: 84.598>16.3	 lr: 0.00025524 ▲
[1100/10001]	 0.305it/s	 time: 1:00:11~8:06:56	 loss: 20.264>14.95	 lr: 0.00027975 ▲
[1200/10001]	 0.306it/s	 time: 1:05:21~7:59:14	 loss: 16.397>13.326	 lr: 0.00030425 ▲
[1300/10001]	 0.307it/s	 time: 1:10:32~7:52:01	 loss: 19.239>11.41	 lr: 0.00032875 ▲
[1400/10001]	 0.308it/s	 time: 1:15:52~7:46:02	 loss: 17.029>10.774	 lr: 0.00035324 ▲
[1500/10001]	 0.309it/s	 time: 1:21:00~7:39:00	 loss: 14.226>9.708	 lr: 0.00037774 ▲
[1600/10001]	 0.308it/s	 time: 1:26:32~7:34:18	 loss: 13.918>8.145	 lr: 0.00040224 ▲
[1700/10001]	 0.308it/s	 time: 1:31:55~7:28:46	 loss: 24.337>7.751	 lr: 0.00042675 ▲
[1800/10001]	 0.309it/s	 time: 1:37:13~7:22:52	 loss: 9.999>6.924	 lr: 0.00045125 ▲
[1900/10001]	 0.309it/s	 time: 1:42:24~7:16:32	 loss: 9.465>6.197	 lr: 0.00047574 ▲
[2000/10001]	 0.31it/s	 time: 1:47:41~7:10:44	 loss: 8.232>6.011	 lr: 0.00049976 ▲
[2100/10001]	 0.31it/s	 time: 1:52:57~7:04:54	 loss: 9.227>5.554	 lr: 0.00047526 ▼
[2200/10001]	 0.309it/s	 time: 1:58:39~7:00:40	 loss: 7.563>5.216	 lr: 0.00045075 ▼
[2300/10001]	 0.309it/s	 time: 2:03:52~6:54:41	 loss: 6.793>5.135	 lr: 0.00042625 ▼
[2400/10001]	 0.31it/s	 time: 2:09:09~6:48:58	 loss: 6.549>4.907	 lr: 0.00040176 ▼
[2500/10001]	 0.31it/s	 time: 2:14:23~6:43:09	 loss: 6.376>4.881	 lr: 0.00037726 ▼
[2600/10001]	 0.31it/s	 time: 2:19:42~6:37:36	 loss: 6.078>4.713	 lr: 0.00035276 ▼
[2700/10001]	 0.31it/s	 time: 2:24:56~6:31:51	 loss: 6.13>4.303	 lr: 0.00032825 ▼
[2800/10001]	 0.311it/s	 time: 2:30:12~6:26:13	 loss: 5.892>4.099	 lr: 0.00030375 ▼
[2900/10001]	 0.311it/s	 time: 2:35:27~6:20:35	 loss: 6.361>3.931	 lr: 0.00027926 ▼
[3000/10001]	 0.311it/s	 time: 2:40:44~6:15:02	 loss: 5.67>3.554	 lr: 0.00025476 ▼
[3100/10001]	 0.311it/s	 time: 2:46:18~6:10:09	 loss: 5.433>3.408	 lr: 0.00023026 ▼
[3200/10001]	 0.311it/s	 time: 2:51:40~6:04:47	 loss: 5.103>3.211	 lr: 0.00020575 ▼
[3300/10001]	 0.311it/s	 time: 2:56:53~5:59:07	 loss: 5.245>3.211	 lr: 0.00018125 ▼
[3400/10001]	 0.311it/s	 time: 3:02:08~5:53:33	 loss: 4.623>2.948	 lr: 0.00015676 ▼
[3500/10001]	 0.311it/s	 time: 3:07:19~5:47:52	 loss: 4.28>2.724	 lr: 0.00013226 ▼
[3600/10001]	 0.312it/s	 time: 3:12:33~5:42:18	 loss: 4.059>2.724	 lr: 0.00010776 ▼
[3700/10001]	 0.312it/s	 time: 3:17:48~5:36:47	 loss: 4.068>2.593	 lr: 8.325e-05 ▼
[3800/10001]	 0.312it/s	 time: 3:23:06~5:31:22	 loss: 3.839>2.561	 lr: 5.875e-05 ▼
[3900/10001]	 0.311it/s	 time: 3:28:49~5:26:36	 loss: 3.732>2.522	 lr: 3.426e-05 ▼
[4000/10001]	 0.312it/s	 time: 3:34:01~5:21:01	 loss: 3.738>2.466	 lr: 1.012e-05 ▼
