****************
timestamp: 2024-02-29 13:44:18.199002
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_cube_iso3_v1
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 15001 epochs...
[100/15001]	 2.632it/s	 time: 0:00:38~1:34:21	 loss: 203.22>12.713	 lr: 3.474e-05 ▲
[200/15001]	 2.632it/s	 time: 0:01:16~1:33:43	 loss: 23.524>11.473	 lr: 5.924e-05 ▲
[300/15001]	 2.679it/s	 time: 0:01:52~1:31:28	 loss: 33.281>11.473	 lr: 8.375e-05 ▲
[400/15001]	 2.703it/s	 time: 0:02:28~1:30:02	 loss: 12.589>10.033	 lr: 0.00010824 ▲
[500/15001]	 2.717it/s	 time: 0:03:04~1:28:56	 loss: 11.239>9.425	 lr: 0.00013275 ▲
[600/15001]	 2.727it/s	 time: 0:03:40~1:28:00	 loss: 9.862>8.889	 lr: 0.00015724 ▲
[700/15001]	 2.745it/s	 time: 0:04:15~1:26:49	 loss: 9.269>8.573	 lr: 0.00018174 ▲
[800/15001]	 2.749it/s	 time: 0:04:51~1:26:05	 loss: 9.031>8.392	 lr: 0.00020625 ▲
[900/15001]	 2.761it/s	 time: 0:05:26~1:25:07	 loss: 8.814>8.127	 lr: 0.00023074 ▲
[1000/15001]	 2.762it/s	 time: 0:06:02~1:24:28	 loss: 8.656>7.785	 lr: 0.00025524 ▲
[1100/15001]	 2.764it/s	 time: 0:06:38~1:23:49	 loss: 8.227>7.51	 lr: 0.00027975 ▲
[1200/15001]	 2.765it/s	 time: 0:07:14~1:23:11	 loss: 8.256>7.51	 lr: 0.00030425 ▲
[1300/15001]	 2.766it/s	 time: 0:07:50~1:22:33	 loss: 7.802>7.24	 lr: 0.00032875 ▲
[1400/15001]	 2.772it/s	 time: 0:08:25~1:21:45	 loss: 7.727>7.126	 lr: 0.00035324 ▲
[1500/15001]	 2.768it/s	 time: 0:09:02~1:21:18	 loss: 7.42>6.836	 lr: 0.00037774 ▲
[1600/15001]	 2.773it/s	 time: 0:09:37~1:20:32	 loss: 7.525>6.677	 lr: 0.00040224 ▲
[1700/15001]	 2.773it/s	 time: 0:10:13~1:19:55	 loss: 7.137>6.403	 lr: 0.00042675 ▲
[1800/15001]	 2.773it/s	 time: 0:10:49~1:19:19	 loss: 6.964>6.21	 lr: 0.00045125 ▲
[1900/15001]	 2.778it/s	 time: 0:11:24~1:18:36	 loss: 6.683>5.912	 lr: 0.00047574 ▲
[2000/15001]	 2.778it/s	 time: 0:12:00~1:18:00	 loss: 6.413>5.686	 lr: 0.00049976 ▲
[2100/15001]	 2.781it/s	 time: 0:12:35~1:17:17	 loss: 6.161>5.27	 lr: 0.00047526 ▼
[2200/15001]	 2.781it/s	 time: 0:13:11~1:16:42	 loss: 5.625>4.566	 lr: 0.00045075 ▼
[2300/15001]	 2.781it/s	 time: 0:13:47~1:16:06	 loss: 5.221>4.019	 lr: 0.00042625 ▼
[2400/15001]	 2.781it/s	 time: 0:14:23~1:15:30	 loss: 4.776>3.626	 lr: 0.00040176 ▼
[2500/15001]	 2.781it/s	 time: 0:14:59~1:14:55	 loss: 4.196>3.0	 lr: 0.00037726 ▼
[2600/15001]	 2.784it/s	 time: 0:15:34~1:14:14	 loss: 4.145>3.0	 lr: 0.00035276 ▼
[2700/15001]	 2.784it/s	 time: 0:16:10~1:13:38	 loss: 3.64>2.62	 lr: 0.00032825 ▼
[2800/15001]	 2.783it/s	 time: 0:16:46~1:13:03	 loss: 3.088>2.308	 lr: 0.00030375 ▼
[2900/15001]	 2.783it/s	 time: 0:17:22~1:12:27	 loss: 3.0>2.201	 lr: 0.00027926 ▼
[3000/15001]	 2.783it/s	 time: 0:17:58~1:11:52	 loss: 2.771>2.129	 lr: 0.00025476 ▼
[3100/15001]	 2.783it/s	 time: 0:18:34~1:11:16	 loss: 2.591>2.04	 lr: 0.00023026 ▼
[3200/15001]	 2.783it/s	 time: 0:19:10~1:10:40	 loss: 2.544>1.997	 lr: 0.00020575 ▼
[3300/15001]	 2.782it/s	 time: 0:19:46~1:10:04	 loss: 2.466>1.977	 lr: 0.00018125 ▼
[3400/15001]	 2.785it/s	 time: 0:20:21~1:09:25	 loss: 2.487>1.913	 lr: 0.00015676 ▼
[3500/15001]	 2.78it/s	 time: 0:20:59~1:08:56	 loss: 2.341>1.882	 lr: 0.00013226 ▼
[3600/15001]	 2.782it/s	 time: 0:21:34~1:08:17	 loss: 2.349>1.826	 lr: 0.00010776 ▼
[3700/15001]	 2.784it/s	 time: 0:22:09~1:07:38	 loss: 2.389>1.826	 lr: 8.325e-05 ▼
[3800/15001]	 2.784it/s	 time: 0:22:45~1:07:03	 loss: 2.215>1.778	 lr: 5.875e-05 ▼
[3900/15001]	 2.784it/s	 time: 0:23:21~1:06:27	 loss: 2.237>1.763	 lr: 3.426e-05 ▼
[4000/15001]	 2.784it/s	 time: 0:23:57~1:05:51	 loss: 2.211>1.705	 lr: 1.012e-05 ▼
[4100/15001]	 2.785it/s	 time: 0:24:32~1:05:13	 loss: 2.161>1.705	 lr: 2.237e-05 ▲
[4200/15001]	 2.787it/s	 time: 0:25:07~1:04:35	 loss: 2.216>1.705	 lr: 3.462e-05 ▲
[4300/15001]	 2.787it/s	 time: 0:25:43~1:03:59	 loss: 2.224>1.705	 lr: 4.687e-05 ▲
[4400/15001]	 2.787it/s	 time: 0:26:19~1:03:23	 loss: 2.129>1.705	 lr: 5.912e-05 ▲
[4500/15001]	 2.786it/s	 time: 0:26:55~1:02:48	 loss: 2.132>1.688	 lr: 7.137e-05 ▲
[4600/15001]	 2.786it/s	 time: 0:27:31~1:02:12	 loss: 2.183>1.688	 lr: 8.362e-05 ▲
[4700/15001]	 2.786it/s	 time: 0:28:07~1:01:37	 loss: 2.131>1.688	 lr: 9.587e-05 ▲
[4800/15001]	 2.786it/s	 time: 0:28:43~1:01:01	 loss: 2.144>1.688	 lr: 0.00010812 ▲
[4900/15001]	 2.786it/s	 time: 0:29:19~1:00:25	 loss: 2.191>1.688	 lr: 0.00012037 ▲
[5000/15001]	 2.786it/s	 time: 0:29:55~0:59:50	 loss: 2.179>1.688	 lr: 0.00013262 ▲
model [rubiks_black_cube_iso3_v1_cp5000] saved to _checkpoints...
[5100/15001]	 2.785it/s	 time: 0:30:31~0:59:14	 loss: 2.064>1.688	 lr: 0.00014487 ▲
[5200/15001]	 2.785it/s	 time: 0:31:07~0:58:38	 loss: 2.003>1.688	 lr: 0.00015712 ▲
[5300/15001]	 2.784it/s	 time: 0:31:44~0:58:04	 loss: 2.146>1.688	 lr: 0.00016937 ▲
[5400/15001]	 2.784it/s	 time: 0:32:20~0:57:28	 loss: 2.108>1.688	 lr: 0.00018162 ▲
[5500/15001]	 2.785it/s	 time: 0:32:55~0:56:51	 loss: 2.055>1.68	 lr: 0.00019387 ▲
[5600/15001]	 2.785it/s	 time: 0:33:31~0:56:15	 loss: 2.123>1.68	 lr: 0.00020612 ▲
[5700/15001]	 2.785it/s	 time: 0:34:07~0:55:39	 loss: 2.042>1.68	 lr: 0.00021837 ▲
[5800/15001]	 2.784it/s	 time: 0:34:43~0:55:04	 loss: 2.074>1.68	 lr: 0.00023062 ▲
[5900/15001]	 2.786it/s	 time: 0:35:18~0:54:26	 loss: 2.082>1.64	 lr: 0.00024287 ▲
[6000/15001]	 2.786it/s	 time: 0:35:54~0:53:51	 loss: 2.027>1.64	 lr: 0.00025488 ▲
[6100/15001]	 2.785it/s	 time: 0:36:30~0:53:15	 loss: 1.988>1.64	 lr: 0.00024263 ▼
[6200/15001]	 2.787it/s	 time: 0:37:05~0:52:38	 loss: 1.962>1.64	 lr: 0.00023038 ▼
[6300/15001]	 2.786it/s	 time: 0:37:41~0:52:02	 loss: 1.94>1.622	 lr: 0.00021813 ▼
[6400/15001]	 2.786it/s	 time: 0:38:17~0:51:26	 loss: 2.003>1.622	 lr: 0.00020588 ▼
[6500/15001]	 2.786it/s	 time: 0:38:53~0:50:50	 loss: 1.905>1.582	 lr: 0.00019363 ▼
[6600/15001]	 2.787it/s	 time: 0:39:28~0:50:13	 loss: 1.875>1.573	 lr: 0.00018138 ▼
[6700/15001]	 2.788it/s	 time: 0:40:03~0:49:36	 loss: 1.879>1.571	 lr: 0.00016913 ▼
[6800/15001]	 2.789it/s	 time: 0:40:38~0:48:59	 loss: 1.848>1.535	 lr: 0.00015688 ▼
[6900/15001]	 2.788it/s	 time: 0:41:15~0:48:25	 loss: 1.777>1.47	 lr: 0.00014463 ▼
[7000/15001]	 2.789it/s	 time: 0:41:50~0:47:48	 loss: 1.736>1.37	 lr: 0.00013238 ▼
[7100/15001]	 2.788it/s	 time: 0:42:27~0:47:13	 loss: 1.664>1.313	 lr: 0.00012013 ▼
[7200/15001]	 2.787it/s	 time: 0:43:03~0:46:38	 loss: 1.617>1.243	 lr: 0.00010788 ▼
