****************
timestamp: 2024-02-27 19:37:51.287986
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_slab_iso3_v0
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.632it/s	 time: 0:00:38~1:02:41	 loss: 112.468>3.916	 lr: 3.474e-05 ▲
[200/10001]	 2.703it/s	 time: 0:01:14~1:00:26	 loss: 108.327>3.649	 lr: 5.924e-05 ▲
[300/10001]	 2.727it/s	 time: 0:01:50~0:59:16	 loss: 37.081>3.469	 lr: 8.375e-05 ▲
[400/10001]	 2.74it/s	 time: 0:02:26~0:58:24	 loss: 139.841>3.301	 lr: 0.00010824 ▲
[500/10001]	 2.762it/s	 time: 0:03:01~0:57:19	 loss: 5.627>3.301	 lr: 0.00013275 ▲
[600/10001]	 2.778it/s	 time: 0:03:36~0:56:24	 loss: 523.364>3.286	 lr: 0.00015724 ▲
[700/10001]	 2.767it/s	 time: 0:04:13~0:56:01	 loss: 5.311>3.283	 lr: 0.00018174 ▲
[800/10001]	 2.778it/s	 time: 0:04:48~0:55:12	 loss: 4.314>2.838	 lr: 0.00020625 ▲
[900/10001]	 2.786it/s	 time: 0:05:23~0:54:25	 loss: 3.5>2.596	 lr: 0.00023074 ▲
[1000/10001]	 2.786it/s	 time: 0:05:59~0:53:51	 loss: 2.937>2.179	 lr: 0.00025524 ▲
[1100/10001]	 2.792it/s	 time: 0:06:34~0:53:07	 loss: 3.357>2.122	 lr: 0.00027975 ▲
[1200/10001]	 2.797it/s	 time: 0:07:09~0:52:26	 loss: 4.437>2.094	 lr: 0.00030425 ▲
[1300/10001]	 2.796it/s	 time: 0:07:45~0:51:51	 loss: 30.039>2.094	 lr: 0.00032875 ▲
[1400/10001]	 2.8it/s	 time: 0:08:20~0:51:11	 loss: 2.479>1.866	 lr: 0.00035324 ▲
[1500/10001]	 2.804it/s	 time: 0:08:55~0:50:31	 loss: 2.284>1.866	 lr: 0.00037774 ▲
[1600/10001]	 2.802it/s	 time: 0:09:31~0:49:57	 loss: 2.157>1.672	 lr: 0.00040224 ▲
[1700/10001]	 2.805it/s	 time: 0:10:06~0:49:18	 loss: 1.882>1.524	 lr: 0.00042675 ▲
[1800/10001]	 2.804it/s	 time: 0:10:42~0:48:44	 loss: 1.876>1.524	 lr: 0.00045125 ▲
[1900/10001]	 2.806it/s	 time: 0:11:17~0:48:06	 loss: 1.802>1.524	 lr: 0.00047574 ▲
[2000/10001]	 2.805it/s	 time: 0:11:53~0:47:32	 loss: 1.764>1.49	 lr: 0.00049976 ▲
[2100/10001]	 2.804it/s	 time: 0:12:29~0:46:57	 loss: 1.704>1.442	 lr: 0.00047526 ▼
[2200/10001]	 2.803it/s	 time: 0:13:05~0:46:23	 loss: 1.737>1.442	 lr: 0.00045075 ▼
[2300/10001]	 2.798it/s	 time: 0:13:42~0:45:51	 loss: 1.665>1.415	 lr: 0.00042625 ▼
[2400/10001]	 2.791it/s	 time: 0:14:20~0:45:23	 loss: 1.685>1.415	 lr: 0.00040176 ▼
[2500/10001]	 2.79it/s	 time: 0:14:56~0:44:48	 loss: 1.614>1.392	 lr: 0.00037726 ▼
[2600/10001]	 2.79it/s	 time: 0:15:32~0:44:12	 loss: 1.616>1.386	 lr: 0.00035276 ▼
[2700/10001]	 2.792it/s	 time: 0:16:07~0:43:34	 loss: 1.561>1.345	 lr: 0.00032825 ▼
[2800/10001]	 2.792it/s	 time: 0:16:43~0:42:59	 loss: 1.515>1.318	 lr: 0.00030375 ▼
[2900/10001]	 2.791it/s	 time: 0:17:19~0:42:23	 loss: 1.455>1.309	 lr: 0.00027926 ▼
[3000/10001]	 2.793it/s	 time: 0:17:54~0:41:46	 loss: 1.431>1.259	 lr: 0.00025476 ▼
