****************
timestamp: 2024-02-27 21:48:57.222700
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_slice_iso3_v1
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.632it/s	 time: 0:00:38~1:02:41	 loss: 171.692>1.242	 lr: 3.474e-05 ▲
[200/10001]	 2.597it/s	 time: 0:01:17~1:02:53	 loss: 73.874>0.98	 lr: 5.924e-05 ▲
[300/10001]	 2.609it/s	 time: 0:01:55~1:01:58	 loss: 112.09>0.98	 lr: 8.375e-05 ▲
[400/10001]	 2.632it/s	 time: 0:02:32~1:00:47	 loss: 198.145>0.905	 lr: 0.00010824 ▲
[500/10001]	 2.646it/s	 time: 0:03:09~0:59:51	 loss: 12.937>0.88	 lr: 0.00013275 ▲
[600/10001]	 2.643it/s	 time: 0:03:47~0:59:16	 loss: 41.216>0.764	 lr: 0.00015724 ▲
[700/10001]	 2.662it/s	 time: 0:04:23~0:58:14	 loss: 0.984>0.728	 lr: 0.00018174 ▲
[800/10001]	 2.667it/s	 time: 0:05:00~0:57:30	 loss: 2.828>0.693	 lr: 0.00020625 ▲
[900/10001]	 2.671it/s	 time: 0:05:37~0:56:47	 loss: 0.909>0.671	 lr: 0.00023074 ▲
[1000/10001]	 2.674it/s	 time: 0:06:14~0:56:06	 loss: 0.912>0.671	 lr: 0.00025524 ▲
[1100/10001]	 2.676it/s	 time: 0:06:51~0:55:25	 loss: 0.897>0.653	 lr: 0.00027975 ▲
[1200/10001]	 2.679it/s	 time: 0:07:28~0:54:45	 loss: 0.886>0.592	 lr: 0.00030425 ▲
[1300/10001]	 2.68it/s	 time: 0:08:05~0:54:05	 loss: 0.79>0.592	 lr: 0.00032875 ▲
[1400/10001]	 2.682it/s	 time: 0:08:42~0:53:26	 loss: 0.723>0.574	 lr: 0.00035324 ▲
[1500/10001]	 2.688it/s	 time: 0:09:18~0:52:42	 loss: 0.673>0.563	 lr: 0.00037774 ▲
[1600/10001]	 2.689it/s	 time: 0:09:55~0:52:03	 loss: 0.647>0.546	 lr: 0.00040224 ▲
[1700/10001]	 2.69it/s	 time: 0:10:32~0:51:25	 loss: 0.623>0.483	 lr: 0.00042675 ▲
[1800/10001]	 2.691it/s	 time: 0:11:09~0:50:47	 loss: 0.602>0.46	 lr: 0.00045125 ▲
[1900/10001]	 2.691it/s	 time: 0:11:46~0:50:09	 loss: 0.573>0.458	 lr: 0.00047574 ▲
[2000/10001]	 2.692it/s	 time: 0:12:23~0:49:32	 loss: 0.509>0.442	 lr: 0.00049976 ▲
[2100/10001]	 2.689it/s	 time: 0:13:01~0:48:58	 loss: 0.534>0.432	 lr: 0.00047526 ▼
[2200/10001]	 2.689it/s	 time: 0:13:38~0:48:20	 loss: 0.479>0.407	 lr: 0.00045075 ▼
[2300/10001]	 2.69it/s	 time: 0:14:15~0:47:42	 loss: 0.475>0.402	 lr: 0.00042625 ▼
[2400/10001]	 2.688it/s	 time: 0:14:53~0:47:07	 loss: 0.463>0.394	 lr: 0.00040176 ▼
[2500/10001]	 2.688it/s	 time: 0:15:30~0:46:30	 loss: 0.48>0.383	 lr: 0.00037726 ▼
