****************
timestamp: 2024-02-28 22:57:25.707609
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_slice_iso3_v8
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 15001 epochs...
[100/15001]	 2.564it/s	 time: 0:00:39~1:36:50	 loss: 45.056>0.909	 lr: 3.474e-05 ▲
[200/15001]	 2.564it/s	 time: 0:01:18~1:36:11	 loss: 4.195>0.756	 lr: 5.924e-05 ▲
[300/15001]	 2.542it/s	 time: 0:01:58~1:36:22	 loss: 0.946>0.663	 lr: 8.375e-05 ▲
[400/15001]	 2.597it/s	 time: 0:02:34~1:33:41	 loss: 0.685>0.554	 lr: 0.00010824 ▲
[500/15001]	 2.604it/s	 time: 0:03:12~1:32:48	 loss: 0.611>0.521	 lr: 0.00013275 ▲
[600/15001]	 2.632it/s	 time: 0:03:48~1:31:11	 loss: 0.609>0.486	 lr: 0.00015724 ▲
[700/15001]	 2.652it/s	 time: 0:04:24~1:29:53	 loss: 0.567>0.473	 lr: 0.00018174 ▲
[800/15001]	 2.649it/s	 time: 0:05:02~1:29:20	 loss: 0.562>0.466	 lr: 0.00020625 ▲
[900/15001]	 2.663it/s	 time: 0:05:38~1:28:15	 loss: 0.53>0.462	 lr: 0.00023074 ▲
[1000/15001]	 2.66it/s	 time: 0:06:16~1:27:44	 loss: 0.526>0.441	 lr: 0.00025524 ▲
[1100/15001]	 2.663it/s	 time: 0:06:53~1:26:58	 loss: 0.548>0.435	 lr: 0.00027975 ▲
[1200/15001]	 2.673it/s	 time: 0:07:29~1:26:03	 loss: 0.523>0.432	 lr: 0.00030425 ▲
[1300/15001]	 2.675it/s	 time: 0:08:06~1:25:21	 loss: 0.484>0.418	 lr: 0.00032875 ▲
[1400/15001]	 2.677it/s	 time: 0:08:43~1:24:40	 loss: 0.503>0.418	 lr: 0.00035324 ▲
[1500/15001]	 2.674it/s	 time: 0:09:21~1:24:09	 loss: 0.499>0.406	 lr: 0.00037774 ▲
[1600/15001]	 2.68it/s	 time: 0:09:57~1:23:19	 loss: 0.471>0.398	 lr: 0.00040224 ▲
[1700/15001]	 2.681it/s	 time: 0:10:34~1:22:40	 loss: 0.47>0.391	 lr: 0.00042675 ▲
[1800/15001]	 2.683it/s	 time: 0:11:11~1:22:00	 loss: 0.477>0.377	 lr: 0.00045125 ▲
[1900/15001]	 2.684it/s	 time: 0:11:48~1:21:21	 loss: 0.445>0.333	 lr: 0.00047574 ▲
[2000/15001]	 2.685it/s	 time: 0:12:25~1:20:42	 loss: 0.393>0.309	 lr: 0.00049976 ▲
[2100/15001]	 2.682it/s	 time: 0:13:03~1:20:09	 loss: 0.414>0.295	 lr: 0.00047526 ▼
[2200/15001]	 2.68it/s	 time: 0:13:41~1:19:36	 loss: 0.354>0.273	 lr: 0.00045075 ▼
[2300/15001]	 2.678it/s	 time: 0:14:19~1:19:03	 loss: 0.333>0.253	 lr: 0.00042625 ▼
[2400/15001]	 2.682it/s	 time: 0:14:55~1:18:18	 loss: 0.377>0.253	 lr: 0.00040176 ▼
[2500/15001]	 2.682it/s	 time: 0:15:32~1:17:40	 loss: 0.346>0.236	 lr: 0.00037726 ▼
[2600/15001]	 2.683it/s	 time: 0:16:09~1:17:01	 loss: 0.319>0.227	 lr: 0.00035276 ▼
[2700/15001]	 2.687it/s	 time: 0:16:45~1:16:18	 loss: 0.293>0.22	 lr: 0.00032825 ▼
[2800/15001]	 2.687it/s	 time: 0:17:22~1:15:40	 loss: 0.264>0.203	 lr: 0.00030375 ▼
[2900/15001]	 2.685it/s	 time: 0:18:00~1:15:06	 loss: 0.268>0.189	 lr: 0.00027926 ▼
[3000/15001]	 2.686it/s	 time: 0:18:37~1:14:27	 loss: 0.266>0.178	 lr: 0.00025476 ▼
[3100/15001]	 2.686it/s	 time: 0:19:14~1:13:49	 loss: 0.259>0.175	 lr: 0.00023026 ▼
[3200/15001]	 2.687it/s	 time: 0:19:51~1:13:11	 loss: 0.264>0.172	 lr: 0.00020575 ▼
[3300/15001]	 2.685it/s	 time: 0:20:29~1:12:37	 loss: 0.24>0.159	 lr: 0.00018125 ▼
[3400/15001]	 2.686it/s	 time: 0:21:06~1:11:59	 loss: 0.198>0.151	 lr: 0.00015676 ▼
[3500/15001]	 2.686it/s	 time: 0:21:43~1:11:21	 loss: 0.22>0.147	 lr: 0.00013226 ▼
[3600/15001]	 2.687it/s	 time: 0:22:20~1:10:43	 loss: 0.237>0.138	 lr: 0.00010776 ▼
[3700/15001]	 2.689it/s	 time: 0:22:56~1:10:02	 loss: 0.2>0.127	 lr: 8.325e-05 ▼
[3800/15001]	 2.689it/s	 time: 0:23:33~1:09:24	 loss: 0.194>0.127	 lr: 5.875e-05 ▼
[3900/15001]	 2.69it/s	 time: 0:24:10~1:08:46	 loss: 0.226>0.127	 lr: 3.426e-05 ▼
[4000/15001]	 2.688it/s	 time: 0:24:48~1:08:12	 loss: 0.182>0.127	 lr: 1.012e-05 ▼
[4100/15001]	 2.689it/s	 time: 0:25:25~1:07:34	 loss: 0.25>0.124	 lr: 2.237e-05 ▲
[4200/15001]	 2.689it/s	 time: 0:26:02~1:06:56	 loss: 0.201>0.117	 lr: 3.462e-05 ▲
[4300/15001]	 2.689it/s	 time: 0:26:39~1:06:18	 loss: 0.228>0.116	 lr: 4.687e-05 ▲
[4400/15001]	 2.689it/s	 time: 0:27:16~1:05:41	 loss: 0.202>0.109	 lr: 5.912e-05 ▲
[4500/15001]	 2.69it/s	 time: 0:27:53~1:05:03	 loss: 0.209>0.109	 lr: 7.137e-05 ▲
[4600/15001]	 2.688it/s	 time: 0:28:31~1:04:28	 loss: 0.218>0.109	 lr: 8.362e-05 ▲
[4700/15001]	 2.69it/s	 time: 0:29:07~1:03:48	 loss: 0.202>0.109	 lr: 9.587e-05 ▲
[4800/15001]	 2.691it/s	 time: 0:29:44~1:03:11	 loss: 0.213>0.109	 lr: 0.00010812 ▲
[4900/15001]	 2.691it/s	 time: 0:30:21~1:02:33	 loss: 0.197>0.109	 lr: 0.00012037 ▲
[5000/15001]	 2.693it/s	 time: 0:30:57~1:01:54	 loss: 0.204>0.104	 lr: 0.00013262 ▲
model [rubiks_black_slice_iso3_v8_cp5000] saved to _checkpoints...
[5100/15001]	 2.693it/s	 time: 0:31:34~1:01:16	 loss: 0.211>0.104	 lr: 0.00014487 ▲
[5200/15001]	 2.692it/s	 time: 0:32:12~1:00:41	 loss: 0.184>0.104	 lr: 0.00015712 ▲
[5300/15001]	 2.692it/s	 time: 0:32:49~1:00:03	 loss: 0.179>0.096	 lr: 0.00016937 ▲
[5400/15001]	 2.692it/s	 time: 0:33:26~0:59:26	 loss: 0.193>0.096	 lr: 0.00018162 ▲
[5500/15001]	 2.692it/s	 time: 0:34:03~0:58:48	 loss: 0.19>0.096	 lr: 0.00019387 ▲
[5600/15001]	 2.692it/s	 time: 0:34:40~0:58:11	 loss: 0.193>0.096	 lr: 0.00020612 ▲
[5700/15001]	 2.694it/s	 time: 0:35:16~0:57:32	 loss: 0.178>0.094	 lr: 0.00021837 ▲
[5800/15001]	 2.695it/s	 time: 0:35:52~0:56:53	 loss: 0.19>0.094	 lr: 0.00023062 ▲
[5900/15001]	 2.695it/s	 time: 0:36:29~0:56:16	 loss: 0.193>0.094	 lr: 0.00024287 ▲
[6000/15001]	 2.697it/s	 time: 0:37:05~0:55:37	 loss: 0.185>0.088	 lr: 0.00025488 ▲
[6100/15001]	 2.696it/s	 time: 0:37:43~0:55:01	 loss: 0.176>0.088	 lr: 0.00024263 ▼
[6200/15001]	 2.696it/s	 time: 0:38:20~0:54:24	 loss: 0.163>0.08	 lr: 0.00023038 ▼
[6300/15001]	 2.695it/s	 time: 0:38:58~0:53:48	 loss: 0.187>0.08	 lr: 0.00021813 ▼
[6400/15001]	 2.696it/s	 time: 0:39:34~0:53:10	 loss: 0.169>0.075	 lr: 0.00020588 ▼
[6500/15001]	 2.696it/s	 time: 0:40:11~0:52:32	 loss: 0.173>0.075	 lr: 0.00019363 ▼
[6600/15001]	 2.697it/s	 time: 0:40:47~0:51:54	 loss: 0.149>0.067	 lr: 0.00018138 ▼
[6700/15001]	 2.697it/s	 time: 0:41:24~0:51:17	 loss: 0.165>0.059	 lr: 0.00016913 ▼
[6800/15001]	 2.697it/s	 time: 0:42:01~0:50:40	 loss: 0.138>0.059	 lr: 0.00015688 ▼
[6900/15001]	 2.697it/s	 time: 0:42:38~0:50:02	 loss: 0.186>0.052	 lr: 0.00014463 ▼
[7000/15001]	 2.699it/s	 time: 0:43:14~0:49:24	 loss: 0.12>0.047	 lr: 0.00013238 ▼
[7100/15001]	 2.698it/s	 time: 0:43:52~0:48:48	 loss: 0.121>0.047	 lr: 0.00012013 ▼
[7200/15001]	 2.698it/s	 time: 0:44:29~0:48:11	 loss: 0.115>0.041	 lr: 0.00010788 ▼
[7300/15001]	 2.698it/s	 time: 0:45:06~0:47:34	 loss: 0.149>0.039	 lr: 9.563e-05 ▼
[7400/15001]	 2.698it/s	 time: 0:45:43~0:46:57	 loss: 0.148>0.039	 lr: 8.338e-05 ▼
[7500/15001]	 2.697it/s	 time: 0:46:21~0:46:20	 loss: 0.137>0.038	 lr: 7.113e-05 ▼
[7600/15001]	 2.697it/s	 time: 0:46:58~0:45:43	 loss: 0.127>0.037	 lr: 5.888e-05 ▼
[7700/15001]	 2.698it/s	 time: 0:47:34~0:45:05	 loss: 0.103>0.036	 lr: 4.663e-05 ▼
[7800/15001]	 2.698it/s	 time: 0:48:11~0:44:28	 loss: 0.114>0.034	 lr: 3.438e-05 ▼
[7900/15001]	 2.698it/s	 time: 0:48:48~0:43:51	 loss: 0.1>0.034	 lr: 2.213e-05 ▼
[8000/15001]	 2.699it/s	 time: 0:49:24~0:43:13	 loss: 0.108>0.034	 lr: 1.006e-05 ▼
[8100/15001]	 2.699it/s	 time: 0:50:01~0:42:36	 loss: 0.14>0.034	 lr: 1.619e-05 ▲
[8200/15001]	 2.698it/s	 time: 0:50:39~0:42:00	 loss: 0.126>0.032	 lr: 2.231e-05 ▲
[8300/15001]	 2.698it/s	 time: 0:51:16~0:41:23	 loss: 0.154>0.032	 lr: 2.844e-05 ▲
[8400/15001]	 2.698it/s	 time: 0:51:53~0:40:45	 loss: 0.114>0.032	 lr: 3.456e-05 ▲
[8500/15001]	 2.698it/s	 time: 0:52:30~0:40:08	 loss: 0.107>0.032	 lr: 4.069e-05 ▲
[8600/15001]	 2.699it/s	 time: 0:53:06~0:39:30	 loss: 0.093>0.032	 lr: 4.681e-05 ▲
