****************
timestamp: 2024-02-12 17:21:21.269430
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso2_v1
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.703it/s	 time: 0:00:37~1:01:03	 loss: 552.72>19.011	 lr: 3.474e-05 ▲
[200/10001]	 2.74it/s	 time: 0:01:13~0:59:37	 loss: 300.773>16.06	 lr: 5.924e-05 ▲
[300/10001]	 2.752it/s	 time: 0:01:49~0:58:44	 loss: 114.32>15.216	 lr: 8.375e-05 ▲
[400/10001]	 2.759it/s	 time: 0:02:25~0:58:00	 loss: 18.115>14.814	 lr: 0.00010824 ▲
[500/10001]	 2.762it/s	 time: 0:03:01~0:57:19	 loss: 63.832>14.814	 lr: 0.00013275 ▲
[600/10001]	 2.765it/s	 time: 0:03:37~0:56:39	 loss: 115.272>13.901	 lr: 0.00015724 ▲
[700/10001]	 2.767it/s	 time: 0:04:13~0:56:01	 loss: 27.892>13.901	 lr: 0.00018174 ▲
[800/10001]	 2.778it/s	 time: 0:04:48~0:55:12	 loss: 25.139>12.799	 lr: 0.00020625 ▲
[900/10001]	 2.778it/s	 time: 0:05:24~0:54:36	 loss: 68.261>12.279	 lr: 0.00023074 ▲
[1000/10001]	 2.786it/s	 time: 0:05:59~0:53:51	 loss: 35.097>11.689	 lr: 0.00025524 ▲
[1100/10001]	 2.792it/s	 time: 0:06:34~0:53:07	 loss: 84.395>11.094	 lr: 0.00027975 ▲
[1200/10001]	 2.791it/s	 time: 0:07:10~0:52:33	 loss: 13.229>10.735	 lr: 0.00030425 ▲
[1300/10001]	 2.79it/s	 time: 0:07:46~0:51:58	 loss: 11.179>9.507	 lr: 0.00032875 ▲
