****************
timestamp: 2024-02-21 21:25:56.994621
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso3_v1
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 20001 epochs...
[100/20001]	 2.778it/s	 time: 0:00:36~1:59:24	 loss: 839.168>18.127	 lr: 3.474e-05 ▲
[200/20001]	 2.817it/s	 time: 0:01:11~1:57:09	 loss: 55.415>15.776	 lr: 5.924e-05 ▲
[300/20001]	 2.83it/s	 time: 0:01:46~1:56:00	 loss: 78.391>15.632	 lr: 8.375e-05 ▲
[400/20001]	 2.837it/s	 time: 0:02:21~1:55:09	 loss: 163.694>14.98	 lr: 0.00010824 ▲
[500/20001]	 2.825it/s	 time: 0:02:57~1:55:03	 loss: 83.312>14.346	 lr: 0.00013275 ▲
[600/20001]	 2.817it/s	 time: 0:03:33~1:54:47	 loss: 714.52>14.346	 lr: 0.00015724 ▲
[700/20001]	 2.823it/s	 time: 0:04:08~1:53:57	 loss: 78.022>14.346	 lr: 0.00018174 ▲
[800/20001]	 2.817it/s	 time: 0:04:44~1:53:36	 loss: 19.159>13.403	 lr: 0.00020625 ▲
[900/20001]	 2.821it/s	 time: 0:05:19~1:52:49	 loss: 21.713>13.347	 lr: 0.00023074 ▲
[1000/20001]	 2.825it/s	 time: 0:05:54~1:52:06	 loss: 136.126>12.893	 lr: 0.00025524 ▲
[1100/20001]	 2.821it/s	 time: 0:06:30~1:51:40	 loss: 69.959>12.327	 lr: 0.00027975 ▲
[1200/20001]	 2.817it/s	 time: 0:07:06~1:51:14	 loss: 13.292>10.513	 lr: 0.00030425 ▲
[1300/20001]	 2.82it/s	 time: 0:07:41~1:50:31	 loss: 19.291>10.513	 lr: 0.00032875 ▲
[1400/20001]	 2.811it/s	 time: 0:08:18~1:50:16	 loss: 18.758>9.73	 lr: 0.00035324 ▲
[1500/20001]	 2.814it/s	 time: 0:08:53~1:49:33	 loss: 11.006>9.73	 lr: 0.00037774 ▲
[1600/20001]	 2.812it/s	 time: 0:09:29~1:49:03	 loss: 10.264>9.014	 lr: 0.00040224 ▲
[1700/20001]	 2.81it/s	 time: 0:10:05~1:48:32	 loss: 10.566>9.014	 lr: 0.00042675 ▲
[1800/20001]	 2.812it/s	 time: 0:10:40~1:47:51	 loss: 10.068>8.687	 lr: 0.00045125 ▲
[1900/20001]	 2.815it/s	 time: 0:11:15~1:47:10	 loss: 9.885>8.415	 lr: 0.00047574 ▲
[2000/20001]	 2.817it/s	 time: 0:11:50~1:46:30	 loss: 9.183>7.948	 lr: 0.00049976 ▲
