****************
timestamp: 2024-02-23 16:30:36.107187
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso3_v4
type: YAW_ISO_V3
hidden-seed-info: True
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.778it/s	 time: 0:00:36~0:59:24	 loss: 1268.258>14.778	 lr: 3.474e-05 ▲
[200/10001]	 2.817it/s	 time: 0:01:11~0:57:59	 loss: 133.092>14.575	 lr: 5.924e-05 ▲
[300/10001]	 2.804it/s	 time: 0:01:47~0:57:39	 loss: 76.736>14.499	 lr: 8.375e-05 ▲
[400/10001]	 2.817it/s	 time: 0:02:22~0:56:48	 loss: 493.903>14.499	 lr: 0.00010824 ▲
[500/10001]	 2.825it/s	 time: 0:02:57~0:56:03	 loss: 990.702>13.87	 lr: 0.00013275 ▲
[600/10001]	 2.817it/s	 time: 0:03:33~0:55:37	 loss: 146.841>13.566	 lr: 0.00015724 ▲
[700/10001]	 2.811it/s	 time: 0:04:09~0:55:08	 loss: 234.716>12.462	 lr: 0.00018174 ▲
[800/10001]	 2.817it/s	 time: 0:04:44~0:54:26	 loss: 21.309>12.038	 lr: 0.00020625 ▲
[900/10001]	 2.795it/s	 time: 0:05:22~0:54:15	 loss: 36.541>11.415	 lr: 0.00023074 ▲
[1000/10001]	 2.786it/s	 time: 0:05:59~0:53:51	 loss: 19.332>10.587	 lr: 0.00025524 ▲
[1100/10001]	 2.792it/s	 time: 0:06:34~0:53:07	 loss: 11.832>9.977	 lr: 0.00027975 ▲
[1200/10001]	 2.791it/s	 time: 0:07:10~0:52:33	 loss: 138.811>9.742	 lr: 0.00030425 ▲
[1300/10001]	 2.784it/s	 time: 0:07:47~0:52:05	 loss: 10.82>9.269	 lr: 0.00032875 ▲
[1400/10001]	 2.778it/s	 time: 0:08:24~0:51:36	 loss: 9.812>8.25	 lr: 0.00035324 ▲
[1500/10001]	 2.778it/s	 time: 0:09:00~0:51:00	 loss: 9.532>8.134	 lr: 0.00037774 ▲
[1600/10001]	 2.783it/s	 time: 0:09:35~0:50:18	 loss: 9.41>7.647	 lr: 0.00040224 ▲
[1700/10001]	 2.778it/s	 time: 0:10:12~0:49:48	 loss: 9.298>7.647	 lr: 0.00042675 ▲
[1800/10001]	 2.765it/s	 time: 0:10:51~0:49:25	 loss: 8.347>7.07	 lr: 0.00045125 ▲
[1900/10001]	 2.766it/s	 time: 0:11:27~0:48:48	 loss: 7.856>6.496	 lr: 0.00047574 ▲
[2000/10001]	 2.766it/s	 time: 0:12:03~0:48:12	 loss: 6.999>5.569	 lr: 0.00049976 ▲
[2100/10001]	 2.76it/s	 time: 0:12:41~0:47:42	 loss: 6.079>4.671	 lr: 0.00047526 ▼
[2200/10001]	 2.76it/s	 time: 0:13:17~0:47:05	 loss: 4.859>3.574	 lr: 0.00045075 ▼
[2300/10001]	 2.761it/s	 time: 0:13:53~0:46:28	 loss: 4.655>3.254	 lr: 0.00042625 ▼
[2400/10001]	 2.765it/s	 time: 0:14:28~0:45:48	 loss: 3.71>2.433	 lr: 0.00040176 ▼
[2500/10001]	 2.756it/s	 time: 0:15:07~0:45:21	 loss: 2.949>2.159	 lr: 0.00037726 ▼
