****************
timestamp: 2024-02-15 21:14:51.743805
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_slice_iso3_v1
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 12001 epochs...
[100/12001]	 2.778it/s	 time: 0:00:36~1:11:24	 loss: 1.978>1.22	 lr: 3.474e-05 ▲
[200/12001]	 2.778it/s	 time: 0:01:12~1:10:48	 loss: 1.478>1.174	 lr: 5.924e-05 ▲
[300/12001]	 2.804it/s	 time: 0:01:47~1:09:33	 loss: 1.231>1.099	 lr: 8.375e-05 ▲
[400/12001]	 2.778it/s	 time: 0:02:24~1:09:36	 loss: 2.184>1.099	 lr: 0.00010824 ▲
[500/12001]	 2.793it/s	 time: 0:02:59~1:08:37	 loss: 1.214>1.099	 lr: 0.00013275 ▲
[600/12001]	 2.804it/s	 time: 0:03:34~1:07:46	 loss: 15.833>1.087	 lr: 0.00015724 ▲
[700/12001]	 2.789it/s	 time: 0:04:11~1:07:31	 loss: 1.195>1.08	 lr: 0.00018174 ▲
[800/12001]	 2.797it/s	 time: 0:04:46~1:06:44	 loss: 1.186>1.067	 lr: 0.00020625 ▲
[900/12001]	 2.795it/s	 time: 0:05:22~1:06:11	 loss: 1.19>1.06	 lr: 0.00023074 ▲
[1000/12001]	 2.793it/s	 time: 0:05:58~1:05:38	 loss: 1.097>0.999	 lr: 0.00025524 ▲
[1100/12001]	 2.792it/s	 time: 0:06:34~1:05:04	 loss: 1.035>0.956	 lr: 0.00027975 ▲
[1200/12001]	 2.791it/s	 time: 0:07:10~1:04:30	 loss: 1.044>0.956	 lr: 0.00030425 ▲
[1300/12001]	 2.79it/s	 time: 0:07:46~1:03:55	 loss: 1.025>0.946	 lr: 0.00032875 ▲
[1400/12001]	 2.789it/s	 time: 0:08:22~1:03:20	 loss: 0.996>0.94	 lr: 0.00035324 ▲
[1500/12001]	 2.788it/s	 time: 0:08:58~1:02:46	 loss: 0.983>0.924	 lr: 0.00037774 ▲
[1600/12001]	 2.792it/s	 time: 0:09:33~1:02:04	 loss: 0.98>0.912	 lr: 0.00040224 ▲
[1700/12001]	 2.791it/s	 time: 0:10:09~1:01:29	 loss: 0.948>0.885	 lr: 0.00042675 ▲
[1800/12001]	 2.786it/s	 time: 0:10:46~1:01:00	 loss: 0.943>0.867	 lr: 0.00045125 ▲
[1900/12001]	 2.782it/s	 time: 0:11:23~1:00:30	 loss: 0.943>0.833	 lr: 0.00047574 ▲
[2000/12001]	 2.786it/s	 time: 0:11:58~0:59:50	 loss: 0.946>0.833	 lr: 0.00049976 ▲
[2100/12001]	 2.781it/s	 time: 0:12:35~0:59:19	 loss: 0.895>0.791	 lr: 0.00047526 ▼
[2200/12001]	 2.785it/s	 time: 0:13:10~0:58:39	 loss: 0.841>0.715	 lr: 0.00045075 ▼
[2300/12001]	 2.781it/s	 time: 0:13:47~0:58:07	 loss: 0.825>0.674	 lr: 0.00042625 ▼
[2400/12001]	 2.784it/s	 time: 0:14:22~0:57:27	 loss: 0.725>0.575	 lr: 0.00040176 ▼
[2500/12001]	 2.784it/s	 time: 0:14:58~0:56:52	 loss: 0.686>0.531	 lr: 0.00037726 ▼
[2600/12001]	 2.787it/s	 time: 0:15:33~0:56:13	 loss: 0.682>0.521	 lr: 0.00035276 ▼
[2700/12001]	 2.786it/s	 time: 0:16:09~0:55:37	 loss: 0.599>0.467	 lr: 0.00032825 ▼
