****************
timestamp: 2024-02-15 22:35:11.786078
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_slice_iso3_v2
type: YAW_ISO_V3
hidden-seed-info: True
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 12001 epochs...
[100/12001]	 2.778it/s	 time: 0:00:36~1:11:24	 loss: 1.819>1.206	 lr: 3.474e-05 ▲
[200/12001]	 2.778it/s	 time: 0:01:12~1:10:48	 loss: 1.915>1.149	 lr: 5.924e-05 ▲
[300/12001]	 2.804it/s	 time: 0:01:47~1:09:33	 loss: 14.267>1.149	 lr: 8.375e-05 ▲
[400/12001]	 2.797it/s	 time: 0:02:23~1:09:07	 loss: 1.246>1.093	 lr: 0.00010824 ▲
[500/12001]	 2.793it/s	 time: 0:02:59~1:08:37	 loss: 1.213>1.047	 lr: 0.00013275 ▲
[600/12001]	 2.791it/s	 time: 0:03:35~1:08:05	 loss: 1.217>1.047	 lr: 0.00015724 ▲
[700/12001]	 2.789it/s	 time: 0:04:11~1:07:31	 loss: 1.185>1.047	 lr: 0.00018174 ▲
[800/12001]	 2.787it/s	 time: 0:04:47~1:06:57	 loss: 1.179>1.047	 lr: 0.00020625 ▲
[900/12001]	 2.786it/s	 time: 0:05:23~1:06:23	 loss: 1.134>1.038	 lr: 0.00023074 ▲
[1000/12001]	 2.786it/s	 time: 0:05:59~1:05:49	 loss: 1.113>1.02	 lr: 0.00025524 ▲
[1100/12001]	 2.785it/s	 time: 0:06:35~1:05:14	 loss: 1.125>0.993	 lr: 0.00027975 ▲
[1200/12001]	 2.778it/s	 time: 0:07:12~1:04:48	 loss: 1.032>0.964	 lr: 0.00030425 ▲
[1300/12001]	 2.778it/s	 time: 0:07:48~1:04:12	 loss: 1.033>0.964	 lr: 0.00032875 ▲
[1400/12001]	 2.778it/s	 time: 0:08:24~1:03:36	 loss: 1.044>0.964	 lr: 0.00035324 ▲
[1500/12001]	 2.778it/s	 time: 0:09:00~1:03:00	 loss: 0.997>0.937	 lr: 0.00037774 ▲
[1600/12001]	 2.783it/s	 time: 0:09:35~1:02:17	 loss: 0.975>0.921	 lr: 0.00040224 ▲
[1700/12001]	 2.782it/s	 time: 0:10:11~1:01:41	 loss: 0.97>0.913	 lr: 0.00042675 ▲
[1800/12001]	 2.782it/s	 time: 0:10:47~1:01:06	 loss: 0.965>0.911	 lr: 0.00045125 ▲
[1900/12001]	 2.778it/s	 time: 0:11:24~1:00:36	 loss: 0.956>0.901	 lr: 0.00047574 ▲
[2000/12001]	 2.778it/s	 time: 0:12:00~1:00:00	 loss: 0.938>0.87	 lr: 0.00049976 ▲
[2100/12001]	 2.778it/s	 time: 0:12:36~0:59:24	 loss: 0.916>0.846	 lr: 0.00047526 ▼
[2200/12001]	 2.778it/s	 time: 0:13:12~0:58:48	 loss: 0.911>0.799	 lr: 0.00045075 ▼
[2300/12001]	 2.781it/s	 time: 0:13:47~0:58:07	 loss: 0.848>0.71	 lr: 0.00042625 ▼
[2400/12001]	 2.781it/s	 time: 0:14:23~0:57:32	 loss: 0.783>0.616	 lr: 0.00040176 ▼
[2500/12001]	 2.781it/s	 time: 0:14:59~0:56:56	 loss: 0.7>0.501	 lr: 0.00037726 ▼
[2600/12001]	 2.778it/s	 time: 0:15:36~0:56:24	 loss: 0.61>0.448	 lr: 0.00035276 ▼
[2700/12001]	 2.778it/s	 time: 0:16:12~0:55:48	 loss: 0.539>0.403	 lr: 0.00032825 ▼
[2800/12001]	 2.781it/s	 time: 0:16:47~0:55:08	 loss: 0.494>0.359	 lr: 0.00030375 ▼
[2900/12001]	 2.78it/s	 time: 0:17:23~0:54:32	 loss: 0.474>0.333	 lr: 0.00027926 ▼
[3000/12001]	 2.78it/s	 time: 0:17:59~0:53:56	 loss: 0.4>0.248	 lr: 0.00025476 ▼
[3100/12001]	 2.78it/s	 time: 0:18:35~0:53:21	 loss: 0.335>0.213	 lr: 0.00023026 ▼
[3200/12001]	 2.78it/s	 time: 0:19:11~0:52:45	 loss: 0.325>0.185	 lr: 0.00020575 ▼
[3300/12001]	 2.78it/s	 time: 0:19:47~0:52:09	 loss: 0.313>0.166	 lr: 0.00018125 ▼
[3400/12001]	 2.78it/s	 time: 0:20:23~0:51:33	 loss: 0.293>0.158	 lr: 0.00015676 ▼
[3500/12001]	 2.78it/s	 time: 0:20:59~0:50:57	 loss: 0.279>0.157	 lr: 0.00013226 ▼
[3600/12001]	 2.78it/s	 time: 0:21:35~0:50:21	 loss: 0.264>0.151	 lr: 0.00010776 ▼
[3700/12001]	 2.78it/s	 time: 0:22:11~0:49:45	 loss: 0.267>0.139	 lr: 8.325e-05 ▼
[3800/12001]	 2.78it/s	 time: 0:22:47~0:49:09	 loss: 0.27>0.139	 lr: 5.875e-05 ▼
[3900/12001]	 2.778it/s	 time: 0:23:24~0:48:36	 loss: 0.255>0.133	 lr: 3.426e-05 ▼
[4000/12001]	 2.778it/s	 time: 0:24:00~0:48:00	 loss: 0.25>0.132	 lr: 1.012e-05 ▼
[4100/12001]	 2.778it/s	 time: 0:24:36~0:47:24	 loss: 0.233>0.131	 lr: 2.237e-05 ▲
[4200/12001]	 2.776it/s	 time: 0:25:13~0:46:49	 loss: 0.249>0.131	 lr: 3.462e-05 ▲
[4300/12001]	 2.776it/s	 time: 0:25:49~0:46:13	 loss: 0.238>0.131	 lr: 4.687e-05 ▲
[4400/12001]	 2.778it/s	 time: 0:26:24~0:45:36	 loss: 0.256>0.131	 lr: 5.912e-05 ▲
[4500/12001]	 2.778it/s	 time: 0:27:00~0:45:00	 loss: 0.275>0.131	 lr: 7.137e-05 ▲
[4600/12001]	 2.778it/s	 time: 0:27:36~0:44:24	 loss: 0.246>0.131	 lr: 8.362e-05 ▲
[4700/12001]	 2.778it/s	 time: 0:28:12~0:43:48	 loss: 0.254>0.131	 lr: 9.587e-05 ▲
[4800/12001]	 2.776it/s	 time: 0:28:49~0:43:13	 loss: 0.235>0.131	 lr: 0.00010812 ▲
[4900/12001]	 2.778it/s	 time: 0:29:24~0:42:36	 loss: 0.261>0.13	 lr: 0.00012037 ▲
[5000/12001]	 2.778it/s	 time: 0:30:00~0:42:00	 loss: 0.241>0.13	 lr: 0.00013262 ▲
model [rubiks_slice_iso3_v2_cp5000] saved to _checkpoints...
[5100/12001]	 2.778it/s	 time: 0:30:36~0:41:24	 loss: 0.233>0.13	 lr: 0.00014487 ▲
[5200/12001]	 2.779it/s	 time: 0:31:11~0:40:46	 loss: 0.251>0.13	 lr: 0.00015712 ▲
[5300/12001]	 2.779it/s	 time: 0:31:47~0:40:10	 loss: 0.251>0.128	 lr: 0.00016937 ▲
[5400/12001]	 2.779it/s	 time: 0:32:23~0:39:34	 loss: 0.248>0.128	 lr: 0.00018162 ▲
