****************
timestamp: 2024-02-12 22:17:59.917132
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_struct_iso2_v0
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 1.316it/s	 time: 0:01:16~2:05:23	 loss: 13.671>12.685	 lr: 3.474e-05 ▲
[200/10001]	 1.333it/s	 time: 0:02:30~2:02:30	 loss: 19.441>12.499	 lr: 5.924e-05 ▲
[300/10001]	 1.333it/s	 time: 0:03:45~2:01:15	 loss: 14.541>12.241	 lr: 8.375e-05 ▲
[400/10001]	 1.329it/s	 time: 0:05:01~2:00:23	 loss: 13.051>12.113	 lr: 0.00010824 ▲
[500/10001]	 1.33it/s	 time: 0:06:16~1:59:04	 loss: 15.928>12.113	 lr: 0.00013275 ▲
[600/10001]	 1.327it/s	 time: 0:07:32~1:58:01	 loss: 13.039>12.113	 lr: 0.00015724 ▲
[700/10001]	 1.333it/s	 time: 0:08:45~1:56:15	 loss: 12.957>12.113	 lr: 0.00018174 ▲
[800/10001]	 1.331it/s	 time: 0:10:01~1:55:11	 loss: 12.987>11.999	 lr: 0.00020625 ▲
[900/10001]	 1.329it/s	 time: 0:11:17~1:54:05	 loss: 12.64>11.999	 lr: 0.00023074 ▲
[1000/10001]	 1.33it/s	 time: 0:12:32~1:52:48	 loss: 19.198>11.999	 lr: 0.00025524 ▲
[1100/10001]	 1.327it/s	 time: 0:13:49~1:51:47	 loss: 12.578>11.85	 lr: 0.00027975 ▲
[1200/10001]	 1.327it/s	 time: 0:15:04~1:50:29	 loss: 12.109>11.427	 lr: 0.00030425 ▲
[1300/10001]	 1.329it/s	 time: 0:16:18~1:49:05	 loss: 11.534>10.864	 lr: 0.00032875 ▲
[1400/10001]	 1.328it/s	 time: 0:17:34~1:47:54	 loss: 11.048>10.438	 lr: 0.00035324 ▲
[1500/10001]	 1.325it/s	 time: 0:18:52~1:46:54	 loss: 10.567>9.967	 lr: 0.00037774 ▲
[1600/10001]	 1.326it/s	 time: 0:20:07~1:45:36	 loss: 10.374>9.765	 lr: 0.00040224 ▲
[1700/10001]	 1.326it/s	 time: 0:21:22~1:44:19	 loss: 10.405>9.489	 lr: 0.00042675 ▲
[1800/10001]	 1.325it/s	 time: 0:22:38~1:43:06	 loss: 9.687>9.189	 lr: 0.00045125 ▲
[1900/10001]	 1.324it/s	 time: 0:23:55~1:41:57	 loss: 9.561>8.998	 lr: 0.00047574 ▲
[2000/10001]	 1.324it/s	 time: 0:25:11~1:40:44	 loss: 9.204>8.71	 lr: 0.00049976 ▲
