****************
timestamp: 2024-04-23 18:56:24.857136
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: sphere16_iso3_thesis
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.001>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 10001 epochs...
[100/10001]	 3.125it/s	 time: 0:00:32~0:52:48	 loss: 371.787>21.38	 lr: 5.999e-05 ▲
[200/10001]	 3.125it/s	 time: 0:01:04~0:52:16	 loss: 31.481>21.38	 lr: 0.00010949 ▲
[300/10001]	 3.125it/s	 time: 0:01:36~0:51:44	 loss: 47.345>19.096	 lr: 0.000159 ▲
[400/10001]	 3.125it/s	 time: 0:02:08~0:51:12	 loss: 45.079>16.957	 lr: 0.00020849 ▲
[500/10001]	 3.125it/s	 time: 0:02:40~0:50:40	 loss: 19.793>14.424	 lr: 0.000258 ▲
[600/10001]	 3.125it/s	 time: 0:03:12~0:50:08	 loss: 13.78>11.381	 lr: 0.0003075 ▲
[700/10001]	 3.111it/s	 time: 0:03:45~0:49:49	 loss: 13.154>10.949	 lr: 0.00035699 ▲
[800/10001]	 3.113it/s	 time: 0:04:17~0:49:15	 loss: 11.716>10.245	 lr: 0.0004065 ▲
[900/10001]	 3.114it/s	 time: 0:04:49~0:48:42	 loss: 11.054>9.308	 lr: 0.00045599 ▲
[1000/10001]	 3.115it/s	 time: 0:05:21~0:48:09	 loss: 10.358>8.873	 lr: 0.00050549 ▲
[1100/10001]	 3.107it/s	 time: 0:05:54~0:47:44	 loss: 9.929>8.476	 lr: 0.000555 ▲
[1200/10001]	 3.109it/s	 time: 0:06:26~0:47:10	 loss: 8.485>6.675	 lr: 0.0006045 ▲
[1300/10001]	 3.11it/s	 time: 0:06:58~0:46:37	 loss: 7.595>6.027	 lr: 0.000654 ▲
[1400/10001]	 3.111it/s	 time: 0:07:30~0:46:04	 loss: 7.437>5.222	 lr: 0.0007035 ▲
[1500/10001]	 3.119it/s	 time: 0:08:01~0:45:25	 loss: 6.726>4.875	 lr: 0.00075299 ▲
[1600/10001]	 3.119it/s	 time: 0:08:33~0:44:53	 loss: 6.017>4.567	 lr: 0.0008025 ▲
[1700/10001]	 3.114it/s	 time: 0:09:06~0:44:25	 loss: 5.513>4.117	 lr: 0.000852 ▲
[1800/10001]	 3.114it/s	 time: 0:09:38~0:43:53	 loss: 4.652>3.42	 lr: 0.0009015 ▲
[1900/10001]	 3.12it/s	 time: 0:10:09~0:43:16	 loss: 4.405>3.42	 lr: 0.000951 ▲
[2000/10001]	 3.12it/s	 time: 0:10:41~0:42:44	 loss: 4.015>2.888	 lr: 0.00099951 ▲
[2100/10001]	 3.12it/s	 time: 0:11:13~0:42:11	 loss: 3.814>2.567	 lr: 0.00095001 ▼
[2200/10001]	 3.125it/s	 time: 0:11:44~0:41:36	 loss: 3.661>2.567	 lr: 0.0009005 ▼
[2300/10001]	 3.121it/s	 time: 0:12:17~0:41:07	 loss: 3.517>2.567	 lr: 0.000851 ▼
[2400/10001]	 3.121it/s	 time: 0:12:49~0:40:35	 loss: 3.417>2.174	 lr: 0.00080151 ▼
[2500/10001]	 3.121it/s	 time: 0:13:21~0:40:03	 loss: 2.885>1.952	 lr: 0.00075201 ▼
[2600/10001]	 3.121it/s	 time: 0:13:53~0:39:30	 loss: 2.82>1.952	 lr: 0.00070251 ▼
[2700/10001]	 3.121it/s	 time: 0:14:25~0:38:58	 loss: 2.556>1.813	 lr: 0.000653 ▼
[2800/10001]	 3.125it/s	 time: 0:14:56~0:38:24	 loss: 2.439>1.666	 lr: 0.0006035 ▼
[2900/10001]	 3.125it/s	 time: 0:15:28~0:37:52	 loss: 2.372>1.666	 lr: 0.00055401 ▼
[3000/10001]	 3.125it/s	 time: 0:16:00~0:37:20	 loss: 2.244>1.454	 lr: 0.00050451 ▼
[3100/10001]	 3.125it/s	 time: 0:16:32~0:36:48	 loss: 2.133>1.454	 lr: 0.000455 ▼
[3200/10001]	 3.125it/s	 time: 0:17:04~0:36:16	 loss: 2.06>1.454	 lr: 0.0004055 ▼
[3300/10001]	 3.125it/s	 time: 0:17:36~0:35:44	 loss: 2.035>1.349	 lr: 0.000356 ▼
[3400/10001]	 3.125it/s	 time: 0:18:08~0:35:12	 loss: 1.866>1.322	 lr: 0.00030651 ▼
