****************
timestamp: 2024-02-29 23:03:20.750898
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: sphere32_iso3_v0
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
****************
timestamp: 2024-02-29 23:17:02.722525
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: sphere32_iso3_v0
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 10001 epochs...
[100/10001]	 3.125it/s	 time: 0:00:32~0:52:48	 loss: 288.816>24.706	 lr: 3.474e-05 ▲
[200/10001]	 3.125it/s	 time: 0:01:04~0:52:16	 loss: 32.154>22.317	 lr: 5.924e-05 ▲
[300/10001]	 3.158it/s	 time: 0:01:35~0:51:11	 loss: 28.515>20.507	 lr: 8.375e-05 ▲
[400/10001]	 3.15it/s	 time: 0:02:07~0:50:48	 loss: 21.623>17.524	 lr: 0.00010824 ▲
[500/10001]	 3.165it/s	 time: 0:02:38~0:50:02	 loss: 21.169>13.216	 lr: 0.00013275 ▲
[600/10001]	 3.191it/s	 time: 0:03:08~0:49:05	 loss: 14.041>11.402	 lr: 0.00015724 ▲
[700/10001]	 3.182it/s	 time: 0:03:40~0:48:42	 loss: 13.176>10.75	 lr: 0.00018174 ▲
[800/10001]	 3.187it/s	 time: 0:04:11~0:48:06	 loss: 11.522>9.61	 lr: 0.00020625 ▲
[900/10001]	 3.191it/s	 time: 0:04:42~0:47:31	 loss: 11.396>9.61	 lr: 0.00023074 ▲
[1000/10001]	 3.195it/s	 time: 0:05:13~0:46:57	 loss: 10.464>9.088	 lr: 0.00025524 ▲
[1100/10001]	 3.179it/s	 time: 0:05:46~0:46:39	 loss: 9.941>8.305	 lr: 0.00027975 ▲
[1200/10001]	 3.183it/s	 time: 0:06:17~0:46:04	 loss: 9.732>8.305	 lr: 0.00030425 ▲
[1300/10001]	 3.194it/s	 time: 0:06:47~0:45:23	 loss: 9.353>7.892	 lr: 0.00032875 ▲
[1400/10001]	 3.189it/s	 time: 0:07:19~0:44:56	 loss: 8.926>7.795	 lr: 0.00035324 ▲
[1500/10001]	 3.191it/s	 time: 0:07:50~0:44:23	 loss: 8.981>7.467	 lr: 0.00037774 ▲
[1600/10001]	 3.194it/s	 time: 0:08:21~0:43:50	 loss: 8.499>7.142	 lr: 0.00040224 ▲
[1700/10001]	 3.189it/s	 time: 0:08:53~0:43:22	 loss: 8.161>6.931	 lr: 0.00042675 ▲
[1800/10001]	 3.191it/s	 time: 0:09:24~0:42:49	 loss: 7.595>5.967	 lr: 0.00045125 ▲
[1900/10001]	 3.193it/s	 time: 0:09:55~0:42:16	 loss: 7.28>5.688	 lr: 0.00047574 ▲
[2000/10001]	 3.195it/s	 time: 0:10:26~0:41:44	 loss: 6.433>4.79	 lr: 0.00049976 ▲
[2100/10001]	 3.191it/s	 time: 0:10:58~0:41:15	 loss: 6.34>4.428	 lr: 0.00047526 ▼
[2200/10001]	 3.193it/s	 time: 0:11:29~0:40:42	 loss: 5.304>4.01	 lr: 0.00045075 ▼
[2300/10001]	 3.186it/s	 time: 0:12:02~0:40:17	 loss: 4.756>3.753	 lr: 0.00042625 ▼
[2400/10001]	 3.179it/s	 time: 0:12:35~0:39:50	 loss: 4.327>3.367	 lr: 0.00040176 ▼
[2500/10001]	 3.181it/s	 time: 0:13:06~0:39:18	 loss: 4.133>3.041	 lr: 0.00037726 ▼
[2600/10001]	 3.178it/s	 time: 0:13:38~0:38:48	 loss: 3.863>2.846	 lr: 0.00035276 ▼
