****************
timestamp: 2023-12-15 07:46:07.959066
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: cowboy16_iso2_v13
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 20001 epochs...
[100/20001]	 2.703it/s	 time: 0:00:37~2:02:43	 loss: 3262.026>19.278	 lr: 3.474e-05 ▲
[200/20001]	 2.817it/s	 time: 0:01:11~1:57:09	 loss: 1637.677>16.613	 lr: 5.924e-05 ▲
[300/20001]	 2.941it/s	 time: 0:01:42~1:51:37	 loss: 124.535>15.754	 lr: 8.375e-05 ▲
[400/20001]	 2.985it/s	 time: 0:02:14~1:49:25	 loss: 1501.854>15.632	 lr: 0.00010824 ▲
[500/20001]	 3.012it/s	 time: 0:02:46~1:47:53	 loss: 190.307>15.522	 lr: 0.00013275 ▲
[600/20001]	 3.061it/s	 time: 0:03:16~1:45:37	 loss: 90.084>15.242	 lr: 0.00015724 ▲
[700/20001]	 3.043it/s	 time: 0:03:50~1:45:41	 loss: 143.101>14.198	 lr: 0.00018174 ▲
[800/20001]	 3.03it/s	 time: 0:04:24~1:45:36	 loss: 416.486>13.02	 lr: 0.00020625 ▲
[900/20001]	 3.051it/s	 time: 0:04:55~1:44:20	 loss: 338.151>12.116	 lr: 0.00023074 ▲
[1000/20001]	 3.067it/s	 time: 0:05:26~1:43:14	 loss: 220.69>12.116	 lr: 0.00025524 ▲
[1100/20001]	 3.081it/s	 time: 0:05:57~1:42:13	 loss: 42.504>11.982	 lr: 0.00027975 ▲
[1200/20001]	 3.085it/s	 time: 0:06:29~1:41:34	 loss: 28.895>11.078	 lr: 0.00030425 ▲
[1300/20001]	 3.081it/s	 time: 0:07:02~1:41:10	 loss: 13.648>10.062	 lr: 0.00032875 ▲
[1400/20001]	 3.084it/s	 time: 0:07:34~1:40:31	 loss: 11.127>9.202	 lr: 0.00035324 ▲
[1500/20001]	 3.093it/s	 time: 0:08:05~1:39:41	 loss: 9.588>8.4	 lr: 0.00037774 ▲
[1600/20001]	 3.101it/s	 time: 0:08:36~1:38:54	 loss: 9.562>7.775	 lr: 0.00040224 ▲
[1700/20001]	 3.102it/s	 time: 0:09:08~1:38:19	 loss: 8.876>7.443	 lr: 0.00042675 ▲
[1800/20001]	 3.103it/s	 time: 0:09:40~1:37:44	 loss: 8.373>6.729	 lr: 0.00045125 ▲
[1900/20001]	 3.105it/s	 time: 0:10:12~1:37:10	 loss: 7.5>6.557	 lr: 0.00047574 ▲
[2000/20001]	 3.106it/s	 time: 0:10:44~1:36:36	 loss: 8.136>6.3	 lr: 0.00049976 ▲
[2100/20001]	 3.107it/s	 time: 0:11:16~1:36:02	 loss: 7.131>5.911	 lr: 0.00047526 ▼
[2200/20001]	 3.099it/s	 time: 0:11:50~1:35:44	 loss: 7.401>5.855	 lr: 0.00045075 ▼
[2300/20001]	 3.1it/s	 time: 0:12:22~1:35:10	 loss: 6.475>5.297	 lr: 0.00042625 ▼
[2400/20001]	 3.101it/s	 time: 0:12:54~1:34:36	 loss: 5.776>4.69	 lr: 0.00040176 ▼
[2500/20001]	 3.106it/s	 time: 0:13:25~1:33:55	 loss: 5.461>4.399	 lr: 0.00037726 ▼
[2600/20001]	 3.106it/s	 time: 0:13:57~1:33:21	 loss: 5.169>4.264	 lr: 0.00035276 ▼
[2700/20001]	 3.107it/s	 time: 0:14:29~1:32:48	 loss: 5.029>3.994	 lr: 0.00032825 ▼
[2800/20001]	 3.111it/s	 time: 0:15:00~1:32:08	 loss: 4.733>3.643	 lr: 0.00030375 ▼
[2900/20001]	 3.112it/s	 time: 0:15:32~1:31:35	 loss: 4.449>3.45	 lr: 0.00027926 ▼
[3000/20001]	 3.112it/s	 time: 0:16:04~1:31:02	 loss: 4.378>3.45	 lr: 0.00025476 ▼
[3100/20001]	 3.112it/s	 time: 0:16:36~1:30:29	 loss: 4.013>3.127	 lr: 0.00023026 ▼
[3200/20001]	 3.113it/s	 time: 0:17:08~1:29:57	 loss: 3.825>2.949	 lr: 0.00020575 ▼
[3300/20001]	 3.113it/s	 time: 0:17:40~1:29:24	 loss: 3.549>2.702	 lr: 0.00018125 ▼
[3400/20001]	 3.116it/s	 time: 0:18:11~1:28:46	 loss: 3.353>2.587	 lr: 0.00015676 ▼
[3500/20001]	 3.114it/s	 time: 0:18:44~1:28:18	 loss: 3.195>2.406	 lr: 0.00013226 ▼
[3600/20001]	 3.114it/s	 time: 0:19:16~1:27:46	 loss: 2.985>2.316	 lr: 0.00010776 ▼
[3700/20001]	 3.114it/s	 time: 0:19:48~1:27:13	 loss: 2.756>2.116	 lr: 8.325e-05 ▼
[3800/20001]	 3.11it/s	 time: 0:20:22~1:26:49	 loss: 2.587>2.047	 lr: 5.875e-05 ▼
[3900/20001]	 3.11it/s	 time: 0:20:54~1:26:16	 loss: 2.594>1.954	 lr: 3.426e-05 ▼
[4000/20001]	 3.113it/s	 time: 0:21:25~1:25:40	 loss: 2.465>1.897	 lr: 1.012e-05 ▼
model [cowboy16_iso2_v13_cp4000] saved to _checkpoints...
[4100/20001]	 3.113it/s	 time: 0:21:57~1:25:07	 loss: 2.438>1.827	 lr: 2.237e-05 ▲
[4200/20001]	 3.116it/s	 time: 0:22:28~1:24:31	 loss: 2.522>1.827	 lr: 3.462e-05 ▲
[4300/20001]	 3.118it/s	 time: 0:22:59~1:23:54	 loss: 2.436>1.827	 lr: 4.687e-05 ▲
[4400/20001]	 3.121it/s	 time: 0:23:30~1:23:19	 loss: 2.498>1.821	 lr: 5.912e-05 ▲
[4500/20001]	 3.123it/s	 time: 0:24:01~1:22:43	 loss: 2.527>1.821	 lr: 7.137e-05 ▲
[4600/20001]	 3.123it/s	 time: 0:24:33~1:22:11	 loss: 2.447>1.821	 lr: 8.362e-05 ▲
[4700/20001]	 3.125it/s	 time: 0:25:04~1:21:36	 loss: 2.403>1.81	 lr: 9.587e-05 ▲
[4800/20001]	 3.125it/s	 time: 0:25:36~1:21:04	 loss: 2.345>1.782	 lr: 0.00010812 ▲
[4900/20001]	 3.123it/s	 time: 0:26:09~1:20:35	 loss: 2.534>1.782	 lr: 0.00012037 ▲
[5000/20001]	 3.123it/s	 time: 0:26:41~1:20:03	 loss: 2.481>1.747	 lr: 0.00013262 ▲
[5100/20001]	 3.123it/s	 time: 0:27:13~1:19:30	 loss: 2.264>1.65	 lr: 0.00014487 ▲
[5200/20001]	 3.123it/s	 time: 0:27:45~1:18:58	 loss: 2.228>1.637	 lr: 0.00015712 ▲
[5300/20001]	 3.121it/s	 time: 0:28:18~1:18:29	 loss: 2.268>1.604	 lr: 0.00016937 ▲
[5400/20001]	 3.123it/s	 time: 0:28:49~1:17:54	 loss: 2.348>1.589	 lr: 0.00018162 ▲
[5500/20001]	 3.123it/s	 time: 0:29:21~1:17:22	 loss: 2.121>1.56	 lr: 0.00019387 ▲
[5600/20001]	 3.123it/s	 time: 0:29:53~1:16:50	 loss: 2.141>1.482	 lr: 0.00020612 ▲
[5700/20001]	 3.125it/s	 time: 0:30:24~1:16:16	 loss: 2.242>1.482	 lr: 0.00021837 ▲
[5800/20001]	 3.125it/s	 time: 0:30:56~1:15:44	 loss: 2.278>1.482	 lr: 0.00023062 ▲
[5900/20001]	 3.125it/s	 time: 0:31:28~1:15:12	 loss: 2.357>1.482	 lr: 0.00024287 ▲
[6000/20001]	 3.125it/s	 time: 0:32:00~1:14:40	 loss: 2.15>1.369	 lr: 0.00025488 ▲
[6100/20001]	 3.127it/s	 time: 0:32:31~1:14:05	 loss: 2.084>1.369	 lr: 0.00024263 ▼
[6200/20001]	 3.127it/s	 time: 0:33:03~1:13:33	 loss: 1.919>1.307	 lr: 0.00023038 ▼
[6300/20001]	 3.127it/s	 time: 0:33:35~1:13:01	 loss: 1.956>1.226	 lr: 0.00021813 ▼
[6400/20001]	 3.128it/s	 time: 0:34:06~1:12:27	 loss: 1.868>1.226	 lr: 0.00020588 ▼
[6500/20001]	 3.128it/s	 time: 0:34:38~1:11:55	 loss: 1.793>1.154	 lr: 0.00019363 ▼
[6600/20001]	 3.128it/s	 time: 0:35:10~1:11:23	 loss: 1.699>1.107	 lr: 0.00018138 ▼
[6700/20001]	 3.126it/s	 time: 0:35:43~1:10:54	 loss: 1.683>1.086	 lr: 0.00016913 ▼
[6800/20001]	 3.124it/s	 time: 0:36:17~1:10:25	 loss: 1.735>1.082	 lr: 0.00015688 ▼
[6900/20001]	 3.124it/s	 time: 0:36:49~1:09:53	 loss: 1.517>0.995	 lr: 0.00014463 ▼
[7000/20001]	 3.124it/s	 time: 0:37:21~1:09:21	 loss: 1.439>0.931	 lr: 0.00013238 ▼
[7100/20001]	 3.125it/s	 time: 0:37:52~1:08:48	 loss: 1.458>0.923	 lr: 0.00012013 ▼
[7200/20001]	 3.125it/s	 time: 0:38:24~1:08:16	 loss: 1.481>0.885	 lr: 0.00010788 ▼
[7300/20001]	 3.124it/s	 time: 0:38:57~1:07:45	 loss: 1.356>0.854	 lr: 9.563e-05 ▼
[7400/20001]	 3.125it/s	 time: 0:39:28~1:07:12	 loss: 1.264>0.854	 lr: 8.338e-05 ▼
[7500/20001]	 3.125it/s	 time: 0:40:00~1:06:40	 loss: 1.342>0.854	 lr: 7.113e-05 ▼
