****************
timestamp: 2024-04-08 19:17:41.143133
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: earth_aniso_single
type: ANISOTROPIC
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.001>1e-05 w/ 2000 step
seed.shape: [1, 16, 32, 32, 32]
target.shape: [4, 4, 32, 32, 32]
starting training w/ 20001 epochs...
[100/20001]	 1.724it/s	 time: 0:00:58~3:12:22	 loss: 60611.99>35.908	 lr: 5.999e-05 ▲
[200/20001]	 1.709it/s	 time: 0:01:57~3:13:03	 loss: 5013.185>35.908	 lr: 0.00010949 ▲
[300/20001]	 1.714it/s	 time: 0:02:55~3:11:31	 loss: 1894.32>35.344	 lr: 0.000159 ▲
[400/20001]	 1.724it/s	 time: 0:03:52~3:09:28	 loss: 51178.425>35.344	 lr: 0.00020849 ▲
[500/20001]	 1.724it/s	 time: 0:04:50~3:08:30	 loss: 652.897>35.344	 lr: 0.000258 ▲
[600/20001]	 1.729it/s	 time: 0:05:47~3:06:59	 loss: 439.373>35.344	 lr: 0.0003075 ▲
[700/20001]	 1.724it/s	 time: 0:06:46~3:06:34	 loss: 50.399>35.262	 lr: 0.00035699 ▲
[800/20001]	 1.72it/s	 time: 0:07:45~3:06:00	 loss: 1131.038>35.262	 lr: 0.0004065 ▲
[900/20001]	 1.721it/s	 time: 0:08:43~3:04:59	 loss: 53.27>31.703	 lr: 0.00045599 ▲
[1000/20001]	 1.721it/s	 time: 0:09:41~3:03:59	 loss: 41.707>31.087	 lr: 0.00050549 ▲
[1100/20001]	 1.721it/s	 time: 0:10:39~3:02:59	 loss: 38.694>28.084	 lr: 0.000555 ▲
[1200/20001]	 1.724it/s	 time: 0:11:36~3:01:44	 loss: 41.231>27.832	 lr: 0.0006045 ▲
[1300/20001]	 1.724it/s	 time: 0:12:34~3:00:46	 loss: 43.303>27.832	 lr: 0.000654 ▲
[1400/20001]	 1.726it/s	 time: 0:13:31~2:59:34	 loss: 42.883>26.788	 lr: 0.0007035 ▲
[1500/20001]	 1.724it/s	 time: 0:14:30~2:58:50	 loss: 43.879>26.788	 lr: 0.00075299 ▲
[1600/20001]	 1.724it/s	 time: 0:15:28~2:57:52	 loss: 44.424>26.788	 lr: 0.0008025 ▲
[1700/20001]	 1.724it/s	 time: 0:16:26~2:56:54	 loss: 44.922>26.788	 lr: 0.000852 ▲
[1800/20001]	 1.724it/s	 time: 0:17:24~2:55:56	 loss: 45.234>26.788	 lr: 0.0009015 ▲
[1900/20001]	 1.724it/s	 time: 0:18:22~2:54:58	 loss: 71.684>26.788	 lr: 0.000951 ▲
[2000/20001]	 1.724it/s	 time: 0:19:20~2:54:00	 loss: 46.095>26.788	 lr: 0.00099951 ▲
[2100/20001]	 1.724it/s	 time: 0:20:18~2:53:02	 loss: 51.705>26.788	 lr: 0.00095001 ▼
[2200/20001]	 1.723it/s	 time: 0:21:17~2:52:12	 loss: 46.817>26.339	 lr: 0.0009005 ▼
[2300/20001]	 1.722it/s	 time: 0:22:16~2:51:21	 loss: 48.031>24.876	 lr: 0.000851 ▼
[2400/20001]	 1.723it/s	 time: 0:23:13~2:50:15	 loss: 49.408>24.876	 lr: 0.00080151 ▼
[2500/20001]	 1.723it/s	 time: 0:24:11~2:49:17	 loss: 48.492>24.876	 lr: 0.00075201 ▼
[2600/20001]	 1.723it/s	 time: 0:25:09~2:48:18	 loss: 46.51>24.876	 lr: 0.00070251 ▼
[2700/20001]	 1.724it/s	 time: 0:26:06~2:47:14	 loss: 48.427>24.876	 lr: 0.000653 ▼
[2800/20001]	 1.724it/s	 time: 0:27:04~2:46:16	 loss: 47.292>24.876	 lr: 0.0006035 ▼
[2900/20001]	 1.724it/s	 time: 0:28:02~2:45:18	 loss: 47.299>24.876	 lr: 0.00055401 ▼
[3000/20001]	 1.725it/s	 time: 0:28:59~2:44:14	 loss: 47.374>23.551	 lr: 0.00050451 ▼
[3100/20001]	 1.724it/s	 time: 0:29:58~2:43:22	 loss: 46.7>23.551	 lr: 0.000455 ▼
[3200/20001]	 1.724it/s	 time: 0:30:56~2:42:24	 loss: 62.653>23.551	 lr: 0.0004055 ▼
[3300/20001]	 1.723it/s	 time: 0:31:55~2:41:31	 loss: 47.4>22.959	 lr: 0.000356 ▼
[3400/20001]	 1.724it/s	 time: 0:32:52~2:40:28	 loss: 45.504>22.959	 lr: 0.00030651 ▼
[3500/20001]	 1.724it/s	 time: 0:33:50~2:39:30	 loss: 46.712>22.959	 lr: 0.00025701 ▼
[3600/20001]	 1.724it/s	 time: 0:34:48~2:38:32	 loss: 46.721>22.29	 lr: 0.0002075 ▼
[3700/20001]	 1.723it/s	 time: 0:35:48~2:37:42	 loss: 46.916>22.29	 lr: 0.000158 ▼
[3800/20001]	 1.723it/s	 time: 0:36:45~2:36:40	 loss: 47.604>22.29	 lr: 0.0001085 ▼
[3900/20001]	 1.723it/s	 time: 0:37:43~2:35:42	 loss: 48.069>21.698	 lr: 5.901e-05 ▼
[4000/20001]	 1.723it/s	 time: 0:38:41~2:34:43	 loss: 47.583>21.698	 lr: 1.025e-05 ▼
[4100/20001]	 1.723it/s	 time: 0:39:39~2:33:45	 loss: 47.518>21.698	 lr: 3.5e-05 ▲
[4200/20001]	 1.723it/s	 time: 0:40:37~2:32:47	 loss: 46.707>21.457	 lr: 5.975e-05 ▲
[4300/20001]	 1.723it/s	 time: 0:41:36~2:31:53	 loss: 48.284>21.457	 lr: 8.45e-05 ▲
[4400/20001]	 1.721it/s	 time: 0:42:36~2:31:02	 loss: 47.27>21.135	 lr: 0.00010925 ▲
[4500/20001]	 1.721it/s	 time: 0:43:35~2:30:07	 loss: 48.881>21.135	 lr: 0.000134 ▲
[4600/20001]	 1.722it/s	 time: 0:44:32~2:29:05	 loss: 47.291>20.549	 lr: 0.00015875 ▲
[4700/20001]	 1.722it/s	 time: 0:45:29~2:28:03	 loss: 47.326>20.549	 lr: 0.0001835 ▲
[4800/20001]	 1.722it/s	 time: 0:46:27~2:27:05	 loss: 48.297>20.549	 lr: 0.00020825 ▲
[4900/20001]	 1.722it/s	 time: 0:47:25~2:26:07	 loss: 48.512>20.549	 lr: 0.000233 ▲
[5000/20001]	 1.722it/s	 time: 0:48:23~2:25:09	 loss: 49.581>20.549	 lr: 0.00025775 ▲
model [earth_aniso_single_cp5000] saved to _checkpoints...
[5100/20001]	 1.723it/s	 time: 0:49:20~2:24:07	 loss: 594197.665>20.549	 lr: 0.0002825 ▲
[5200/20001]	 1.724it/s	 time: 0:50:17~2:23:06	 loss: 20.714>12.554	 lr: 0.00030725 ▲
[5300/20001]	 1.724it/s	 time: 0:51:15~2:22:08	 loss: 13.648>10.884	 lr: 0.000332 ▲
