****************
timestamp: 2024-03-26 08:26:37.057409
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: earth_iso3_v1
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 32, 32, 32]
target.shape: [4, 4, 32, 32, 32]
starting training w/ 30001 epochs...
[100/30001]	 1.429it/s	 time: 0:01:10~5:48:50	 loss: 1529.636>42.707	 lr: 3.474e-05 ▲
[200/30001]	 1.429it/s	 time: 0:02:20~5:47:40	 loss: 103.418>38.921	 lr: 5.924e-05 ▲
[300/30001]	 1.449it/s	 time: 0:03:27~5:41:33	 loss: 59.717>37.152	 lr: 8.375e-05 ▲
[400/30001]	 1.444it/s	 time: 0:04:37~5:41:38	 loss: 69.668>34.732	 lr: 0.00010824 ▲
[500/30001]	 1.449it/s	 time: 0:05:45~5:39:15	 loss: 70.029>31.32	 lr: 0.00013275 ▲
[600/30001]	 1.449it/s	 time: 0:06:54~5:38:06	 loss: 33.256>25.825	 lr: 0.00015724 ▲
[700/30001]	 1.449it/s	 time: 0:08:03~5:36:57	 loss: 27.601>22.161	 lr: 0.00018174 ▲
[800/30001]	 1.449it/s	 time: 0:09:12~5:35:48	 loss: 24.62>19.84	 lr: 0.00020625 ▲
[900/30001]	 1.449it/s	 time: 0:10:21~5:34:39	 loss: 2299.865>17.53	 lr: 0.00023074 ▲
[1000/30001]	 1.451it/s	 time: 0:11:29~5:33:01	 loss: 19.312>16.558	 lr: 0.00025524 ▲
[1100/30001]	 1.449it/s	 time: 0:12:39~5:32:21	 loss: 19.093>15.352	 lr: 0.00027975 ▲
[1200/30001]	 1.449it/s	 time: 0:13:48~5:31:12	 loss: 16.737>14.308	 lr: 0.00030425 ▲
[1300/30001]	 1.451it/s	 time: 0:14:56~5:29:40	 loss: 15.209>12.712	 lr: 0.00032875 ▲
[1400/30001]	 1.452it/s	 time: 0:16:04~5:28:13	 loss: 16.973>11.35	 lr: 0.00035324 ▲
[1500/30001]	 1.452it/s	 time: 0:17:13~5:27:07	 loss: 14.485>11.35	 lr: 0.00037774 ▲
[1600/30001]	 1.453it/s	 time: 0:18:21~5:25:42	 loss: 13.006>10.668	 lr: 0.00040224 ▲
[1700/30001]	 1.453it/s	 time: 0:19:30~5:24:37	 loss: 12.824>10.151	 lr: 0.00042675 ▲
[1800/30001]	 1.453it/s	 time: 0:20:39~5:23:31	 loss: 11.769>9.196	 lr: 0.00045125 ▲
[1900/30001]	 1.451it/s	 time: 0:21:49~5:22:39	 loss: 10.255>8.479	 lr: 0.00047574 ▲
[2000/30001]	 1.45it/s	 time: 0:22:59~5:21:46	 loss: 9.853>7.427	 lr: 0.00049976 ▲
[2100/30001]	 1.451it/s	 time: 0:24:07~5:20:24	 loss: 9.626>7.427	 lr: 0.00047526 ▼
[2200/30001]	 1.451it/s	 time: 0:25:16~5:19:16	 loss: 8.818>6.673	 lr: 0.00045075 ▼
[2300/30001]	 1.45it/s	 time: 0:26:26~5:18:20	 loss: 9.879>6.673	 lr: 0.00042625 ▼
[2400/30001]	 1.449it/s	 time: 0:27:36~5:17:24	 loss: 8.065>6.334	 lr: 0.00040176 ▼
[2500/30001]	 1.449it/s	 time: 0:28:45~5:16:15	 loss: 7.991>6.334	 lr: 0.00037726 ▼
[2600/30001]	 1.448it/s	 time: 0:29:55~5:15:16	 loss: 7.625>6.06	 lr: 0.00035276 ▼
[2700/30001]	 1.449it/s	 time: 0:31:03~5:13:57	 loss: 7.094>5.597	 lr: 0.00032825 ▼
[2800/30001]	 1.449it/s	 time: 0:32:12~5:12:48	 loss: 6.721>5.358	 lr: 0.00030375 ▼
[2900/30001]	 1.449it/s	 time: 0:33:21~5:11:39	 loss: 6.551>5.327	 lr: 0.00027926 ▼
[3000/30001]	 1.449it/s	 time: 0:34:30~5:10:30	 loss: 6.387>5.112	 lr: 0.00025476 ▼
[3100/30001]	 1.449it/s	 time: 0:35:39~5:09:21	 loss: 5.904>4.893	 lr: 0.00023026 ▼
[3200/30001]	 1.449it/s	 time: 0:36:48~5:08:12	 loss: 5.77>4.361	 lr: 0.00020575 ▼
[3300/30001]	 1.449it/s	 time: 0:37:58~5:07:11	 loss: 5.598>4.361	 lr: 0.00018125 ▼
[3400/30001]	 1.448it/s	 time: 0:39:08~5:06:09	 loss: 5.644>4.087	 lr: 0.00015676 ▼
[3500/30001]	 1.447it/s	 time: 0:40:18~5:05:07	 loss: 5.255>4.022	 lr: 0.00013226 ▼
[3600/30001]	 1.447it/s	 time: 0:41:28~5:04:05	 loss: 4.938>3.902	 lr: 0.00010776 ▼
[3700/30001]	 1.447it/s	 time: 0:42:37~5:02:55	 loss: 4.995>3.902	 lr: 8.325e-05 ▼
[3800/30001]	 1.446it/s	 time: 0:43:48~5:01:59	 loss: 4.753>3.841	 lr: 5.875e-05 ▼
[3900/30001]	 1.446it/s	 time: 0:44:58~5:00:55	 loss: 4.694>3.703	 lr: 3.426e-05 ▼
[4000/30001]	 1.446it/s	 time: 0:46:07~4:59:45	 loss: 4.469>3.661	 lr: 1.012e-05 ▼
[4100/30001]	 1.446it/s	 time: 0:47:15~4:58:28	 loss: 4.541>3.461	 lr: 2.237e-05 ▲
[4200/30001]	 1.446it/s	 time: 0:48:24~4:57:18	 loss: 4.5>3.461	 lr: 3.462e-05 ▲
[4300/30001]	 1.446it/s	 time: 0:49:33~4:56:08	 loss: 4.617>3.461	 lr: 4.687e-05 ▲
[4400/30001]	 1.446it/s	 time: 0:50:42~4:54:58	 loss: 4.451>3.461	 lr: 5.912e-05 ▲
[4500/30001]	 1.446it/s	 time: 0:51:52~4:53:54	 loss: 4.561>3.461	 lr: 7.137e-05 ▲
[4600/30001]	 1.447it/s	 time: 0:53:00~4:52:39	 loss: 4.69>3.461	 lr: 8.362e-05 ▲
[4700/30001]	 1.447it/s	 time: 0:54:08~4:51:23	 loss: 4.69>3.461	 lr: 9.587e-05 ▲
[4800/30001]	 1.448it/s	 time: 0:55:16~4:50:09	 loss: 4.652>3.461	 lr: 0.00010812 ▲
[4900/30001]	 1.448it/s	 time: 0:56:25~4:48:59	 loss: 4.845>3.461	 lr: 0.00012037 ▲
[5000/30001]	 1.448it/s	 time: 0:57:34~4:47:50	 loss: 4.961>3.424	 lr: 0.00013262 ▲
model [earth_iso3_v1_cp5000] saved to _checkpoints...
[5100/30001]	 1.447it/s	 time: 0:58:44~4:46:45	 loss: 4.682>3.424	 lr: 0.00014487 ▲
[5200/30001]	 1.447it/s	 time: 0:59:54~4:45:40	 loss: 4.664>3.424	 lr: 0.00015712 ▲
[5300/30001]	 1.447it/s	 time: 1:01:03~4:44:30	 loss: 5.288>3.424	 lr: 0.00016937 ▲
[5400/30001]	 1.447it/s	 time: 1:02:11~4:43:16	 loss: 4.699>3.424	 lr: 0.00018162 ▲
[5500/30001]	 1.447it/s	 time: 1:03:20~4:42:07	 loss: 4.642>3.424	 lr: 0.00019387 ▲
[5600/30001]	 1.447it/s	 time: 1:04:29~4:40:57	 loss: 4.745>3.424	 lr: 0.00020612 ▲
[5700/30001]	 1.447it/s	 time: 1:05:38~4:39:48	 loss: 4.459>3.424	 lr: 0.00021837 ▲
[5800/30001]	 1.448it/s	 time: 1:06:46~4:38:34	 loss: 4.576>3.28	 lr: 0.00023062 ▲
[5900/30001]	 1.448it/s	 time: 1:07:55~4:37:25	 loss: 5.025>3.28	 lr: 0.00024287 ▲
[6000/30001]	 1.448it/s	 time: 1:09:03~4:36:12	 loss: 4.674>3.28	 lr: 0.00025488 ▲
[6100/30001]	 1.448it/s	 time: 1:10:13~4:35:06	 loss: 4.617>3.28	 lr: 0.00024263 ▼
[6200/30001]	 1.448it/s	 time: 1:11:21~4:33:53	 loss: 4.519>3.28	 lr: 0.00023038 ▼
[6300/30001]	 1.448it/s	 time: 1:12:30~4:32:44	 loss: 4.726>3.243	 lr: 0.00021813 ▼
[6400/30001]	 1.449it/s	 time: 1:13:38~4:31:31	 loss: 4.836>3.196	 lr: 0.00020588 ▼
[6500/30001]	 1.449it/s	 time: 1:14:47~4:30:22	 loss: 4.315>3.196	 lr: 0.00019363 ▼
[6600/30001]	 1.448it/s	 time: 1:15:57~4:29:16	 loss: 4.263>3.173	 lr: 0.00018138 ▼
[6700/30001]	 1.448it/s	 time: 1:17:07~4:28:10	 loss: 4.257>3.173	 lr: 0.00016913 ▼
[6800/30001]	 1.448it/s	 time: 1:18:16~4:27:01	 loss: 3.789>2.898	 lr: 0.00015688 ▼
[6900/30001]	 1.448it/s	 time: 1:19:26~4:25:55	 loss: 3.902>2.898	 lr: 0.00014463 ▼
[7000/30001]	 1.447it/s	 time: 1:20:36~4:24:49	 loss: 3.776>2.876	 lr: 0.00013238 ▼
[7100/30001]	 1.447it/s	 time: 1:21:46~4:23:43	 loss: 3.737>2.82	 lr: 0.00012013 ▼
[7200/30001]	 1.447it/s	 time: 1:22:56~4:22:37	 loss: 3.664>2.819	 lr: 0.00010788 ▼
[7300/30001]	 1.447it/s	 time: 1:24:06~4:21:30	 loss: 3.642>2.819	 lr: 9.563e-05 ▼
[7400/30001]	 1.447it/s	 time: 1:25:14~4:20:18	 loss: 3.528>2.758	 lr: 8.338e-05 ▼
[7500/30001]	 1.447it/s	 time: 1:26:23~4:19:08	 loss: 3.44>2.684	 lr: 7.113e-05 ▼
[7600/30001]	 1.447it/s	 time: 1:27:31~4:17:56	 loss: 3.678>2.684	 lr: 5.888e-05 ▼
[7700/30001]	 1.447it/s	 time: 1:28:40~4:16:47	 loss: 3.407>2.547	 lr: 4.663e-05 ▼
