****************
timestamp: 2024-04-14 12:02:20.705005
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: maze25_aniso
type: ANISOTROPIC
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 33, 33, 33]
target.shape: [4, 4, 33, 33, 33]
starting training w/ 25001 epochs...
[100/25001]	 1.042it/s	 time: 0:01:36~6:38:24	 loss: 14.998>14.728	 lr: 3.474e-05 ▲
[200/25001]	 1.042it/s	 time: 0:03:12~6:36:48	 loss: 14.939>14.728	 lr: 5.924e-05 ▲
[300/25001]	 1.042it/s	 time: 0:04:48~6:35:12	 loss: 14.98>14.716	 lr: 8.375e-05 ▲
[400/25001]	 1.042it/s	 time: 0:06:24~6:33:36	 loss: 14.981>14.716	 lr: 0.00010824 ▲
[500/25001]	 1.046it/s	 time: 0:07:58~6:30:22	 loss: 15.271>14.716	 lr: 0.00013275 ▲
[600/25001]	 1.047it/s	 time: 0:09:33~6:28:22	 loss: 15.38>14.716	 lr: 0.00015724 ▲
[700/25001]	 1.049it/s	 time: 0:11:07~6:25:54	 loss: 33.659>14.682	 lr: 0.00018174 ▲
[800/25001]	 1.048it/s	 time: 0:12:43~6:24:40	 loss: 15.015>14.682	 lr: 0.00020625 ▲
[900/25001]	 1.051it/s	 time: 0:14:16~6:22:01	 loss: 14.896>14.597	 lr: 0.00023074 ▲
[1000/25001]	 1.053it/s	 time: 0:15:50~6:20:00	 loss: 14.793>14.526	 lr: 0.00025524 ▲
[1100/25001]	 1.053it/s	 time: 0:17:25~6:18:25	 loss: 14.798>14.517	 lr: 0.00027975 ▲
[1200/25001]	 1.054it/s	 time: 0:18:58~6:16:10	 loss: 14.69>14.387	 lr: 0.00030425 ▲
[1300/25001]	 1.053it/s	 time: 0:20:34~6:14:56	 loss: 14.616>14.359	 lr: 0.00032875 ▲
[1400/25001]	 1.054it/s	 time: 0:22:08~6:13:06	 loss: 14.486>14.114	 lr: 0.00035324 ▲
[1500/25001]	 1.056it/s	 time: 0:23:41~6:11:02	 loss: 14.172>13.665	 lr: 0.00037774 ▲
[1600/25001]	 1.055it/s	 time: 0:25:17~6:09:46	 loss: 13.637>12.753	 lr: 0.00040224 ▲
[1700/25001]	 1.055it/s	 time: 0:26:52~6:08:13	 loss: 13.022>12.032	 lr: 0.00042675 ▲
[1800/25001]	 1.054it/s	 time: 0:28:28~6:06:54	 loss: 12.659>11.858	 lr: 0.00045125 ▲
[1900/25001]	 1.054it/s	 time: 0:30:03~6:05:20	 loss: 12.536>11.677	 lr: 0.00047574 ▲
