****************
timestamp: 2024-04-02 20:42:56.101801
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: minicube5_iso3_v2
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 8
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 9, 9, 9]
target.shape: [8, 4, 9, 9, 9]
starting training w/ 5001 epochs...
[100/5001]	 3.846it/s	 time: 0:00:26~0:21:14	 loss: 45.058>19.894	 lr: 3.474e-05 ▲
[200/5001]	 4.0it/s	 time: 0:00:50~0:20:00	 loss: 22.335>19.215	 lr: 5.924e-05 ▲
[300/5001]	 4.0it/s	 time: 0:01:15~0:19:35	 loss: 24.609>16.589	 lr: 8.375e-05 ▲
[400/5001]	 4.0it/s	 time: 0:01:40~0:19:10	 loss: 23.173>15.773	 lr: 0.00010824 ▲
[500/5001]	 4.0it/s	 time: 0:02:05~0:18:45	 loss: 15.799>12.815	 lr: 0.00013275 ▲
[600/5001]	 4.027it/s	 time: 0:02:29~0:18:12	 loss: 13.92>11.021	 lr: 0.00015724 ▲
[700/5001]	 4.046it/s	 time: 0:02:53~0:17:42	 loss: 12.388>9.464	 lr: 0.00018174 ▲
[800/5001]	 4.04it/s	 time: 0:03:18~0:17:19	 loss: 9.506>6.068	 lr: 0.00020625 ▲
[900/5001]	 4.054it/s	 time: 0:03:42~0:16:51	 loss: 6.698>4.748	 lr: 0.00023074 ▲
[1000/5001]	 4.049it/s	 time: 0:04:07~0:16:28	 loss: 5.484>4.462	 lr: 0.00025524 ▲
[1100/5001]	 4.044it/s	 time: 0:04:32~0:16:04	 loss: 4.819>3.418	 lr: 0.00027975 ▲
[1200/5001]	 4.054it/s	 time: 0:04:56~0:15:37	 loss: 3.938>2.696	 lr: 0.00030425 ▲
[1300/5001]	 4.05it/s	 time: 0:05:21~0:15:13	 loss: 3.148>2.37	 lr: 0.00032875 ▲
[1400/5001]	 4.046it/s	 time: 0:05:46~0:14:49	 loss: 3.12>2.362	 lr: 0.00035324 ▲
[1500/5001]	 4.054it/s	 time: 0:06:10~0:14:23	 loss: 2.999>2.317	 lr: 0.00037774 ▲
[1600/5001]	 4.051it/s	 time: 0:06:35~0:13:59	 loss: 2.664>2.26	 lr: 0.00040224 ▲
[1700/5001]	 4.038it/s	 time: 0:07:01~0:13:37	 loss: 2.597>2.194	 lr: 0.00042675 ▲
[1800/5001]	 4.045it/s	 time: 0:07:25~0:13:11	 loss: 2.219>1.254	 lr: 0.00045125 ▲
