****************
timestamp: 2024-02-21 15:45:29.558524
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: rubiks_aniso_v0
type: ANISOTROPIC
hidden-seed-info: True
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 3.333it/s	 time: 0:00:30~0:49:30	 loss: 1647.878>13.367	 lr: 3.474e-05 ▲
[200/10001]	 3.333it/s	 time: 0:01:00~0:49:00	 loss: 593.079>13.083	 lr: 5.924e-05 ▲
[300/10001]	 3.333it/s	 time: 0:01:30~0:48:30	 loss: 2698.974>13.083	 lr: 8.375e-05 ▲
[400/10001]	 3.333it/s	 time: 0:02:00~0:48:00	 loss: 92.483>13.083	 lr: 0.00010824 ▲
[500/10001]	 3.333it/s	 time: 0:02:30~0:47:30	 loss: 1850.763>13.083	 lr: 0.00013275 ▲
[600/10001]	 3.333it/s	 time: 0:03:00~0:47:00	 loss: 89.72>13.083	 lr: 0.00015724 ▲
[700/10001]	 3.333it/s	 time: 0:03:30~0:46:30	 loss: 19.662>13.083	 lr: 0.00018174 ▲
[800/10001]	 3.333it/s	 time: 0:04:00~0:46:00	 loss: 95.499>13.083	 lr: 0.00020625 ▲
[900/10001]	 3.333it/s	 time: 0:04:30~0:45:30	 loss: 230.762>13.083	 lr: 0.00023074 ▲
[1000/10001]	 3.333it/s	 time: 0:05:00~0:45:00	 loss: 178.929>13.083	 lr: 0.00025524 ▲
[1100/10001]	 3.323it/s	 time: 0:05:31~0:44:38	 loss: 28.269>12.873	 lr: 0.00027975 ▲
[1200/10001]	 3.324it/s	 time: 0:06:01~0:44:07	 loss: 14.736>10.307	 lr: 0.00030425 ▲
[1300/10001]	 3.325it/s	 time: 0:06:31~0:43:36	 loss: 11.9>8.904	 lr: 0.00032875 ▲
[1400/10001]	 3.325it/s	 time: 0:07:01~0:43:06	 loss: 9.384>7.517	 lr: 0.00035324 ▲
[1500/10001]	 3.319it/s	 time: 0:07:32~0:42:41	 loss: 8.807>7.124	 lr: 0.00037774 ▲
[1600/10001]	 3.32it/s	 time: 0:08:02~0:42:10	 loss: 8.335>6.456	 lr: 0.00040224 ▲
[1700/10001]	 3.32it/s	 time: 0:08:32~0:41:39	 loss: 8.473>5.952	 lr: 0.00042675 ▲
[1800/10001]	 3.321it/s	 time: 0:09:02~0:41:09	 loss: 7.056>5.399	 lr: 0.00045125 ▲
[1900/10001]	 3.316it/s	 time: 0:09:33~0:40:42	 loss: 6.809>4.902	 lr: 0.00047574 ▲
[2000/10001]	 3.311it/s	 time: 0:10:04~0:40:16	 loss: 5.687>3.997	 lr: 0.00049976 ▲
[2100/10001]	 3.312it/s	 time: 0:10:34~0:39:45	 loss: 5.353>3.813	 lr: 0.00047526 ▼
[2200/10001]	 3.308it/s	 time: 0:11:05~0:39:17	 loss: 4.466>3.034	 lr: 0.00045075 ▼
