****************
timestamp: 2024-02-27 18:36:24.433748
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 60
nca parameter count: 9856
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_slice_flatiso_v0
type: FLAT_ISO
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 3.125it/s	 time: 0:00:32~0:52:48	 loss: 113.67>0.934	 lr: 3.474e-05 ▲
[200/10001]	 3.125it/s	 time: 0:01:04~0:52:16	 loss: 2.636>0.736	 lr: 5.924e-05 ▲
[300/10001]	 3.093it/s	 time: 0:01:37~0:52:16	 loss: 1.345>0.674	 lr: 8.375e-05 ▲
[400/10001]	 3.077it/s	 time: 0:02:10~0:51:59	 loss: 0.881>0.564	 lr: 0.00010824 ▲
[500/10001]	 3.086it/s	 time: 0:02:42~0:51:18	 loss: 0.715>0.553	 lr: 0.00013275 ▲
[600/10001]	 3.093it/s	 time: 0:03:14~0:50:39	 loss: 0.67>0.5	 lr: 0.00015724 ▲
[700/10001]	 3.084it/s	 time: 0:03:47~0:50:15	 loss: 0.612>0.482	 lr: 0.00018174 ▲
[800/10001]	 3.089it/s	 time: 0:04:19~0:49:38	 loss: 0.878>0.48	 lr: 0.00020625 ▲
[900/10001]	 3.093it/s	 time: 0:04:51~0:49:02	 loss: 0.554>0.458	 lr: 0.00023074 ▲
[1000/10001]	 3.096it/s	 time: 0:05:23~0:48:26	 loss: 0.562>0.458	 lr: 0.00025524 ▲
[1100/10001]	 3.09it/s	 time: 0:05:56~0:48:00	 loss: 0.54>0.442	 lr: 0.00027975 ▲
[1200/10001]	 3.093it/s	 time: 0:06:28~0:47:25	 loss: 0.525>0.416	 lr: 0.00030425 ▲
[1300/10001]	 3.095it/s	 time: 0:07:00~0:46:50	 loss: 0.5>0.406	 lr: 0.00032875 ▲
[1400/10001]	 3.091it/s	 time: 0:07:33~0:46:22	 loss: 0.477>0.395	 lr: 0.00035324 ▲
[1500/10001]	 3.093it/s	 time: 0:08:05~0:45:48	 loss: 0.469>0.393	 lr: 0.00037774 ▲
[1600/10001]	 3.089it/s	 time: 0:08:38~0:45:19	 loss: 0.449>0.347	 lr: 0.00040224 ▲
[1700/10001]	 3.091it/s	 time: 0:09:10~0:44:45	 loss: 0.393>0.331	 lr: 0.00042675 ▲
[1800/10001]	 3.093it/s	 time: 0:09:42~0:44:11	 loss: 0.404>0.293	 lr: 0.00045125 ▲
[1900/10001]	 3.094it/s	 time: 0:10:14~0:43:37	 loss: 0.329>0.242	 lr: 0.00047574 ▲
[2000/10001]	 3.091it/s	 time: 0:10:47~0:43:07	 loss: 0.323>0.201	 lr: 0.00049976 ▲
