****************
timestamp: 2024-02-12 21:40:03.754586
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso2_v2
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 4000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 20001 epochs...
[100/20001]	 2.778it/s	 time: 0:00:36~1:59:24	 loss: 401.483>16.774	 lr: 2.237e-05 ▲
[200/20001]	 2.817it/s	 time: 0:01:11~1:57:09	 loss: 83.171>15.199	 lr: 3.462e-05 ▲
[300/20001]	 2.804it/s	 time: 0:01:47~1:57:06	 loss: 110.021>15.199	 lr: 4.687e-05 ▲
[400/20001]	 2.797it/s	 time: 0:02:23~1:56:47	 loss: 58.717>15.082	 lr: 5.912e-05 ▲
[500/20001]	 2.793it/s	 time: 0:02:59~1:56:21	 loss: 30.668>14.368	 lr: 7.137e-05 ▲
[600/20001]	 2.791it/s	 time: 0:03:35~1:55:51	 loss: 37.282>14.368	 lr: 8.362e-05 ▲
[700/20001]	 2.789it/s	 time: 0:04:11~1:55:20	 loss: 234.726>14.049	 lr: 9.587e-05 ▲
[800/20001]	 2.797it/s	 time: 0:04:46~1:54:24	 loss: 42.214>13.352	 lr: 0.00010812 ▲
[900/20001]	 2.786it/s	 time: 0:05:23~1:54:14	 loss: 52.275>13.352	 lr: 0.00012037 ▲
[1000/20001]	 2.786it/s	 time: 0:05:59~1:53:41	 loss: 140.547>12.979	 lr: 0.00013262 ▲
[1100/20001]	 2.792it/s	 time: 0:06:34~1:52:49	 loss: 14.997>12.182	 lr: 0.00014487 ▲
[1200/20001]	 2.791it/s	 time: 0:07:10~1:52:16	 loss: 17.852>11.544	 lr: 0.00015712 ▲
[1300/20001]	 2.796it/s	 time: 0:07:45~1:51:28	 loss: 20.192>11.544	 lr: 0.00016937 ▲
[1400/20001]	 2.794it/s	 time: 0:08:21~1:50:56	 loss: 15.335>10.66	 lr: 0.00018162 ▲
[1500/20001]	 2.799it/s	 time: 0:08:56~1:50:10	 loss: 16.365>10.66	 lr: 0.00019387 ▲
[1600/20001]	 2.802it/s	 time: 0:09:31~1:49:26	 loss: 52.349>10.66	 lr: 0.00020612 ▲
[1700/20001]	 2.801it/s	 time: 0:10:07~1:48:54	 loss: 12.479>9.47	 lr: 0.00021837 ▲
[1800/20001]	 2.799it/s	 time: 0:10:43~1:48:21	 loss: 10.889>9.025	 lr: 0.00023062 ▲
[1900/20001]	 2.802it/s	 time: 0:11:18~1:47:38	 loss: 10.297>8.857	 lr: 0.00024287 ▲
[2000/20001]	 2.805it/s	 time: 0:11:53~1:46:57	 loss: 9.957>8.415	 lr: 0.00025512 ▲
model [rubiks_iso2_v2_cp2000] saved to _checkpoints...
[2100/20001]	 2.804it/s	 time: 0:12:29~1:46:24	 loss: 9.519>7.897	 lr: 0.00026737 ▲
[2200/20001]	 2.806it/s	 time: 0:13:04~1:45:43	 loss: 9.048>7.866	 lr: 0.00027962 ▲
[2300/20001]	 2.805it/s	 time: 0:13:40~1:45:10	 loss: 9.419>7.851	 lr: 0.00029187 ▲
[2400/20001]	 2.807it/s	 time: 0:14:15~1:44:30	 loss: 8.668>7.431	 lr: 0.00030412 ▲
[2500/20001]	 2.806it/s	 time: 0:14:51~1:43:57	 loss: 8.766>7.341	 lr: 0.00031637 ▲
[2600/20001]	 2.805it/s	 time: 0:15:27~1:43:23	 loss: 8.364>7.086	 lr: 0.00032862 ▲
[2700/20001]	 2.804it/s	 time: 0:16:03~1:42:50	 loss: 8.09>7.066	 lr: 0.00034087 ▲
[2800/20001]	 2.803it/s	 time: 0:16:39~1:42:16	 loss: 8.108>7.066	 lr: 0.00035312 ▲
[2900/20001]	 2.805it/s	 time: 0:17:14~1:41:37	 loss: 7.583>6.637	 lr: 0.00036537 ▲
[3000/20001]	 2.804it/s	 time: 0:17:50~1:41:03	 loss: 7.836>6.637	 lr: 0.00037762 ▲
[3100/20001]	 2.8it/s	 time: 0:18:27~1:40:34	 loss: 7.482>6.559	 lr: 0.00038987 ▲
[3200/20001]	 2.8it/s	 time: 0:19:03~1:40:00	 loss: 7.079>6.482	 lr: 0.00040212 ▲
[3300/20001]	 2.799it/s	 time: 0:19:39~1:39:26	 loss: 6.923>6.257	 lr: 0.00041437 ▲
[3400/20001]	 2.798it/s	 time: 0:20:15~1:38:52	 loss: 6.89>6.178	 lr: 0.00042662 ▲
[3500/20001]	 2.798it/s	 time: 0:20:51~1:38:17	 loss: 6.757>6.091	 lr: 0.00043887 ▲
[3600/20001]	 2.797it/s	 time: 0:21:27~1:37:43	 loss: 6.739>5.821	 lr: 0.00045112 ▲
[3700/20001]	 2.799it/s	 time: 0:22:02~1:37:03	 loss: 6.265>5.604	 lr: 0.00046337 ▲
[3800/20001]	 2.796it/s	 time: 0:22:39~1:36:33	 loss: 6.163>5.386	 lr: 0.00047562 ▲
[3900/20001]	 2.798it/s	 time: 0:23:14~1:35:54	 loss: 6.168>5.318	 lr: 0.00048787 ▲
[4000/20001]	 2.799it/s	 time: 0:23:49~1:35:16	 loss: 6.011>5.069	 lr: 0.00049988 ▲
model [rubiks_iso2_v2_cp4000] saved to _checkpoints...
[4100/20001]	 2.799it/s	 time: 0:24:25~1:34:41	 loss: 5.654>4.79	 lr: 0.00048763 ▼
[4200/20001]	 2.8it/s	 time: 0:25:00~1:34:02	 loss: 5.17>4.013	 lr: 0.00047538 ▼
[4300/20001]	 2.799it/s	 time: 0:25:36~1:33:28	 loss: 4.932>3.785	 lr: 0.00046313 ▼
[4400/20001]	 2.801it/s	 time: 0:26:11~1:32:49	 loss: 4.71>3.575	 lr: 0.00045088 ▼
[4500/20001]	 2.799it/s	 time: 0:26:48~1:32:18	 loss: 4.299>3.086	 lr: 0.00043863 ▼
[4600/20001]	 2.8it/s	 time: 0:27:23~1:31:40	 loss: 3.557>2.601	 lr: 0.00042638 ▼
[4700/20001]	 2.801it/s	 time: 0:27:58~1:31:02	 loss: 3.632>2.504	 lr: 0.00041413 ▼
[4800/20001]	 2.804it/s	 time: 0:28:32~1:30:21	 loss: 3.254>2.371	 lr: 0.00040188 ▼
[4900/20001]	 2.803it/s	 time: 0:29:08~1:29:46	 loss: 3.292>2.266	 lr: 0.00038963 ▼
[5000/20001]	 2.804it/s	 time: 0:29:43~1:29:09	 loss: 3.146>2.26	 lr: 0.00037738 ▼
[5100/20001]	 2.804it/s	 time: 0:30:19~1:28:34	 loss: 2.92>2.138	 lr: 0.00036513 ▼
[5200/20001]	 2.803it/s	 time: 0:30:55~1:27:59	 loss: 2.648>2.022	 lr: 0.00035288 ▼
[5300/20001]	 2.803it/s	 time: 0:31:31~1:27:24	 loss: 2.495>1.95	 lr: 0.00034063 ▼
[5400/20001]	 2.805it/s	 time: 0:32:05~1:26:44	 loss: 2.532>1.902	 lr: 0.00032838 ▼
[5500/20001]	 2.805it/s	 time: 0:32:41~1:26:09	 loss: 2.42>1.794	 lr: 0.00031613 ▼
[5600/20001]	 2.806it/s	 time: 0:33:16~1:25:32	 loss: 2.377>1.777	 lr: 0.00030388 ▼
[5700/20001]	 2.805it/s	 time: 0:33:52~1:24:57	 loss: 2.258>1.721	 lr: 0.00029163 ▼
[5800/20001]	 2.805it/s	 time: 0:34:28~1:24:23	 loss: 2.181>1.715	 lr: 0.00027938 ▼
[5900/20001]	 2.804it/s	 time: 0:35:04~1:23:48	 loss: 1.951>1.615	 lr: 0.00026713 ▼
[6000/20001]	 2.804it/s	 time: 0:35:40~1:23:13	 loss: 2.002>1.591	 lr: 0.00025488 ▼
model [rubiks_iso2_v2_cp6000] saved to _checkpoints...
[6100/20001]	 2.805it/s	 time: 0:36:15~1:22:36	 loss: 1.995>1.591	 lr: 0.00024263 ▼
[6200/20001]	 2.804it/s	 time: 0:36:51~1:22:01	 loss: 1.898>1.56	 lr: 0.00023038 ▼
[6300/20001]	 2.804it/s	 time: 0:37:27~1:21:26	 loss: 1.927>1.528	 lr: 0.00021813 ▼
[6400/20001]	 2.792it/s	 time: 0:38:12~1:21:10	 loss: 1.817>1.515	 lr: 0.00020588 ▼
[6500/20001]	 2.746it/s	 time: 0:39:27~1:21:56	 loss: 1.82>1.503	 lr: 0.00019363 ▼
[6600/20001]	 2.7it/s	 time: 0:40:44~1:22:42	 loss: 1.731>1.478	 lr: 0.00018138 ▼
[6700/20001]	 2.659it/s	 time: 0:42:00~1:23:22	 loss: 1.737>1.478	 lr: 0.00016913 ▼
[6800/20001]	 2.62it/s	 time: 0:43:15~1:23:57	 loss: 1.793>1.478	 lr: 0.00015688 ▼
[6900/20001]	 2.584it/s	 time: 0:44:30~1:24:29	 loss: 1.715>1.472	 lr: 0.00014463 ▼
[7000/20001]	 2.548it/s	 time: 0:45:47~1:25:01	 loss: 1.743>1.45	 lr: 0.00013238 ▼
[7100/20001]	 2.514it/s	 time: 0:47:04~1:25:30	 loss: 1.668>1.45	 lr: 0.00012013 ▼
[7200/20001]	 2.481it/s	 time: 0:48:22~1:25:59	 loss: 1.63>1.428	 lr: 0.00010788 ▼
[7300/20001]	 2.452it/s	 time: 0:49:37~1:26:19	 loss: 1.647>1.428	 lr: 9.563e-05 ▼
[7400/20001]	 2.424it/s	 time: 0:50:53~1:26:38	 loss: 1.621>1.421	 lr: 8.338e-05 ▼
[7500/20001]	 2.398it/s	 time: 0:52:07~1:26:51	 loss: 1.629>1.418	 lr: 7.113e-05 ▼
[7600/20001]	 2.374it/s	 time: 0:53:22~1:27:04	 loss: 1.603>1.408	 lr: 5.888e-05 ▼
[7700/20001]	 2.35it/s	 time: 0:54:36~1:27:13	 loss: 1.594>1.404	 lr: 4.663e-05 ▼
[7800/20001]	 2.328it/s	 time: 0:55:51~1:27:21	 loss: 1.579>1.401	 lr: 3.438e-05 ▼
[7900/20001]	 2.306it/s	 time: 0:57:06~1:27:27	 loss: 1.591>1.396	 lr: 2.213e-05 ▼
[8000/20001]	 2.284it/s	 time: 0:58:22~1:27:33	 loss: 1.558>1.394	 lr: 1.006e-05 ▼
model [rubiks_iso2_v2_cp8000] saved to _checkpoints...
[8100/20001]	 2.264it/s	 time: 0:59:38~1:27:36	 loss: 1.567>1.387	 lr: 1.619e-05 ▲
[8200/20001]	 2.245it/s	 time: 1:00:53~1:27:36	 loss: 1.577>1.387	 lr: 2.231e-05 ▲
[8300/20001]	 2.226it/s	 time: 1:02:09~1:27:36	 loss: 1.567>1.386	 lr: 2.844e-05 ▲
[8400/20001]	 2.208it/s	 time: 1:03:25~1:27:34	 loss: 1.563>1.386	 lr: 3.456e-05 ▲
[8500/20001]	 2.191it/s	 time: 1:04:40~1:27:29	 loss: 1.578>1.386	 lr: 4.069e-05 ▲
[8600/20001]	 2.174it/s	 time: 1:05:55~1:27:22	 loss: 1.566>1.386	 lr: 4.681e-05 ▲
[8700/20001]	 2.158it/s	 time: 1:07:11~1:27:15	 loss: 1.555>1.386	 lr: 5.294e-05 ▲
[8800/20001]	 2.143it/s	 time: 1:08:27~1:27:07	 loss: 1.563>1.386	 lr: 5.906e-05 ▲
[8900/20001]	 2.128it/s	 time: 1:09:42~1:26:55	 loss: 1.573>1.386	 lr: 6.519e-05 ▲
[9000/20001]	 2.113it/s	 time: 1:10:59~1:26:45	 loss: 1.554>1.386	 lr: 7.131e-05 ▲
[9100/20001]	 2.098it/s	 time: 1:12:17~1:26:34	 loss: 1.554>1.386	 lr: 7.744e-05 ▲
[9200/20001]	 2.085it/s	 time: 1:13:32~1:26:19	 loss: 1.582>1.386	 lr: 8.356e-05 ▲
[9300/20001]	 2.073it/s	 time: 1:14:46~1:26:01	 loss: 1.578>1.386	 lr: 8.969e-05 ▲
[9400/20001]	 2.06it/s	 time: 1:16:02~1:25:44	 loss: 1.556>1.383	 lr: 9.581e-05 ▲
[9500/20001]	 2.048it/s	 time: 1:17:19~1:25:27	 loss: 1.559>1.383	 lr: 0.00010194 ▲
[9600/20001]	 2.036it/s	 time: 1:18:34~1:25:06	 loss: 1.586>1.383	 lr: 0.00010806 ▲
[9700/20001]	 2.025it/s	 time: 1:19:49~1:24:45	 loss: 1.624>1.383	 lr: 0.00011419 ▲
[9800/20001]	 2.014it/s	 time: 1:21:05~1:24:23	 loss: 1.558>1.383	 lr: 0.00012031 ▲
[9900/20001]	 2.004it/s	 time: 1:22:20~1:23:59	 loss: 1.588>1.383	 lr: 0.00012644 ▲
[10000/20001]	 1.993it/s	 time: 1:23:37~1:23:37	 loss: 1.574>1.383	 lr: 0.00013256 ▲
model [rubiks_iso2_v2_cp10000] saved to _checkpoints...
[10100/20001]	 1.983it/s	 time: 1:24:53~1:23:12	 loss: 1.572>1.374	 lr: 0.00013869 ▲
[10200/20001]	 1.973it/s	 time: 1:26:10~1:22:47	 loss: 1.603>1.374	 lr: 0.00014481 ▲
[10300/20001]	 1.964it/s	 time: 1:27:24~1:22:18	 loss: 1.55>1.371	 lr: 0.00015094 ▲
[10400/20001]	 1.955it/s	 time: 1:28:40~1:21:50	 loss: 1.551>1.371	 lr: 0.00015706 ▲
[10500/20001]	 1.946it/s	 time: 1:29:56~1:21:22	 loss: 1.604>1.371	 lr: 0.00016319 ▲
[10600/20001]	 1.937it/s	 time: 1:31:12~1:20:52	 loss: 1.594>1.371	 lr: 0.00016931 ▲
[10700/20001]	 1.929it/s	 time: 1:32:28~1:20:22	 loss: 1.541>1.371	 lr: 0.00017544 ▲
[10800/20001]	 1.92it/s	 time: 1:33:45~1:19:51	 loss: 1.552>1.371	 lr: 0.00018156 ▲
[10900/20001]	 1.912it/s	 time: 1:35:00~1:19:18	 loss: 1.592>1.371	 lr: 0.00018769 ▲
[11000/20001]	 1.904it/s	 time: 1:36:17~1:18:46	 loss: 1.568>1.371	 lr: 0.00019381 ▲
[11100/20001]	 1.896it/s	 time: 1:37:35~1:18:14	 loss: 1.574>1.371	 lr: 0.00019994 ▲
[11200/20001]	 1.889it/s	 time: 1:38:50~1:17:39	 loss: 1.61>1.371	 lr: 0.00020606 ▲
[11300/20001]	 1.881it/s	 time: 1:40:06~1:17:04	 loss: 1.607>1.371	 lr: 0.00021219 ▲
[11400/20001]	 1.874it/s	 time: 1:41:22~1:16:28	 loss: 1.567>1.37	 lr: 0.00021831 ▲
