****************
timestamp: 2023-12-11 21:37:54.501318
initializing training...
device: cuda
nca perception channels: 76
nca parameter count: 11904
nca isotropic type: 1
training new model from scratch...
model: cowboy16_iso2_v4
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 12001 epochs...
[100/12001]	 2.941it/s	 time: 0:00:34~1:07:25	 loss: 2719.757>20.192	 lr: 3.474e-05 ▲
[200/12001]	 3.077it/s	 time: 0:01:05~1:03:54	 loss: 894.142>19.37	 lr: 5.924e-05 ▲
[300/12001]	 3.093it/s	 time: 0:01:37~1:03:02	 loss: 497.991>19.37	 lr: 8.375e-05 ▲
[400/12001]	 3.101it/s	 time: 0:02:09~1:02:21	 loss: 1593.281>19.37	 lr: 0.00010824 ▲
[500/12001]	 3.106it/s	 time: 0:02:41~1:01:43	 loss: 160.946>19.37	 lr: 0.00013275 ▲
[600/12001]	 3.109it/s	 time: 0:03:13~1:01:07	 loss: 157.753>19.37	 lr: 0.00015724 ▲
[700/12001]	 3.07it/s	 time: 0:03:48~1:01:20	 loss: 68.384>19.37	 lr: 0.00018174 ▲
[800/12001]	 3.042it/s	 time: 0:04:23~1:01:22	 loss: 630.689>19.37	 lr: 0.00020625 ▲
[900/12001]	 3.02it/s	 time: 0:04:58~1:01:15	 loss: 25.836>19.37	 lr: 0.00023074 ▲
[1000/12001]	 3.021it/s	 time: 0:05:31~1:00:40	 loss: 31.989>19.37	 lr: 0.00025524 ▲
model [cowboy16_iso2_v4_cp1000] saved to _checkpoints...
[1100/12001]	 3.039it/s	 time: 0:06:02~0:59:47	 loss: 89.634>19.37	 lr: 0.00027975 ▲
[1200/12001]	 3.046it/s	 time: 0:06:34~0:59:06	 loss: 109.487>18.083	 lr: 0.00030425 ▲
[1300/12001]	 3.059it/s	 time: 0:07:05~0:58:18	 loss: 46.008>18.083	 lr: 0.00032875 ▲
[1400/12001]	 3.063it/s	 time: 0:07:37~0:57:40	 loss: 296.803>18.083	 lr: 0.00035324 ▲
[1500/12001]	 3.074it/s	 time: 0:08:08~0:56:56	 loss: 24.916>17.66	 lr: 0.00037774 ▲
[1600/12001]	 3.077it/s	 time: 0:08:40~0:56:19	 loss: 18.342>13.857	 lr: 0.00040224 ▲
[1700/12001]	 3.08it/s	 time: 0:09:12~0:55:44	 loss: 14.883>11.786	 lr: 0.00042675 ▲
[1800/12001]	 3.082it/s	 time: 0:09:44~0:55:09	 loss: 12.594>9.319	 lr: 0.00045125 ▲
[1900/12001]	 3.084it/s	 time: 0:10:16~0:54:34	 loss: 11.322>8.823	 lr: 0.00047574 ▲
[2000/12001]	 3.091it/s	 time: 0:10:47~0:53:54	 loss: 9.492>7.171	 lr: 0.00049976 ▲
model [cowboy16_iso2_v4_cp2000] saved to _checkpoints...
[2100/12001]	 3.093it/s	 time: 0:11:19~0:53:20	 loss: 9.168>7.115	 lr: 0.00047526 ▼
[2200/12001]	 3.099it/s	 time: 0:11:50~0:52:42	 loss: 8.526>6.677	 lr: 0.00045075 ▼
[2300/12001]	 3.1it/s	 time: 0:12:22~0:52:09	 loss: 8.459>6.539	 lr: 0.00042625 ▼
[2400/12001]	 3.101it/s	 time: 0:12:54~0:51:36	 loss: 7.959>6.267	 lr: 0.00040176 ▼
[2500/12001]	 3.102it/s	 time: 0:13:26~0:51:02	 loss: 7.36>5.826	 lr: 0.00037726 ▼
[2600/12001]	 3.103it/s	 time: 0:13:58~0:50:29	 loss: 6.939>5.423	 lr: 0.00035276 ▼
[2700/12001]	 3.096it/s	 time: 0:14:32~0:50:03	 loss: 6.161>4.854	 lr: 0.00032825 ▼
[2800/12001]	 3.087it/s	 time: 0:15:07~0:49:40	 loss: 5.702>4.389	 lr: 0.00030375 ▼
[2900/12001]	 3.082it/s	 time: 0:15:41~0:49:12	 loss: 5.183>3.938	 lr: 0.00027926 ▼
[3000/12001]	 3.086it/s	 time: 0:16:12~0:48:36	 loss: 4.878>3.558	 lr: 0.00025476 ▼
model [cowboy16_iso2_v4_cp3000] saved to _checkpoints...
[3100/12001]	 3.091it/s	 time: 0:16:43~0:47:59	 loss: 4.917>3.558	 lr: 0.00023026 ▼
[3200/12001]	 3.092it/s	 time: 0:17:15~0:47:26	 loss: 4.637>3.436	 lr: 0.00020575 ▼
[3300/12001]	 3.093it/s	 time: 0:17:47~0:46:52	 loss: 4.364>3.363	 lr: 0.00018125 ▼
[3400/12001]	 3.094it/s	 time: 0:18:19~0:46:19	 loss: 4.303>3.324	 lr: 0.00015676 ▼
[3500/12001]	 3.097it/s	 time: 0:18:50~0:45:44	 loss: 4.486>3.324	 lr: 0.00013226 ▼
[3600/12001]	 3.098it/s	 time: 0:19:22~0:45:11	 loss: 4.039>3.095	 lr: 0.00010776 ▼
