****************
timestamp: 2023-12-13 00:15:29.768074
initializing training...
device: cuda
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: ghosty_iso2_v11
type: 5
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 12001 epochs...
[100/12001]	 2.941it/s	 time: 0:00:34~1:07:25	 loss: 1719.233>29.315	 lr: 3.474e-05 ▲
[200/12001]	 2.985it/s	 time: 0:01:07~1:05:52	 loss: 1244.246>29.315	 lr: 5.924e-05 ▲
[300/12001]	 3.0it/s	 time: 0:01:40~1:05:00	 loss: 961.603>29.315	 lr: 8.375e-05 ▲
[400/12001]	 3.03it/s	 time: 0:02:12~1:03:48	 loss: 69.551>28.525	 lr: 0.00010824 ▲
[500/12001]	 3.049it/s	 time: 0:02:44~1:02:52	 loss: 75.792>26.201	 lr: 0.00013275 ▲
[600/12001]	 3.046it/s	 time: 0:03:17~1:02:23	 loss: 700.616>25.849	 lr: 0.00015724 ▲
[700/12001]	 3.057it/s	 time: 0:03:49~1:01:36	 loss: 50.028>25.849	 lr: 0.00018174 ▲
[800/12001]	 3.077it/s	 time: 0:04:20~1:00:39	 loss: 1157.056>24.346	 lr: 0.00020625 ▲
[900/12001]	 3.072it/s	 time: 0:04:53~1:00:13	 loss: 130.356>22.373	 lr: 0.00023074 ▲
[1000/12001]	 3.067it/s	 time: 0:05:26~0:59:46	 loss: 91.383>18.332	 lr: 0.00025524 ▲
[1100/12001]	 3.056it/s	 time: 0:06:00~0:59:27	 loss: 23.986>16.209	 lr: 0.00027975 ▲
[1200/12001]	 3.061it/s	 time: 0:06:32~0:58:48	 loss: 23.733>14.091	 lr: 0.00030425 ▲
[1300/12001]	 3.066it/s	 time: 0:07:04~0:58:09	 loss: 16.615>12.028	 lr: 0.00032875 ▲
[1400/12001]	 3.07it/s	 time: 0:07:36~0:57:32	 loss: 16.271>10.616	 lr: 0.00035324 ▲
[1500/12001]	 3.074it/s	 time: 0:08:08~0:56:56	 loss: 12.727>9.875	 lr: 0.00037774 ▲
[1600/12001]	 3.071it/s	 time: 0:08:41~0:56:26	 loss: 11.431>7.794	 lr: 0.00040224 ▲
[1700/12001]	 3.074it/s	 time: 0:09:13~0:55:50	 loss: 9.987>7.281	 lr: 0.00042675 ▲
[1800/12001]	 3.077it/s	 time: 0:09:45~0:55:14	 loss: 9.335>6.945	 lr: 0.00045125 ▲
