****************
timestamp: 2024-04-05 15:48:27.833071
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: oak_aniso_single
type: ANISOTROPIC
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 32, 32, 32]
target.shape: [4, 4, 32, 32, 32]
starting training w/ 20001 epochs...
[100/20001]	 1.667it/s	 time: 0:01:00~3:19:00	 loss: 15785.669>22.535	 lr: 3.474e-05 ▲
[200/20001]	 1.695it/s	 time: 0:01:58~3:14:42	 loss: 1634.483>22.156	 lr: 5.924e-05 ▲
[300/20001]	 1.714it/s	 time: 0:02:55~3:11:31	 loss: 495.619>22.156	 lr: 8.375e-05 ▲
[400/20001]	 1.717it/s	 time: 0:03:53~3:10:17	 loss: 59.582>22.156	 lr: 0.00010824 ▲
[500/20001]	 1.724it/s	 time: 0:04:50~3:08:30	 loss: 649.902>22.156	 lr: 0.00013275 ▲
[600/20001]	 1.729it/s	 time: 0:05:47~3:06:59	 loss: 1461.528>22.156	 lr: 0.00015724 ▲
[700/20001]	 1.728it/s	 time: 0:06:45~3:06:06	 loss: 118.894>22.156	 lr: 0.00018174 ▲
[800/20001]	 1.732it/s	 time: 0:07:42~3:04:48	 loss: 843.642>22.156	 lr: 0.00020625 ▲
[900/20001]	 1.731it/s	 time: 0:08:40~3:03:55	 loss: 77.078>22.156	 lr: 0.00023074 ▲
[1000/20001]	 1.727it/s	 time: 0:09:39~3:03:21	 loss: 25.311>20.615	 lr: 0.00025524 ▲
[1100/20001]	 1.73it/s	 time: 0:10:36~3:02:07	 loss: 23.926>18.863	 lr: 0.00027975 ▲
[1200/20001]	 1.724it/s	 time: 0:11:36~3:01:44	 loss: 54.384>17.526	 lr: 0.00030425 ▲
[1300/20001]	 1.726it/s	 time: 0:12:33~3:00:31	 loss: 20.043>15.764	 lr: 0.00032875 ▲
[1400/20001]	 1.728it/s	 time: 0:13:30~2:59:21	 loss: 161.245>15.6	 lr: 0.00035324 ▲
[1500/20001]	 1.728it/s	 time: 0:14:28~2:58:25	 loss: 16.445>14.115	 lr: 0.00037774 ▲
[1600/20001]	 1.728it/s	 time: 0:15:26~2:57:29	 loss: 141.735>13.173	 lr: 0.00040224 ▲
[1700/20001]	 1.729it/s	 time: 0:16:23~2:56:21	 loss: 14.136>11.631	 lr: 0.00042675 ▲
[1800/20001]	 1.731it/s	 time: 0:17:20~2:55:15	 loss: 13.827>11.338	 lr: 0.00045125 ▲
[1900/20001]	 1.73it/s	 time: 0:18:18~2:54:19	 loss: 12.732>11.145	 lr: 0.00047574 ▲
[2000/20001]	 1.729it/s	 time: 0:19:17~2:53:33	 loss: 12.441>10.54	 lr: 0.00049976 ▲
[2100/20001]	 1.728it/s	 time: 0:20:15~2:52:36	 loss: 11.168>9.668	 lr: 0.00047526 ▼
[2200/20001]	 1.73it/s	 time: 0:21:12~2:51:31	 loss: 10.826>9.365	 lr: 0.00045075 ▼
[2300/20001]	 1.729it/s	 time: 0:22:10~2:50:35	 loss: 9.873>8.704	 lr: 0.00042625 ▼
