****************
timestamp: 2024-03-25 22:34:40.922003
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: oak_iso3_v0
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 32, 32, 32]
target.shape: [4, 4, 32, 32, 32]
starting training w/ 20001 epochs...
[100/20001]	 1.449it/s	 time: 0:01:09~3:48:50	 loss: 436.121>24.204	 lr: 3.474e-05 ▲
[200/20001]	 1.46it/s	 time: 0:02:17~3:46:03	 loss: 42.537>23.619	 lr: 5.924e-05 ▲
[300/20001]	 1.463it/s	 time: 0:03:25~3:44:21	 loss: 27.944>23.619	 lr: 8.375e-05 ▲
[400/20001]	 1.46it/s	 time: 0:04:34~3:43:46	 loss: 28.134>22.931	 lr: 0.00010824 ▲
[500/20001]	 1.458it/s	 time: 0:05:43~3:42:57	 loss: 24.561>21.601	 lr: 0.00013275 ▲
[600/20001]	 1.46it/s	 time: 0:06:51~3:41:29	 loss: 23.049>20.67	 lr: 0.00015724 ▲
[700/20001]	 1.458it/s	 time: 0:08:00~3:40:34	 loss: 20.846>18.343	 lr: 0.00018174 ▲
[800/20001]	 1.46it/s	 time: 0:09:08~3:39:12	 loss: 20.095>17.922	 lr: 0.00020625 ▲
[900/20001]	 1.459it/s	 time: 0:10:17~3:38:14	 loss: 19.216>17.008	 lr: 0.00023074 ▲
[1000/20001]	 1.458it/s	 time: 0:11:26~3:37:14	 loss: 17.831>16.692	 lr: 0.00025524 ▲
[1100/20001]	 1.459it/s	 time: 0:12:34~3:35:55	 loss: 18.017>16.562	 lr: 0.00027975 ▲
[1200/20001]	 1.458it/s	 time: 0:13:43~3:34:53	 loss: 17.438>15.771	 lr: 0.00030425 ▲
[1300/20001]	 1.459it/s	 time: 0:14:51~3:33:36	 loss: 16.06>14.893	 lr: 0.00032875 ▲
[1400/20001]	 1.46it/s	 time: 0:15:59~3:32:21	 loss: 15.99>14.647	 lr: 0.00035324 ▲
[1500/20001]	 1.456it/s	 time: 0:17:10~3:31:43	 loss: 14.686>13.564	 lr: 0.00037774 ▲
[1600/20001]	 1.459it/s	 time: 0:18:17~3:30:15	 loss: 14.521>13.225	 lr: 0.00040224 ▲
[1700/20001]	 1.459it/s	 time: 0:19:25~3:29:00	 loss: 14.37>13.03	 lr: 0.00042675 ▲
[1800/20001]	 1.457it/s	 time: 0:20:35~3:28:07	 loss: 14.145>12.784	 lr: 0.00045125 ▲
[1900/20001]	 1.456it/s	 time: 0:21:45~3:27:11	 loss: 13.56>12.473	 lr: 0.00047574 ▲
[2000/20001]	 1.457it/s	 time: 0:22:53~3:25:57	 loss: 13.182>12.13	 lr: 0.00049976 ▲
[2100/20001]	 1.456it/s	 time: 0:24:02~3:24:51	 loss: 12.908>12.054	 lr: 0.00047526 ▼
[2200/20001]	 1.454it/s	 time: 0:25:13~3:24:01	 loss: 12.471>11.599	 lr: 0.00045075 ▼
[2300/20001]	 1.454it/s	 time: 0:26:22~3:22:54	 loss: 12.418>11.457	 lr: 0.00042625 ▼
[2400/20001]	 1.455it/s	 time: 0:27:30~3:21:40	 loss: 12.254>11.26	 lr: 0.00040176 ▼
[2500/20001]	 1.454it/s	 time: 0:28:39~3:20:33	 loss: 12.04>11.143	 lr: 0.00037726 ▼
[2600/20001]	 1.453it/s	 time: 0:29:49~3:19:32	 loss: 11.588>10.763	 lr: 0.00035276 ▼
[2700/20001]	 1.454it/s	 time: 0:30:57~3:18:18	 loss: 11.523>10.763	 lr: 0.00032825 ▼
[2800/20001]	 1.454it/s	 time: 0:32:06~3:17:11	 loss: 11.565>10.579	 lr: 0.00030375 ▼
[2900/20001]	 1.454it/s	 time: 0:33:15~3:16:03	 loss: 11.407>10.579	 lr: 0.00027926 ▼
[3000/20001]	 1.453it/s	 time: 0:34:24~3:14:56	 loss: 11.361>10.579	 lr: 0.00025476 ▼
[3100/20001]	 1.454it/s	 time: 0:35:32~3:13:42	 loss: 11.349>10.49	 lr: 0.00023026 ▼
[3200/20001]	 1.453it/s	 time: 0:36:42~3:12:40	 loss: 10.99>10.319	 lr: 0.00020575 ▼
[3300/20001]	 1.453it/s	 time: 0:37:51~3:11:32	 loss: 10.893>10.285	 lr: 0.00018125 ▼
[3400/20001]	 1.454it/s	 time: 0:38:59~3:10:19	 loss: 10.971>10.113	 lr: 0.00015676 ▼
[3500/20001]	 1.453it/s	 time: 0:40:09~3:09:16	 loss: 10.842>10.052	 lr: 0.00013226 ▼
[3600/20001]	 1.453it/s	 time: 0:41:18~3:08:08	 loss: 10.81>9.934	 lr: 0.00010776 ▼
[3700/20001]	 1.453it/s	 time: 0:42:27~3:07:00	 loss: 10.587>9.814	 lr: 8.325e-05 ▼
[3800/20001]	 1.453it/s	 time: 0:43:36~3:05:52	 loss: 10.657>9.814	 lr: 5.875e-05 ▼
[3900/20001]	 1.453it/s	 time: 0:44:44~3:04:40	 loss: 10.606>9.79	 lr: 3.426e-05 ▼
[4000/20001]	 1.453it/s	 time: 0:45:53~3:03:32	 loss: 10.369>9.671	 lr: 1.012e-05 ▼
[4100/20001]	 1.453it/s	 time: 0:47:01~3:02:19	 loss: 10.352>9.671	 lr: 2.237e-05 ▲
[4200/20001]	 1.453it/s	 time: 0:48:10~3:01:11	 loss: 10.391>9.671	 lr: 3.462e-05 ▲
[4300/20001]	 1.454it/s	 time: 0:49:18~3:00:00	 loss: 10.357>9.671	 lr: 4.687e-05 ▲
[4400/20001]	 1.454it/s	 time: 0:50:27~2:58:52	 loss: 10.351>9.664	 lr: 5.912e-05 ▲
[4500/20001]	 1.454it/s	 time: 0:51:35~2:57:40	 loss: 10.245>9.585	 lr: 7.137e-05 ▲
[4600/20001]	 1.453it/s	 time: 0:52:46~2:56:39	 loss: 10.386>9.585	 lr: 8.362e-05 ▲
[4700/20001]	 1.452it/s	 time: 0:53:57~2:55:37	 loss: 10.367>9.509	 lr: 9.587e-05 ▲
[4800/20001]	 1.452it/s	 time: 0:55:06~2:54:29	 loss: 10.438>9.509	 lr: 0.00010812 ▲
[4900/20001]	 1.452it/s	 time: 0:56:14~2:53:17	 loss: 10.278>9.509	 lr: 0.00012037 ▲
[5000/20001]	 1.452it/s	 time: 0:57:24~2:52:12	 loss: 10.399>9.509	 lr: 0.00013262 ▲
model [oak_iso3_v0_cp5000] saved to _checkpoints...
[5100/20001]	 1.452it/s	 time: 0:58:33~2:51:03	 loss: 10.337>9.509	 lr: 0.00014487 ▲
[5200/20001]	 1.451it/s	 time: 0:59:43~2:49:57	 loss: 10.276>9.509	 lr: 0.00015712 ▲
[5300/20001]	 1.452it/s	 time: 1:00:51~2:48:46	 loss: 10.234>9.509	 lr: 0.00016937 ▲
[5400/20001]	 1.452it/s	 time: 1:01:59~2:47:35	 loss: 10.302>9.509	 lr: 0.00018162 ▲
[5500/20001]	 1.452it/s	 time: 1:03:08~2:46:26	 loss: 10.303>9.504	 lr: 0.00019387 ▲
[5600/20001]	 1.452it/s	 time: 1:04:18~2:45:20	 loss: 10.277>9.438	 lr: 0.00020612 ▲
[5700/20001]	 1.452it/s	 time: 1:05:25~2:44:06	 loss: 10.255>9.438	 lr: 0.00021837 ▲
[5800/20001]	 1.452it/s	 time: 1:06:34~2:42:58	 loss: 10.165>9.288	 lr: 0.00023062 ▲
[5900/20001]	 1.452it/s	 time: 1:07:43~2:41:49	 loss: 10.063>9.288	 lr: 0.00024287 ▲
[6000/20001]	 1.452it/s	 time: 1:08:53~2:40:43	 loss: 9.879>9.097	 lr: 0.00025488 ▲
[6100/20001]	 1.452it/s	 time: 1:10:01~2:39:32	 loss: 10.099>9.097	 lr: 0.00024263 ▼
[6200/20001]	 1.452it/s	 time: 1:11:10~2:38:24	 loss: 10.201>9.097	 lr: 0.00023038 ▼
[6300/20001]	 1.452it/s	 time: 1:12:19~2:37:15	 loss: 9.888>9.097	 lr: 0.00021813 ▼
[6400/20001]	 1.452it/s	 time: 1:13:28~2:36:07	 loss: 9.876>8.971	 lr: 0.00020588 ▼
[6500/20001]	 1.452it/s	 time: 1:14:36~2:34:56	 loss: 9.683>8.926	 lr: 0.00019363 ▼
[6600/20001]	 1.452it/s	 time: 1:15:46~2:33:49	 loss: 9.679>8.846	 lr: 0.00018138 ▼
[6700/20001]	 1.453it/s	 time: 1:16:52~2:32:35	 loss: 9.691>8.753	 lr: 0.00016913 ▼
[6800/20001]	 1.453it/s	 time: 1:18:01~2:31:26	 loss: 9.547>8.65	 lr: 0.00015688 ▼
[6900/20001]	 1.453it/s	 time: 1:19:10~2:30:18	 loss: 9.523>8.65	 lr: 0.00014463 ▼
[7000/20001]	 1.453it/s	 time: 1:20:18~2:29:07	 loss: 9.278>8.445	 lr: 0.00013238 ▼
[7100/20001]	 1.453it/s	 time: 1:21:28~2:28:01	 loss: 9.263>8.445	 lr: 0.00012013 ▼
[7200/20001]	 1.452it/s	 time: 1:22:37~2:26:52	 loss: 9.292>8.445	 lr: 0.00010788 ▼
[7300/20001]	 1.452it/s	 time: 1:23:47~2:25:45	 loss: 9.104>8.376	 lr: 9.563e-05 ▼
[7400/20001]	 1.453it/s	 time: 1:24:54~2:24:33	 loss: 9.299>8.376	 lr: 8.338e-05 ▼
[7500/20001]	 1.452it/s	 time: 1:26:04~2:23:26	 loss: 8.931>8.265	 lr: 7.113e-05 ▼
