****************
timestamp: 2024-02-21 17:19:54.901571
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 80
nca parameter count: 12416
nca isotropic type: 0
training new model from scratch...
model: rubiks_aniso_v1
type: ANISOTROPIC
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 3.333it/s	 time: 0:00:30~0:49:30	 loss: 2228.214>14.611	 lr: 3.474e-05 ▲
[200/10001]	 3.279it/s	 time: 0:01:01~0:49:49	 loss: 268.636>13.518	 lr: 5.924e-05 ▲
[300/10001]	 3.261it/s	 time: 0:01:32~0:49:34	 loss: 52.801>13.518	 lr: 8.375e-05 ▲
[400/10001]	 3.279it/s	 time: 0:02:02~0:48:48	 loss: 65.319>13.518	 lr: 0.00010824 ▲
[500/10001]	 3.289it/s	 time: 0:02:32~0:48:08	 loss: 189.661>13.518	 lr: 0.00013275 ▲
[600/10001]	 3.297it/s	 time: 0:03:02~0:47:31	 loss: 148.952>13.518	 lr: 0.00015724 ▲
[700/10001]	 3.286it/s	 time: 0:03:33~0:47:09	 loss: 429.731>13.518	 lr: 0.00018174 ▲
[800/10001]	 3.306it/s	 time: 0:04:02~0:46:23	 loss: 76.17>13.518	 lr: 0.00020625 ▲
[900/10001]	 3.309it/s	 time: 0:04:32~0:45:50	 loss: 30.419>13.518	 lr: 0.00023074 ▲
[1000/10001]	 3.3it/s	 time: 0:05:03~0:45:27	 loss: 22.865>12.143	 lr: 0.00025524 ▲
[1100/10001]	 3.303it/s	 time: 0:05:33~0:44:54	 loss: 25.673>12.013	 lr: 0.00027975 ▲
[1200/10001]	 3.297it/s	 time: 0:06:04~0:44:29	 loss: 13.884>9.483	 lr: 0.00030425 ▲
[1300/10001]	 3.299it/s	 time: 0:06:34~0:43:56	 loss: 16.606>9.222	 lr: 0.00032875 ▲
[1400/10001]	 3.302it/s	 time: 0:07:04~0:43:24	 loss: 9.566>7.24	 lr: 0.00035324 ▲
[1500/10001]	 3.311it/s	 time: 0:07:33~0:42:47	 loss: 9.516>7.24	 lr: 0.00037774 ▲
[1600/10001]	 3.313it/s	 time: 0:08:03~0:42:15	 loss: 8.423>6.626	 lr: 0.00040224 ▲
[1700/10001]	 3.314it/s	 time: 0:08:33~0:41:44	 loss: 7.515>5.803	 lr: 0.00042675 ▲
[1800/10001]	 3.315it/s	 time: 0:09:03~0:41:13	 loss: 6.741>5.289	 lr: 0.00045125 ▲
[1900/10001]	 3.31it/s	 time: 0:09:34~0:40:47	 loss: 6.188>4.631	 lr: 0.00047574 ▲
[2000/10001]	 3.306it/s	 time: 0:10:05~0:40:20	 loss: 5.701>4.283	 lr: 0.00049976 ▲
[2100/10001]	 3.307it/s	 time: 0:10:35~0:39:48	 loss: 5.476>3.672	 lr: 0.00047526 ▼
[2200/10001]	 3.308it/s	 time: 0:11:05~0:39:17	 loss: 4.475>3.026	 lr: 0.00045075 ▼
[2300/10001]	 3.309it/s	 time: 0:11:35~0:38:46	 loss: 3.887>2.569	 lr: 0.00042625 ▼
[2400/10001]	 3.31it/s	 time: 0:12:05~0:38:15	 loss: 3.918>2.213	 lr: 0.00040176 ▼
[2500/10001]	 3.316it/s	 time: 0:12:34~0:37:42	 loss: 2.975>1.95	 lr: 0.00037726 ▼
[2600/10001]	 3.316it/s	 time: 0:13:04~0:37:11	 loss: 2.463>1.561	 lr: 0.00035276 ▼
[2700/10001]	 3.317it/s	 time: 0:13:34~0:36:40	 loss: 2.287>1.213	 lr: 0.00032825 ▼
[2800/10001]	 3.318it/s	 time: 0:14:04~0:36:10	 loss: 2.145>1.213	 lr: 0.00030375 ▼
[2900/10001]	 3.318it/s	 time: 0:14:34~0:35:39	 loss: 1.847>1.011	 lr: 0.00027926 ▼
[3000/10001]	 3.315it/s	 time: 0:15:05~0:35:11	 loss: 1.728>0.88	 lr: 0.00025476 ▼
[3100/10001]	 3.319it/s	 time: 0:15:34~0:34:38	 loss: 1.543>0.799	 lr: 0.00023026 ▼
[3200/10001]	 3.32it/s	 time: 0:16:04~0:34:08	 loss: 1.384>0.678	 lr: 0.00020575 ▼
[3300/10001]	 3.323it/s	 time: 0:16:33~0:33:36	 loss: 1.374>0.655	 lr: 0.00018125 ▼
[3400/10001]	 3.32it/s	 time: 0:17:04~0:33:07	 loss: 1.073>0.551	 lr: 0.00015676 ▼
[3500/10001]	 3.321it/s	 time: 0:17:34~0:32:37	 loss: 1.186>0.516	 lr: 0.00013226 ▼
[3600/10001]	 3.321it/s	 time: 0:18:04~0:32:07	 loss: 1.041>0.486	 lr: 0.00010776 ▼
[3700/10001]	 3.321it/s	 time: 0:18:34~0:31:36	 loss: 0.886>0.424	 lr: 8.325e-05 ▼
[3800/10001]	 3.322it/s	 time: 0:19:04~0:31:06	 loss: 0.833>0.409	 lr: 5.875e-05 ▼
[3900/10001]	 3.319it/s	 time: 0:19:35~0:30:37	 loss: 0.781>0.39	 lr: 3.426e-05 ▼
[4000/10001]	 3.32it/s	 time: 0:20:05~0:30:07	 loss: 0.791>0.364	 lr: 1.012e-05 ▼
[4100/10001]	 3.317it/s	 time: 0:20:36~0:29:38	 loss: 0.72>0.351	 lr: 2.237e-05 ▲
[4200/10001]	 3.315it/s	 time: 0:21:07~0:29:09	 loss: 0.769>0.351	 lr: 3.462e-05 ▲
[4300/10001]	 3.315it/s	 time: 0:21:37~0:28:39	 loss: 0.823>0.351	 lr: 4.687e-05 ▲
[4400/10001]	 3.313it/s	 time: 0:22:08~0:28:10	 loss: 0.798>0.351	 lr: 5.912e-05 ▲
[4500/10001]	 3.314it/s	 time: 0:22:38~0:27:39	 loss: 0.788>0.351	 lr: 7.137e-05 ▲
[4600/10001]	 3.283it/s	 time: 0:23:21~0:27:24	 loss: 0.833>0.351	 lr: 8.362e-05 ▲
[4700/10001]	 3.257it/s	 time: 0:24:03~0:27:07	 loss: 0.834>0.351	 lr: 9.587e-05 ▲
[4800/10001]	 3.259it/s	 time: 0:24:33~0:26:35	 loss: 0.775>0.351	 lr: 0.00010812 ▲
[4900/10001]	 3.258it/s	 time: 0:25:04~0:26:05	 loss: 0.739>0.351	 lr: 0.00012037 ▲
[5000/10001]	 3.259it/s	 time: 0:25:34~0:25:34	 loss: 0.766>0.344	 lr: 0.00013262 ▲
model [rubiks_aniso_v1_cp5000] saved to _checkpoints...
[5100/10001]	 3.261it/s	 time: 0:26:04~0:25:02	 loss: 0.803>0.344	 lr: 0.00014487 ▲
[5200/10001]	 3.262it/s	 time: 0:26:34~0:24:31	 loss: 0.894>0.344	 lr: 0.00015712 ▲
[5300/10001]	 3.264it/s	 time: 0:27:04~0:24:00	 loss: 0.853>0.344	 lr: 0.00016937 ▲
[5400/10001]	 3.265it/s	 time: 0:27:34~0:23:28	 loss: 0.734>0.322	 lr: 0.00018162 ▲
[5500/10001]	 3.266it/s	 time: 0:28:04~0:22:57	 loss: 0.818>0.322	 lr: 0.00019387 ▲
[5600/10001]	 3.267it/s	 time: 0:28:34~0:22:26	 loss: 0.807>0.322	 lr: 0.00020612 ▲
[5700/10001]	 3.268it/s	 time: 0:29:04~0:21:55	 loss: 0.949>0.322	 lr: 0.00021837 ▲
[5800/10001]	 3.269it/s	 time: 0:29:34~0:21:24	 loss: 1.136>0.322	 lr: 0.00023062 ▲
[5900/10001]	 3.271it/s	 time: 0:30:04~0:20:53	 loss: 0.793>0.322	 lr: 0.00024287 ▲
[6000/10001]	 3.272it/s	 time: 0:30:34~0:20:22	 loss: 0.965>0.322	 lr: 0.00025488 ▲
[6100/10001]	 3.273it/s	 time: 0:31:04~0:19:51	 loss: 0.837>0.322	 lr: 0.00024263 ▼
[6200/10001]	 3.273it/s	 time: 0:31:34~0:19:20	 loss: 0.919>0.304	 lr: 0.00023038 ▼
[6300/10001]	 3.273it/s	 time: 0:32:05~0:18:50	 loss: 0.779>0.272	 lr: 0.00021813 ▼
[6400/10001]	 3.275it/s	 time: 0:32:34~0:18:19	 loss: 0.682>0.272	 lr: 0.00020588 ▼
[6500/10001]	 3.275it/s	 time: 0:33:05~0:17:48	 loss: 0.616>0.272	 lr: 0.00019363 ▼
[6600/10001]	 3.275it/s	 time: 0:33:35~0:17:18	 loss: 0.584>0.268	 lr: 0.00018138 ▼
[6700/10001]	 3.276it/s	 time: 0:34:05~0:16:47	 loss: 0.563>0.254	 lr: 0.00016913 ▼
[6800/10001]	 3.277it/s	 time: 0:34:35~0:16:16	 loss: 0.521>0.239	 lr: 0.00015688 ▼
[6900/10001]	 3.278it/s	 time: 0:35:05~0:15:45	 loss: 0.589>0.239	 lr: 0.00014463 ▼
[7000/10001]	 3.279it/s	 time: 0:35:35~0:15:15	 loss: 0.457>0.219	 lr: 0.00013238 ▼
[7100/10001]	 3.278it/s	 time: 0:36:06~0:14:44	 loss: 0.468>0.216	 lr: 0.00012013 ▼
[7200/10001]	 3.28it/s	 time: 0:36:35~0:14:13	 loss: 0.456>0.216	 lr: 0.00010788 ▼
[7300/10001]	 3.279it/s	 time: 0:37:06~0:13:43	 loss: 0.431>0.203	 lr: 9.563e-05 ▼
[7400/10001]	 3.28it/s	 time: 0:37:36~0:13:12	 loss: 0.439>0.198	 lr: 8.338e-05 ▼
[7500/10001]	 3.281it/s	 time: 0:38:06~0:12:42	 loss: 0.418>0.193	 lr: 7.113e-05 ▼
[7600/10001]	 3.28it/s	 time: 0:38:37~0:12:11	 loss: 0.376>0.19	 lr: 5.888e-05 ▼
[7700/10001]	 3.281it/s	 time: 0:39:07~0:11:41	 loss: 0.373>0.182	 lr: 4.663e-05 ▼
[7800/10001]	 3.281it/s	 time: 0:39:37~0:11:10	 loss: 0.377>0.182	 lr: 3.438e-05 ▼
[7900/10001]	 3.281it/s	 time: 0:40:08~0:10:40	 loss: 0.346>0.179	 lr: 2.213e-05 ▼
[8000/10001]	 3.281it/s	 time: 0:40:38~0:10:09	 loss: 0.319>0.178	 lr: 1.006e-05 ▼
[8100/10001]	 3.271it/s	 time: 0:41:16~0:09:40	 loss: 0.317>0.176	 lr: 1.619e-05 ▲
[8200/10001]	 3.263it/s	 time: 0:41:53~0:09:11	 loss: 0.351>0.175	 lr: 2.231e-05 ▲
[8300/10001]	 3.264it/s	 time: 0:42:23~0:08:40	 loss: 0.329>0.175	 lr: 2.844e-05 ▲
[8400/10001]	 3.265it/s	 time: 0:42:53~0:08:10	 loss: 0.359>0.175	 lr: 3.456e-05 ▲
[8500/10001]	 3.267it/s	 time: 0:43:22~0:07:39	 loss: 0.345>0.175	 lr: 4.069e-05 ▲
[8600/10001]	 3.266it/s	 time: 0:43:53~0:07:08	 loss: 0.351>0.175	 lr: 4.681e-05 ▲
[8700/10001]	 3.266it/s	 time: 0:44:24~0:06:38	 loss: 0.361>0.175	 lr: 5.294e-05 ▲
[8800/10001]	 3.241it/s	 time: 0:45:15~0:06:10	 loss: 0.386>0.175	 lr: 5.906e-05 ▲
[8900/10001]	 3.23it/s	 time: 0:45:55~0:05:40	 loss: 0.322>0.175	 lr: 6.519e-05 ▲
[9000/10001]	 3.232it/s	 time: 0:46:25~0:05:09	 loss: 0.392>0.175	 lr: 7.131e-05 ▲
[9100/10001]	 3.233it/s	 time: 0:46:55~0:04:38	 loss: 0.336>0.175	 lr: 7.744e-05 ▲
[9200/10001]	 3.234it/s	 time: 0:47:25~0:04:07	 loss: 0.368>0.175	 lr: 8.356e-05 ▲
[9300/10001]	 3.234it/s	 time: 0:47:56~0:03:36	 loss: 0.337>0.175	 lr: 8.969e-05 ▲
[9400/10001]	 3.23it/s	 time: 0:48:30~0:03:05	 loss: 0.369>0.175	 lr: 9.581e-05 ▲
[9500/10001]	 3.228it/s	 time: 0:49:03~0:02:34	 loss: 0.387>0.175	 lr: 0.00010194 ▲
[9600/10001]	 3.225it/s	 time: 0:49:37~0:02:04	 loss: 0.374>0.175	 lr: 0.00010806 ▲
[9700/10001]	 3.226it/s	 time: 0:50:07~0:01:33	 loss: 0.355>0.175	 lr: 0.00011419 ▲
[9800/10001]	 3.226it/s	 time: 0:50:38~0:01:02	 loss: 0.361>0.175	 lr: 0.00012031 ▲
[9900/10001]	 3.226it/s	 time: 0:51:09~0:00:31	 loss: 0.401>0.175	 lr: 0.00012644 ▲
[10000/10001]	 3.227it/s	 time: 0:51:39~0:00:00	 loss: 0.42>0.175	 lr: 0.00013244 ▲
model [rubiks_aniso_v1_cp10000] saved to _checkpoints...
train time: 0:51:39
model [rubiks_aniso_v1] saved to _models...
elapsed time: 0:51:45
****************
