****************
timestamp: 2024-03-04 12:01:48.366761
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 143
nca parameter count: 20480
nca isotropic type: 3
training new model from scratch...
model: rubiks_black_cube_full-iso-v0_v1
type: FULL_ISO_V0
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 20001 epochs...
[100/20001]	 1.695it/s	 time: 0:00:59~3:15:41	 loss: 701.924>12.672	 lr: 3.474e-05 ▲
[200/20001]	 1.695it/s	 time: 0:01:58~3:14:42	 loss: 72.939>12.451	 lr: 5.924e-05 ▲
[300/20001]	 1.695it/s	 time: 0:02:57~3:13:43	 loss: 21.865>12.451	 lr: 8.375e-05 ▲
[400/20001]	 1.688it/s	 time: 0:03:57~3:13:33	 loss: 13.703>10.982	 lr: 0.00010824 ▲
[500/20001]	 1.672it/s	 time: 0:04:59~3:14:21	 loss: 11.352>10.014	 lr: 0.00013275 ▲
[600/20001]	 1.681it/s	 time: 0:05:57~3:12:23	 loss: 10.779>9.56	 lr: 0.00015724 ▲
[700/20001]	 1.679it/s	 time: 0:06:57~3:11:37	 loss: 10.266>8.544	 lr: 0.00018174 ▲
[800/20001]	 1.681it/s	 time: 0:07:56~3:10:24	 loss: 9.653>8.544	 lr: 0.00020625 ▲
[900/20001]	 1.679it/s	 time: 0:08:56~3:09:35	 loss: 8.946>8.104	 lr: 0.00023074 ▲
[1000/20001]	 1.678it/s	 time: 0:09:56~3:08:44	 loss: 8.983>7.299	 lr: 0.00025524 ▲
[1100/20001]	 1.679it/s	 time: 0:10:55~3:07:34	 loss: 8.215>7.064	 lr: 0.00027975 ▲
[1200/20001]	 1.681it/s	 time: 0:11:54~3:06:26	 loss: 7.724>6.673	 lr: 0.00030425 ▲
[1300/20001]	 1.686it/s	 time: 0:12:51~3:04:50	 loss: 7.326>6.115	 lr: 0.00032875 ▲
[1400/20001]	 1.687it/s	 time: 0:13:50~3:03:47	 loss: 6.721>5.887	 lr: 0.00035324 ▲
[1500/20001]	 1.687it/s	 time: 0:14:49~3:02:44	 loss: 6.381>5.16	 lr: 0.00037774 ▲
[1600/20001]	 1.688it/s	 time: 0:15:48~3:01:42	 loss: 6.094>4.968	 lr: 0.00040224 ▲
[1700/20001]	 1.688it/s	 time: 0:16:47~3:00:40	 loss: 6.202>4.816	 lr: 0.00042675 ▲
[1800/20001]	 1.685it/s	 time: 0:17:48~2:59:58	 loss: 5.249>4.414	 lr: 0.00045125 ▲
[1900/20001]	 1.684it/s	 time: 0:18:48~2:59:05	 loss: 5.457>4.297	 lr: 0.00047574 ▲
[2000/20001]	 1.684it/s	 time: 0:19:48~2:58:12	 loss: 4.896>4.067	 lr: 0.00049976 ▲
[2100/20001]	 1.684it/s	 time: 0:20:47~2:57:09	 loss: 4.654>3.907	 lr: 0.00047526 ▼
[2200/20001]	 1.685it/s	 time: 0:21:46~2:56:06	 loss: 4.4>3.726	 lr: 0.00045075 ▼
[2300/20001]	 1.684it/s	 time: 0:22:46~2:55:12	 loss: 4.022>3.023	 lr: 0.00042625 ▼
[2400/20001]	 1.685it/s	 time: 0:23:44~2:54:02	 loss: 3.61>2.821	 lr: 0.00040176 ▼
[2500/20001]	 1.685it/s	 time: 0:24:44~2:53:08	 loss: 3.133>2.498	 lr: 0.00037726 ▼
[2600/20001]	 1.685it/s	 time: 0:25:43~2:52:06	 loss: 3.082>2.332	 lr: 0.00035276 ▼
[2700/20001]	 1.684it/s	 time: 0:26:43~2:51:11	 loss: 2.842>2.123	 lr: 0.00032825 ▼
[2800/20001]	 1.684it/s	 time: 0:27:43~2:50:15	 loss: 2.454>1.822	 lr: 0.00030375 ▼
[2900/20001]	 1.683it/s	 time: 0:28:43~2:49:19	 loss: 2.35>1.69	 lr: 0.00027926 ▼
[3000/20001]	 1.684it/s	 time: 0:29:42~2:48:18	 loss: 2.176>1.517	 lr: 0.00025476 ▼
[3100/20001]	 1.683it/s	 time: 0:30:42~2:47:21	 loss: 2.102>1.45	 lr: 0.00023026 ▼
[3200/20001]	 1.684it/s	 time: 0:31:40~2:46:15	 loss: 1.905>1.39	 lr: 0.00020575 ▼
[3300/20001]	 1.684it/s	 time: 0:32:40~2:45:18	 loss: 1.891>1.39	 lr: 0.00018125 ▼
[3400/20001]	 1.681it/s	 time: 0:33:43~2:44:37	 loss: 1.774>1.358	 lr: 0.00015676 ▼
[3500/20001]	 1.679it/s	 time: 0:34:44~2:43:44	 loss: 1.652>1.294	 lr: 0.00013226 ▼
[3600/20001]	 1.678it/s	 time: 0:35:45~2:42:51	 loss: 1.623>1.262	 lr: 0.00010776 ▼
[3700/20001]	 1.679it/s	 time: 0:36:44~2:41:49	 loss: 1.558>1.201	 lr: 8.325e-05 ▼
[3800/20001]	 1.678it/s	 time: 0:37:44~2:40:51	 loss: 1.523>1.171	 lr: 5.875e-05 ▼
[3900/20001]	 1.68it/s	 time: 0:38:42~2:39:45	 loss: 1.492>1.147	 lr: 3.426e-05 ▼
[4000/20001]	 1.68it/s	 time: 0:39:41~2:38:44	 loss: 1.482>1.147	 lr: 1.012e-05 ▼
[4100/20001]	 1.68it/s	 time: 0:40:40~2:37:42	 loss: 1.46>1.126	 lr: 2.237e-05 ▲
[4200/20001]	 1.681it/s	 time: 0:41:39~2:36:41	 loss: 1.477>1.126	 lr: 3.462e-05 ▲
[4300/20001]	 1.68it/s	 time: 0:42:39~2:35:43	 loss: 1.429>1.108	 lr: 4.687e-05 ▲
[4400/20001]	 1.68it/s	 time: 0:43:39~2:34:45	 loss: 1.439>1.108	 lr: 5.912e-05 ▲
[4500/20001]	 1.68it/s	 time: 0:44:38~2:33:44	 loss: 1.43>1.108	 lr: 7.137e-05 ▲
[4600/20001]	 1.681it/s	 time: 0:45:36~2:32:39	 loss: 1.431>1.108	 lr: 8.362e-05 ▲
[4700/20001]	 1.681it/s	 time: 0:46:36~2:31:41	 loss: 1.411>1.104	 lr: 9.587e-05 ▲
[4800/20001]	 1.682it/s	 time: 0:47:34~2:30:37	 loss: 1.445>1.104	 lr: 0.00010812 ▲
[4900/20001]	 1.683it/s	 time: 0:48:32~2:29:33	 loss: 1.458>1.104	 lr: 0.00012037 ▲
[5000/20001]	 1.683it/s	 time: 0:49:31~2:28:33	 loss: 1.429>1.099	 lr: 0.00013262 ▲
model [rubiks_black_cube_full-iso-v0_v1_cp5000] saved to _checkpoints...
[5100/20001]	 1.683it/s	 time: 0:50:30~2:27:32	 loss: 1.383>1.099	 lr: 0.00014487 ▲
[5200/20001]	 1.683it/s	 time: 0:51:29~2:26:31	 loss: 1.389>1.099	 lr: 0.00015712 ▲
[5300/20001]	 1.684it/s	 time: 0:52:28~2:25:31	 loss: 1.361>1.094	 lr: 0.00016937 ▲
[5400/20001]	 1.684it/s	 time: 0:53:27~2:24:30	 loss: 1.357>1.094	 lr: 0.00018162 ▲
[5500/20001]	 1.684it/s	 time: 0:54:27~2:23:33	 loss: 1.344>1.077	 lr: 0.00019387 ▲
[5600/20001]	 1.684it/s	 time: 0:55:26~2:22:32	 loss: 1.377>1.069	 lr: 0.00020612 ▲
[5700/20001]	 1.684it/s	 time: 0:56:25~2:21:32	 loss: 1.315>1.066	 lr: 0.00021837 ▲
[5800/20001]	 1.684it/s	 time: 0:57:25~2:20:34	 loss: 1.329>1.052	 lr: 0.00023062 ▲
[5900/20001]	 1.683it/s	 time: 0:58:25~2:19:36	 loss: 1.376>1.052	 lr: 0.00024287 ▲
[6000/20001]	 1.683it/s	 time: 0:59:25~2:18:38	 loss: 1.358>1.052	 lr: 0.00025488 ▲
[6100/20001]	 1.683it/s	 time: 1:00:24~2:17:37	 loss: 1.291>1.033	 lr: 0.00024263 ▼
[6200/20001]	 1.684it/s	 time: 1:01:22~2:16:35	 loss: 1.308>1.022	 lr: 0.00023038 ▼
[6300/20001]	 1.684it/s	 time: 1:02:20~2:15:33	 loss: 1.315>1.022	 lr: 0.00021813 ▼
[6400/20001]	 1.684it/s	 time: 1:03:20~2:14:35	 loss: 1.274>1.009	 lr: 0.00020588 ▼
[6500/20001]	 1.682it/s	 time: 1:04:24~2:13:45	 loss: 1.198>0.991	 lr: 0.00019363 ▼
[6600/20001]	 1.682it/s	 time: 1:05:25~2:12:48	 loss: 1.202>0.99	 lr: 0.00018138 ▼
[6700/20001]	 1.68it/s	 time: 1:06:27~2:11:54	 loss: 1.182>0.975	 lr: 0.00016913 ▼
[6800/20001]	 1.68it/s	 time: 1:07:27~2:10:55	 loss: 1.167>0.972	 lr: 0.00015688 ▼
[6900/20001]	 1.68it/s	 time: 1:08:26~2:09:55	 loss: 1.147>0.962	 lr: 0.00014463 ▼
[7000/20001]	 1.681it/s	 time: 1:09:25~2:08:55	 loss: 1.132>0.962	 lr: 0.00013238 ▼
[7100/20001]	 1.68it/s	 time: 1:10:25~2:07:56	 loss: 1.124>0.951	 lr: 0.00012013 ▼
[7200/20001]	 1.68it/s	 time: 1:11:26~2:06:59	 loss: 1.096>0.943	 lr: 0.00010788 ▼
[7300/20001]	 1.68it/s	 time: 1:12:25~2:05:59	 loss: 1.113>0.943	 lr: 9.563e-05 ▼
[7400/20001]	 1.68it/s	 time: 1:13:25~2:05:00	 loss: 1.084>0.926	 lr: 8.338e-05 ▼
[7500/20001]	 1.68it/s	 time: 1:14:24~2:03:59	 loss: 1.065>0.926	 lr: 7.113e-05 ▼
[7600/20001]	 1.68it/s	 time: 1:15:24~2:03:01	 loss: 1.068>0.922	 lr: 5.888e-05 ▼
[7700/20001]	 1.68it/s	 time: 1:16:24~2:02:02	 loss: 1.057>0.912	 lr: 4.663e-05 ▼
[7800/20001]	 1.68it/s	 time: 1:17:22~2:01:00	 loss: 1.067>0.912	 lr: 3.438e-05 ▼
[7900/20001]	 1.68it/s	 time: 1:18:22~2:00:01	 loss: 1.049>0.902	 lr: 2.213e-05 ▼
[8000/20001]	 1.68it/s	 time: 1:19:21~1:59:01	 loss: 1.037>0.902	 lr: 1.006e-05 ▼
[8100/20001]	 1.68it/s	 time: 1:20:20~1:58:01	 loss: 1.036>0.902	 lr: 1.619e-05 ▲
[8200/20001]	 1.681it/s	 time: 1:21:18~1:56:59	 loss: 1.05>0.902	 lr: 2.231e-05 ▲
[8300/20001]	 1.681it/s	 time: 1:22:18~1:56:00	 loss: 1.025>0.901	 lr: 2.844e-05 ▲
[8400/20001]	 1.68it/s	 time: 1:23:21~1:55:06	 loss: 1.054>0.901	 lr: 3.456e-05 ▲
[8500/20001]	 1.679it/s	 time: 1:24:24~1:54:11	 loss: 1.027>0.901	 lr: 4.069e-05 ▲
[8600/20001]	 1.678it/s	 time: 1:25:25~1:53:13	 loss: 1.035>0.901	 lr: 4.681e-05 ▲
[8700/20001]	 1.677it/s	 time: 1:26:28~1:52:18	 loss: 1.031>0.901	 lr: 5.294e-05 ▲
[8800/20001]	 1.677it/s	 time: 1:27:27~1:51:18	 loss: 1.032>0.901	 lr: 5.906e-05 ▲
[8900/20001]	 1.677it/s	 time: 1:28:27~1:50:18	 loss: 1.023>0.901	 lr: 6.519e-05 ▲
[9000/20001]	 1.677it/s	 time: 1:29:26~1:49:18	 loss: 1.042>0.901	 lr: 7.131e-05 ▲
[9100/20001]	 1.678it/s	 time: 1:30:24~1:48:16	 loss: 1.044>0.901	 lr: 7.744e-05 ▲
[9200/20001]	 1.678it/s	 time: 1:31:24~1:47:17	 loss: 1.031>0.901	 lr: 8.356e-05 ▲
[9300/20001]	 1.678it/s	 time: 1:32:23~1:46:17	 loss: 1.066>0.901	 lr: 8.969e-05 ▲
[9400/20001]	 1.678it/s	 time: 1:33:22~1:45:17	 loss: 1.048>0.901	 lr: 9.581e-05 ▲
[9500/20001]	 1.678it/s	 time: 1:34:22~1:44:18	 loss: 1.026>0.901	 lr: 0.00010194 ▲
[9600/20001]	 1.678it/s	 time: 1:35:22~1:43:18	 loss: 1.041>0.901	 lr: 0.00010806 ▲
[9700/20001]	 1.678it/s	 time: 1:36:22~1:42:19	 loss: 1.056>0.901	 lr: 0.00011419 ▲
[9800/20001]	 1.678it/s	 time: 1:37:21~1:41:19	 loss: 1.048>0.901	 lr: 0.00012031 ▲
[9900/20001]	 1.678it/s	 time: 1:38:20~1:40:19	 loss: 1.052>0.901	 lr: 0.00012644 ▲
[10000/20001]	 1.677it/s	 time: 1:39:22~1:39:21	 loss: 1.076>0.896	 lr: 0.00013244 ▲
model [rubiks_black_cube_full-iso-v0_v1_cp10000] saved to _checkpoints...
[10100/20001]	 1.677it/s	 time: 1:40:21~1:38:21	 loss: 1.055>0.896	 lr: 0.00012631 ▼
[10200/20001]	 1.677it/s	 time: 1:41:22~1:37:23	 loss: 1.039>0.896	 lr: 0.00012019 ▼
[10300/20001]	 1.677it/s	 time: 1:42:22~1:36:24	 loss: 1.044>0.896	 lr: 0.00011406 ▼
[10400/20001]	 1.677it/s	 time: 1:43:21~1:35:24	 loss: 1.013>0.892	 lr: 0.00010794 ▼
[10500/20001]	 1.677it/s	 time: 1:44:20~1:34:23	 loss: 1.007>0.892	 lr: 0.00010181 ▼
[10600/20001]	 1.677it/s	 time: 1:45:19~1:33:23	 loss: 1.007>0.887	 lr: 9.569e-05 ▼
