****************
timestamp: 2024-02-29 11:37:06.740557
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_cube_iso3_v0
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 15001 epochs...
[100/15001]	 2.703it/s	 time: 0:00:37~1:31:53	 loss: 241.517>12.743	 lr: 3.474e-05 ▲
[200/15001]	 2.74it/s	 time: 0:01:13~1:30:02	 loss: 24.194>12.743	 lr: 5.924e-05 ▲
[300/15001]	 2.703it/s	 time: 0:01:51~1:30:39	 loss: 23.236>12.277	 lr: 8.375e-05 ▲
[400/15001]	 2.721it/s	 time: 0:02:27~1:29:25	 loss: 13.147>11.123	 lr: 0.00010824 ▲
[500/15001]	 2.732it/s	 time: 0:03:03~1:28:27	 loss: 13.036>10.516	 lr: 0.00013275 ▲
[600/15001]	 2.727it/s	 time: 0:03:40~1:28:00	 loss: 13.147>9.725	 lr: 0.00015724 ▲
[700/15001]	 2.724it/s	 time: 0:04:17~1:27:30	 loss: 10.607>9.228	 lr: 0.00018174 ▲
[800/15001]	 2.721it/s	 time: 0:04:54~1:26:58	 loss: 9.733>8.894	 lr: 0.00020625 ▲
[900/15001]	 2.719it/s	 time: 0:05:31~1:26:25	 loss: 10.976>8.785	 lr: 0.00023074 ▲
[1000/15001]	 2.717it/s	 time: 0:06:08~1:25:52	 loss: 9.291>8.632	 lr: 0.00025524 ▲
[1100/15001]	 2.716it/s	 time: 0:06:45~1:25:17	 loss: 9.088>8.409	 lr: 0.00027975 ▲
[1200/15001]	 2.721it/s	 time: 0:07:21~1:24:31	 loss: 8.756>8.201	 lr: 0.00030425 ▲
[1300/15001]	 2.72it/s	 time: 0:07:58~1:23:57	 loss: 8.435>7.767	 lr: 0.00032875 ▲
[1400/15001]	 2.718it/s	 time: 0:08:35~1:23:22	 loss: 8.053>7.353	 lr: 0.00035324 ▲
[1500/15001]	 2.717it/s	 time: 0:09:12~1:22:48	 loss: 8.041>7.273	 lr: 0.00037774 ▲
[1600/15001]	 2.716it/s	 time: 0:09:49~1:22:12	 loss: 7.785>7.014	 lr: 0.00040224 ▲
[1700/15001]	 2.72it/s	 time: 0:10:25~1:21:29	 loss: 8.041>6.989	 lr: 0.00042675 ▲
[1800/15001]	 2.719it/s	 time: 0:11:02~1:20:54	 loss: 7.168>6.459	 lr: 0.00045125 ▲
[1900/15001]	 2.718it/s	 time: 0:11:39~1:20:19	 loss: 7.329>6.459	 lr: 0.00047574 ▲
[2000/15001]	 2.717it/s	 time: 0:12:16~1:19:44	 loss: 7.032>5.962	 lr: 0.00049976 ▲
[2100/15001]	 2.72it/s	 time: 0:12:52~1:19:02	 loss: 6.353>5.481	 lr: 0.00047526 ▼
[2200/15001]	 2.719it/s	 time: 0:13:29~1:18:26	 loss: 6.228>5.402	 lr: 0.00045075 ▼
[2300/15001]	 2.719it/s	 time: 0:14:06~1:17:51	 loss: 6.107>5.136	 lr: 0.00042625 ▼
[2400/15001]	 2.715it/s	 time: 0:14:44~1:17:20	 loss: 5.729>4.635	 lr: 0.00040176 ▼
