****************
timestamp: 2024-02-29 08:25:22.470988
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_slab_iso3_v1
type: YAW_ISO_V3
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 15001 epochs...
[100/15001]	 2.703it/s	 time: 0:00:37~1:31:53	 loss: 175.247>3.307	 lr: 3.474e-05 ▲
[200/15001]	 2.703it/s	 time: 0:01:14~1:31:16	 loss: 102.302>2.432	 lr: 5.924e-05 ▲
[300/15001]	 2.703it/s	 time: 0:01:51~1:30:39	 loss: 3.022>2.22	 lr: 8.375e-05 ▲
[400/15001]	 2.703it/s	 time: 0:02:28~1:30:02	 loss: 4.715>1.884	 lr: 0.00010824 ▲
[500/15001]	 2.703it/s	 time: 0:03:05~1:29:25	 loss: 2.267>1.726	 lr: 0.00013275 ▲
[600/15001]	 2.691it/s	 time: 0:03:43~1:29:12	 loss: 1.926>1.58	 lr: 0.00015724 ▲
[700/15001]	 2.703it/s	 time: 0:04:19~1:28:11	 loss: 1.765>1.51	 lr: 0.00018174 ▲
[800/15001]	 2.703it/s	 time: 0:04:56~1:27:34	 loss: 1.68>1.405	 lr: 0.00020625 ▲
[900/15001]	 2.703it/s	 time: 0:05:33~1:26:57	 loss: 1.64>1.381	 lr: 0.00023074 ▲
[1000/15001]	 2.703it/s	 time: 0:06:10~1:26:20	 loss: 1.582>1.326	 lr: 0.00025524 ▲
[1100/15001]	 2.703it/s	 time: 0:06:47~1:25:43	 loss: 1.477>1.319	 lr: 0.00027975 ▲
[1200/15001]	 2.703it/s	 time: 0:07:24~1:25:06	 loss: 1.458>1.289	 lr: 0.00030425 ▲
[1300/15001]	 2.703it/s	 time: 0:08:01~1:24:29	 loss: 1.38>1.246	 lr: 0.00032875 ▲
[1400/15001]	 2.703it/s	 time: 0:08:38~1:23:52	 loss: 1.421>1.245	 lr: 0.00035324 ▲
[1500/15001]	 2.708it/s	 time: 0:09:14~1:23:06	 loss: 1.321>1.167	 lr: 0.00037774 ▲
[1600/15001]	 2.707it/s	 time: 0:09:51~1:22:29	 loss: 1.259>1.099	 lr: 0.00040224 ▲
[1700/15001]	 2.707it/s	 time: 0:10:28~1:21:53	 loss: 1.246>1.068	 lr: 0.00042675 ▲
[1800/15001]	 2.711it/s	 time: 0:11:04~1:21:09	 loss: 1.196>0.947	 lr: 0.00045125 ▲
[1900/15001]	 2.707it/s	 time: 0:11:42~1:20:40	 loss: 1.157>0.945	 lr: 0.00047574 ▲
[2000/15001]	 2.703it/s	 time: 0:12:20~1:20:10	 loss: 1.098>0.868	 lr: 0.00049976 ▲
[2100/15001]	 2.699it/s	 time: 0:12:58~1:19:39	 loss: 1.063>0.791	 lr: 0.00047526 ▼
[2200/15001]	 2.703it/s	 time: 0:13:34~1:18:56	 loss: 1.007>0.791	 lr: 0.00045075 ▼
[2300/15001]	 2.703it/s	 time: 0:14:11~1:18:19	 loss: 0.975>0.791	 lr: 0.00042625 ▼
[2400/15001]	 2.706it/s	 time: 0:14:47~1:17:36	 loss: 0.893>0.737	 lr: 0.00040176 ▼
[2500/15001]	 2.706it/s	 time: 0:15:24~1:17:00	 loss: 0.872>0.706	 lr: 0.00037726 ▼
[2600/15001]	 2.703it/s	 time: 0:16:02~1:16:28	 loss: 0.844>0.674	 lr: 0.00035276 ▼
[2700/15001]	 2.7it/s	 time: 0:16:40~1:15:55	 loss: 0.782>0.661	 lr: 0.00032825 ▼
[2800/15001]	 2.7it/s	 time: 0:17:17~1:15:18	 loss: 0.737>0.643	 lr: 0.00030375 ▼
[2900/15001]	 2.7it/s	 time: 0:17:54~1:14:41	 loss: 0.727>0.611	 lr: 0.00027926 ▼
[3000/15001]	 2.7it/s	 time: 0:18:31~1:14:04	 loss: 0.717>0.575	 lr: 0.00025476 ▼
[3100/15001]	 2.7it/s	 time: 0:19:08~1:13:26	 loss: 0.659>0.527	 lr: 0.00023026 ▼
[3200/15001]	 2.7it/s	 time: 0:19:45~1:12:49	 loss: 0.607>0.489	 lr: 0.00020575 ▼
[3300/15001]	 2.7it/s	 time: 0:20:22~1:12:12	 loss: 0.597>0.489	 lr: 0.00018125 ▼
[3400/15001]	 2.701it/s	 time: 0:20:59~1:11:35	 loss: 0.581>0.473	 lr: 0.00015676 ▼
[3500/15001]	 2.703it/s	 time: 0:21:35~1:10:55	 loss: 0.581>0.424	 lr: 0.00013226 ▼
[3600/15001]	 2.701it/s	 time: 0:22:13~1:10:21	 loss: 0.538>0.39	 lr: 0.00010776 ▼
[3700/15001]	 2.701it/s	 time: 0:22:50~1:09:44	 loss: 0.502>0.349	 lr: 8.325e-05 ▼
[3800/15001]	 2.701it/s	 time: 0:23:27~1:09:06	 loss: 0.475>0.321	 lr: 5.875e-05 ▼
[3900/15001]	 2.701it/s	 time: 0:24:04~1:08:29	 loss: 0.435>0.311	 lr: 3.426e-05 ▼
[4000/15001]	 2.701it/s	 time: 0:24:41~1:07:52	 loss: 0.43>0.31	 lr: 1.012e-05 ▼
[4100/15001]	 2.701it/s	 time: 0:25:18~1:07:15	 loss: 0.425>0.3	 lr: 2.237e-05 ▲
[4200/15001]	 2.701it/s	 time: 0:25:55~1:06:38	 loss: 0.425>0.3	 lr: 3.462e-05 ▲
[4300/15001]	 2.699it/s	 time: 0:26:33~1:06:03	 loss: 0.436>0.291	 lr: 4.687e-05 ▲
[4400/15001]	 2.698it/s	 time: 0:27:11~1:05:29	 loss: 0.418>0.291	 lr: 5.912e-05 ▲
[4500/15001]	 2.695it/s	 time: 0:27:50~1:04:56	 loss: 0.408>0.291	 lr: 7.137e-05 ▲
[4600/15001]	 2.695it/s	 time: 0:28:27~1:04:19	 loss: 0.427>0.286	 lr: 8.362e-05 ▲
[4700/15001]	 2.697it/s	 time: 0:29:03~1:03:39	 loss: 0.407>0.286	 lr: 9.587e-05 ▲
[4800/15001]	 2.697it/s	 time: 0:29:40~1:03:02	 loss: 0.4>0.276	 lr: 0.00010812 ▲
[4900/15001]	 2.695it/s	 time: 0:30:18~1:02:27	 loss: 0.392>0.276	 lr: 0.00012037 ▲
[5000/15001]	 2.695it/s	 time: 0:30:55~1:01:50	 loss: 0.376>0.267	 lr: 0.00013262 ▲
model [rubiks_black_slab_iso3_v1_cp5000] saved to _checkpoints...
[5100/15001]	 2.694it/s	 time: 0:31:33~1:01:14	 loss: 0.399>0.267	 lr: 0.00014487 ▲
[5200/15001]	 2.696it/s	 time: 0:32:09~1:00:35	 loss: 0.388>0.26	 lr: 0.00015712 ▲
[5300/15001]	 2.696it/s	 time: 0:32:46~0:59:58	 loss: 0.414>0.26	 lr: 0.00016937 ▲
[5400/15001]	 2.696it/s	 time: 0:33:23~0:59:20	 loss: 0.39>0.257	 lr: 0.00018162 ▲
[5500/15001]	 2.696it/s	 time: 0:34:00~0:58:43	 loss: 0.376>0.249	 lr: 0.00019387 ▲
[5600/15001]	 2.695it/s	 time: 0:34:38~0:58:08	 loss: 0.382>0.249	 lr: 0.00020612 ▲
[5700/15001]	 2.696it/s	 time: 0:35:14~0:57:29	 loss: 0.368>0.249	 lr: 0.00021837 ▲
[5800/15001]	 2.696it/s	 time: 0:35:51~0:56:51	 loss: 0.369>0.243	 lr: 0.00023062 ▲
[5900/15001]	 2.697it/s	 time: 0:36:28~0:56:14	 loss: 0.339>0.238	 lr: 0.00024287 ▲
[6000/15001]	 2.697it/s	 time: 0:37:05~0:55:37	 loss: 0.335>0.226	 lr: 0.00025488 ▲
[6100/15001]	 2.697it/s	 time: 0:37:42~0:55:00	 loss: 0.349>0.219	 lr: 0.00024263 ▼
[6200/15001]	 2.697it/s	 time: 0:38:19~0:54:23	 loss: 0.329>0.215	 lr: 0.00023038 ▼
[6300/15001]	 2.697it/s	 time: 0:38:56~0:53:45	 loss: 0.332>0.204	 lr: 0.00021813 ▼
[6400/15001]	 2.697it/s	 time: 0:39:33~0:53:08	 loss: 0.324>0.192	 lr: 0.00020588 ▼
[6500/15001]	 2.698it/s	 time: 0:40:09~0:52:30	 loss: 0.297>0.189	 lr: 0.00019363 ▼
[6600/15001]	 2.698it/s	 time: 0:40:46~0:51:53	 loss: 0.274>0.184	 lr: 0.00018138 ▼
[6700/15001]	 2.699it/s	 time: 0:41:22~0:51:14	 loss: 0.273>0.173	 lr: 0.00016913 ▼
[6800/15001]	 2.699it/s	 time: 0:41:59~0:50:37	 loss: 0.236>0.156	 lr: 0.00015688 ▼
[6900/15001]	 2.701it/s	 time: 0:42:35~0:49:59	 loss: 0.259>0.144	 lr: 0.00014463 ▼
[7000/15001]	 2.7it/s	 time: 0:43:13~0:49:23	 loss: 0.23>0.131	 lr: 0.00013238 ▼
[7100/15001]	 2.699it/s	 time: 0:43:51~0:48:47	 loss: 0.22>0.13	 lr: 0.00012013 ▼
[7200/15001]	 2.698it/s	 time: 0:44:29~0:48:11	 loss: 0.204>0.123	 lr: 0.00010788 ▼
