****************
timestamp: 2024-02-28 08:53:23.582349
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 90
nca parameter count: 27392
nca isotropic type: 1
training new model from scratch...
model: rubiks_black_slice_iso3_v3
type: YAW_ISO_V3
channels: 16
hidden: 256
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 1.923it/s	 time: 0:00:52~1:25:48	 loss: 471.243>1.133	 lr: 3.474e-05 ▲
[200/10001]	 1.961it/s	 time: 0:01:42~1:23:18	 loss: 130.167>1.064	 lr: 5.924e-05 ▲
[300/10001]	 1.961it/s	 time: 0:02:33~1:22:27	 loss: 52.559>0.956	 lr: 8.375e-05 ▲
[400/10001]	 1.961it/s	 time: 0:03:24~1:21:36	 loss: 2.425>0.875	 lr: 0.00010824 ▲
[500/10001]	 1.961it/s	 time: 0:04:15~1:20:45	 loss: 1.207>0.765	 lr: 0.00013275 ▲
[600/10001]	 1.961it/s	 time: 0:05:06~1:19:54	 loss: 194.019>0.765	 lr: 0.00015724 ▲
[700/10001]	 1.961it/s	 time: 0:05:57~1:19:03	 loss: 1.028>0.68	 lr: 0.00018174 ▲
[800/10001]	 1.961it/s	 time: 0:06:48~1:18:12	 loss: 1.517>0.637	 lr: 0.00020625 ▲
[900/10001]	 1.961it/s	 time: 0:07:39~1:17:21	 loss: 0.803>0.637	 lr: 0.00023074 ▲
[1000/10001]	 1.961it/s	 time: 0:08:30~1:16:30	 loss: 0.732>0.584	 lr: 0.00025524 ▲
[1100/10001]	 1.961it/s	 time: 0:09:21~1:15:39	 loss: 0.64>0.524	 lr: 0.00027975 ▲
[1200/10001]	 1.961it/s	 time: 0:10:12~1:14:48	 loss: 0.641>0.511	 lr: 0.00030425 ▲
[1300/10001]	 1.958it/s	 time: 0:11:04~1:14:03	 loss: 0.858>0.497	 lr: 0.00032875 ▲
[1400/10001]	 1.955it/s	 time: 0:11:56~1:13:18	 loss: 0.66>0.497	 lr: 0.00035324 ▲
[1500/10001]	 1.956it/s	 time: 0:12:47~1:12:26	 loss: 0.599>0.47	 lr: 0.00037774 ▲
