****************
timestamp: 2024-02-26 16:01:07.883723
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 60
nca parameter count: 9856
nca isotropic type: 1
training new model from scratch...
model: rubiks_flatiso_v1
type: FLAT_ISO
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.857it/s	 time: 0:00:35~0:57:45	 loss: 242.034>15.846	 lr: 3.474e-05 ▲
[200/10001]	 2.941it/s	 time: 0:01:08~0:55:31	 loss: 21.272>15.386	 lr: 5.924e-05 ▲
[300/10001]	 3.0it/s	 time: 0:01:40~0:53:53	 loss: 22.545>15.297	 lr: 8.375e-05 ▲
[400/10001]	 3.008it/s	 time: 0:02:13~0:53:12	 loss: 17.837>15.297	 lr: 0.00010824 ▲
[500/10001]	 3.012it/s	 time: 0:02:46~0:52:33	 loss: 17.173>15.297	 lr: 0.00013275 ▲
[600/10001]	 3.03it/s	 time: 0:03:18~0:51:42	 loss: 16.678>14.634	 lr: 0.00015724 ▲
[700/10001]	 3.03it/s	 time: 0:03:51~0:51:09	 loss: 16.041>14.493	 lr: 0.00018174 ▲
[800/10001]	 3.042it/s	 time: 0:04:23~0:50:24	 loss: 15.389>14.201	 lr: 0.00020625 ▲
[900/10001]	 3.051it/s	 time: 0:04:55~0:49:42	 loss: 14.974>13.856	 lr: 0.00023074 ▲
[1000/10001]	 3.058it/s	 time: 0:05:27~0:49:03	 loss: 14.224>12.559	 lr: 0.00025524 ▲
[1100/10001]	 3.056it/s	 time: 0:06:00~0:48:32	 loss: 14.71>12.559	 lr: 0.00027975 ▲
[1200/10001]	 3.061it/s	 time: 0:06:32~0:47:54	 loss: 14.372>12.559	 lr: 0.00030425 ▲
[1300/10001]	 3.066it/s	 time: 0:07:04~0:47:17	 loss: 13.734>12.015	 lr: 0.00032875 ▲
[1400/10001]	 3.07it/s	 time: 0:07:36~0:46:41	 loss: 13.342>11.237	 lr: 0.00035324 ▲
[1500/10001]	 3.074it/s	 time: 0:08:08~0:46:05	 loss: 14.023>11.237	 lr: 0.00037774 ▲
[1600/10001]	 3.065it/s	 time: 0:08:42~0:45:40	 loss: 13.392>11.237	 lr: 0.00040224 ▲
[1700/10001]	 3.069it/s	 time: 0:09:14~0:45:04	 loss: 12.566>10.618	 lr: 0.00042675 ▲
[1800/10001]	 3.066it/s	 time: 0:09:47~0:44:34	 loss: 13.009>9.897	 lr: 0.00045125 ▲
[1900/10001]	 3.069it/s	 time: 0:10:19~0:43:58	 loss: 12.971>9.818	 lr: 0.00047574 ▲
[2000/10001]	 3.067it/s	 time: 0:10:52~0:43:28	 loss: 12.11>9.818	 lr: 0.00049976 ▲
[2100/10001]	 3.066it/s	 time: 0:11:25~0:42:56	 loss: 11.995>9.779	 lr: 0.00047526 ▼
[2200/10001]	 3.064it/s	 time: 0:11:58~0:42:25	 loss: 11.789>9.408	 lr: 0.00045075 ▼
[2300/10001]	 3.067it/s	 time: 0:12:30~0:41:50	 loss: 11.355>8.935	 lr: 0.00042625 ▼
[2400/10001]	 3.065it/s	 time: 0:13:03~0:41:19	 loss: 10.608>8.7	 lr: 0.00040176 ▼
[2500/10001]	 3.067it/s	 time: 0:13:35~0:40:45	 loss: 10.311>8.523	 lr: 0.00037726 ▼
[2600/10001]	 3.07it/s	 time: 0:14:07~0:40:10	 loss: 11.417>8.523	 lr: 0.00035276 ▼
[2700/10001]	 3.072it/s	 time: 0:14:39~0:39:36	 loss: 10.452>8.523	 lr: 0.00032825 ▼
[2800/10001]	 3.07it/s	 time: 0:15:12~0:39:05	 loss: 10.347>8.451	 lr: 0.00030375 ▼
[2900/10001]	 3.072it/s	 time: 0:15:44~0:38:31	 loss: 10.275>8.451	 lr: 0.00027926 ▼
[3000/10001]	 3.071it/s	 time: 0:16:17~0:37:59	 loss: 10.985>8.451	 lr: 0.00025476 ▼
