****************
timestamp: 2024-02-26 19:17:24.687021
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_iso3_v8
type: YAW_ISO_V3
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.564it/s	 time: 0:00:39~1:04:20	 loss: 2148.61>15.459	 lr: 3.474e-05 ▲
[200/10001]	 2.632it/s	 time: 0:01:16~1:02:03	 loss: 102.941>15.459	 lr: 5.924e-05 ▲
[300/10001]	 2.632it/s	 time: 0:01:54~1:01:25	 loss: 539.342>14.327	 lr: 8.375e-05 ▲
[400/10001]	 2.649it/s	 time: 0:02:31~1:00:23	 loss: 427.741>14.327	 lr: 0.00010824 ▲
[500/10001]	 2.674it/s	 time: 0:03:07~0:59:13	 loss: 2648.27>14.327	 lr: 0.00013275 ▲
[600/10001]	 2.691it/s	 time: 0:03:43~0:58:13	 loss: 976.958>12.875	 lr: 0.00015724 ▲
[700/10001]	 2.703it/s	 time: 0:04:19~0:57:21	 loss: 123.072>12.875	 lr: 0.00018174 ▲
[800/10001]	 2.721it/s	 time: 0:04:54~0:56:21	 loss: 43.899>12.875	 lr: 0.00020625 ▲
[900/10001]	 2.719it/s	 time: 0:05:31~0:55:46	 loss: 70.665>12.875	 lr: 0.00023074 ▲
[1000/10001]	 2.732it/s	 time: 0:06:06~0:54:54	 loss: 324.038>12.875	 lr: 0.00025524 ▲
[1100/10001]	 2.736it/s	 time: 0:06:42~0:54:12	 loss: 50.548>12.875	 lr: 0.00027975 ▲
[1200/10001]	 2.74it/s	 time: 0:07:18~0:53:32	 loss: 30.788>12.875	 lr: 0.00030425 ▲
[1300/10001]	 2.748it/s	 time: 0:07:53~0:52:45	 loss: 33.994>12.875	 lr: 0.00032875 ▲
[1400/10001]	 2.75it/s	 time: 0:08:29~0:52:06	 loss: 14.85>12.018	 lr: 0.00035324 ▲
[1500/10001]	 2.752it/s	 time: 0:09:05~0:51:28	 loss: 289.301>12.018	 lr: 0.00037774 ▲
[1600/10001]	 2.754it/s	 time: 0:09:41~0:50:50	 loss: 15.105>11.36	 lr: 0.00040224 ▲
[1700/10001]	 2.755it/s	 time: 0:10:17~0:50:12	 loss: 18.318>10.344	 lr: 0.00042675 ▲
[1800/10001]	 2.757it/s	 time: 0:10:53~0:49:34	 loss: 12.563>9.9	 lr: 0.00045125 ▲
[1900/10001]	 2.762it/s	 time: 0:11:28~0:48:53	 loss: 11.552>9.698	 lr: 0.00047574 ▲
[2000/10001]	 2.762it/s	 time: 0:12:04~0:48:16	 loss: 10.344>9.027	 lr: 0.00049976 ▲
[2100/10001]	 2.77it/s	 time: 0:12:38~0:47:31	 loss: 10.354>8.763	 lr: 0.00047526 ▼
[2200/10001]	 2.774it/s	 time: 0:13:13~0:46:51	 loss: 9.008>7.96	 lr: 0.00045075 ▼
[2300/10001]	 2.771it/s	 time: 0:13:50~0:46:18	 loss: 8.352>7.416	 lr: 0.00042625 ▼
[2400/10001]	 2.775it/s	 time: 0:14:25~0:45:39	 loss: 7.883>7.076	 lr: 0.00040176 ▼
[2500/10001]	 2.775it/s	 time: 0:15:01~0:45:03	 loss: 7.415>6.517	 lr: 0.00037726 ▼
[2600/10001]	 2.772it/s	 time: 0:15:38~0:44:29	 loss: 6.699>5.612	 lr: 0.00035276 ▼
[2700/10001]	 2.772it/s	 time: 0:16:14~0:43:53	 loss: 6.266>5.293	 lr: 0.00032825 ▼
[2800/10001]	 2.77it/s	 time: 0:16:51~0:43:19	 loss: 5.623>4.647	 lr: 0.00030375 ▼
[2900/10001]	 2.77it/s	 time: 0:17:27~0:42:43	 loss: 4.89>3.892	 lr: 0.00027926 ▼
[3000/10001]	 2.77it/s	 time: 0:18:03~0:42:07	 loss: 4.378>3.233	 lr: 0.00025476 ▼
[3100/10001]	 2.77it/s	 time: 0:18:39~0:41:30	 loss: 3.842>2.887	 lr: 0.00023026 ▼
[3200/10001]	 2.773it/s	 time: 0:19:14~0:40:52	 loss: 3.395>2.546	 lr: 0.00020575 ▼
[3300/10001]	 2.773it/s	 time: 0:19:50~0:40:16	 loss: 3.228>2.425	 lr: 0.00018125 ▼
[3400/10001]	 2.773it/s	 time: 0:20:26~0:39:39	 loss: 3.034>2.284	 lr: 0.00015676 ▼
[3500/10001]	 2.776it/s	 time: 0:21:01~0:39:01	 loss: 2.953>2.267	 lr: 0.00013226 ▼
[3600/10001]	 2.776it/s	 time: 0:21:37~0:38:25	 loss: 2.723>2.136	 lr: 0.00010776 ▼
[3700/10001]	 2.776it/s	 time: 0:22:13~0:37:49	 loss: 2.647>2.018	 lr: 8.325e-05 ▼
[3800/10001]	 2.778it/s	 time: 0:22:48~0:37:12	 loss: 2.584>1.949	 lr: 5.875e-05 ▼
[3900/10001]	 2.78it/s	 time: 0:23:23~0:36:34	 loss: 2.532>1.949	 lr: 3.426e-05 ▼
[4000/10001]	 2.78it/s	 time: 0:23:59~0:35:58	 loss: 2.469>1.872	 lr: 1.012e-05 ▼
[4100/10001]	 2.782it/s	 time: 0:24:34~0:35:21	 loss: 2.438>1.872	 lr: 2.237e-05 ▲
[4200/10001]	 2.781it/s	 time: 0:25:10~0:34:45	 loss: 2.426>1.87	 lr: 3.462e-05 ▲
[4300/10001]	 2.781it/s	 time: 0:25:46~0:34:09	 loss: 2.418>1.86	 lr: 4.687e-05 ▲
[4400/10001]	 2.783it/s	 time: 0:26:21~0:33:32	 loss: 2.452>1.855	 lr: 5.912e-05 ▲
[4500/10001]	 2.785it/s	 time: 0:26:56~0:32:55	 loss: 2.431>1.855	 lr: 7.137e-05 ▲
[4600/10001]	 2.786it/s	 time: 0:27:31~0:32:18	 loss: 2.365>1.833	 lr: 8.362e-05 ▲
