****************
timestamp: 2024-04-06 11:16:48.502605
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 65
nca parameter count: 10496
nca isotropic type: 3
loading checkpoint: _checkpoints/rubiks_isoRmat_v0/rubiks_isoRmat_v0_cp20000...
model: rubiks_isoRmat_v0.5
type: 9
channels: 16
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 19, 19, 19]
target.shape: [4, 4, 19, 19, 19]
starting training w/ 20001 epochs...
[100/20001]	 1.087it/s	 time: 0:01:32~5:05:08	 loss: 8.087>6.263	 lr: 3.474e-05 ▲
[200/20001]	 1.026it/s	 time: 0:03:15~5:21:45	 loss: 8.193>6.187	 lr: 5.924e-05 ▲
[300/20001]	 1.024it/s	 time: 0:04:53~5:20:40	 loss: 7.989>6.187	 lr: 8.375e-05 ▲
[400/20001]	 1.039it/s	 time: 0:06:25~5:14:25	 loss: 8.486>6.187	 lr: 0.00010824 ▲
[500/20001]	 1.025it/s	 time: 0:08:08~5:17:12	 loss: 8.418>6.187	 lr: 0.00013275 ▲
[600/20001]	 1.024it/s	 time: 0:09:46~5:15:47	 loss: 8.954>6.187	 lr: 0.00015724 ▲
[700/20001]	 1.028it/s	 time: 0:11:21~5:12:56	 loss: 9.054>6.187	 lr: 0.00018174 ▲
[800/20001]	 1.024it/s	 time: 0:13:01~5:12:24	 loss: 9.675>6.187	 lr: 0.00020625 ▲
[900/20001]	 1.03it/s	 time: 0:14:34~5:09:08	 loss: 9.677>6.187	 lr: 0.00023074 ▲
[1000/20001]	 1.031it/s	 time: 0:16:10~5:07:10	 loss: 10.026>6.187	 lr: 0.00025524 ▲
[1100/20001]	 1.039it/s	 time: 0:17:39~5:03:15	 loss: 8.96>6.187	 lr: 0.00027975 ▲
[1200/20001]	 1.039it/s	 time: 0:19:15~5:01:35	 loss: 7.915>6.187	 lr: 0.00030425 ▲
[1300/20001]	 1.039it/s	 time: 0:20:51~4:59:55	 loss: 12.804>6.187	 lr: 0.00032875 ▲
[1400/20001]	 1.043it/s	 time: 0:22:22~4:57:09	 loss: 14.356>6.187	 lr: 0.00035324 ▲
[1500/20001]	 1.048it/s	 time: 0:23:51~4:54:09	 loss: 12.227>6.187	 lr: 0.00037774 ▲
[1600/20001]	 1.053it/s	 time: 0:25:19~4:51:08	 loss: 11.334>6.187	 lr: 0.00040224 ▲
[1700/20001]	 1.057it/s	 time: 0:26:49~4:48:40	 loss: 14.128>6.187	 lr: 0.00042675 ▲
[1800/20001]	 1.06it/s	 time: 0:28:18~4:46:08	 loss: 12.87>6.187	 lr: 0.00045125 ▲
[1900/20001]	 1.06it/s	 time: 0:29:53~4:44:40	 loss: 14.012>6.187	 lr: 0.00047574 ▲
[2000/20001]	 1.061it/s	 time: 0:31:25~4:42:44	 loss: 15.561>6.187	 lr: 0.00049976 ▲
[2100/20001]	 1.061it/s	 time: 0:33:00~4:41:17	 loss: 12.993>6.187	 lr: 0.00047526 ▼
[2200/20001]	 1.063it/s	 time: 0:34:30~4:39:08	 loss: 12.638>6.187	 lr: 0.00045075 ▼
[2300/20001]	 1.065it/s	 time: 0:35:59~4:36:54	 loss: 12.561>6.187	 lr: 0.00042625 ▼
[2400/20001]	 1.069it/s	 time: 0:37:26~4:34:30	 loss: 11.657>6.187	 lr: 0.00040176 ▼
[2500/20001]	 1.071it/s	 time: 0:38:54~4:32:18	 loss: 13.202>6.187	 lr: 0.00037726 ▼
[2600/20001]	 1.073it/s	 time: 0:40:23~4:30:15	 loss: 11.495>6.187	 lr: 0.00035276 ▼
[2700/20001]	 1.075it/s	 time: 0:41:51~4:28:09	 loss: 12.622>6.187	 lr: 0.00032825 ▼
[2800/20001]	 1.076it/s	 time: 0:43:22~4:26:23	 loss: 14.468>6.187	 lr: 0.00030375 ▼
[2900/20001]	 1.075it/s	 time: 0:44:57~4:25:03	 loss: 11.069>6.187	 lr: 0.00027926 ▼
[3000/20001]	 1.076it/s	 time: 0:46:27~4:23:13	 loss: 9.863>6.187	 lr: 0.00025476 ▼
[3100/20001]	 1.078it/s	 time: 0:47:55~4:21:13	 loss: 9.816>6.187	 lr: 0.00023026 ▼
[3200/20001]	 1.08it/s	 time: 0:49:23~4:19:15	 loss: 8.444>5.858	 lr: 0.00020575 ▼
[3300/20001]	 1.079it/s	 time: 0:50:59~4:18:00	 loss: 7.8>5.185	 lr: 0.00018125 ▼
[3400/20001]	 1.08it/s	 time: 0:52:28~4:16:09	 loss: 7.757>5.185	 lr: 0.00015676 ▼
[3500/20001]	 1.08it/s	 time: 0:54:00~4:14:34	 loss: 7.029>4.981	 lr: 0.00013226 ▼
[3600/20001]	 1.081it/s	 time: 0:55:30~4:12:49	 loss: 6.501>4.611	 lr: 0.00010776 ▼
[3700/20001]	 1.08it/s	 time: 0:57:05~4:11:28	 loss: 6.447>4.57	 lr: 8.325e-05 ▼
[3800/20001]	 1.081it/s	 time: 0:58:36~4:09:49	 loss: 6.241>4.361	 lr: 5.875e-05 ▼
[3900/20001]	 1.081it/s	 time: 1:00:09~4:08:18	 loss: 6.076>4.361	 lr: 3.426e-05 ▼
[4000/20001]	 1.079it/s	 time: 1:01:47~4:07:08	 loss: 5.847>4.316	 lr: 1.012e-05 ▼
[4100/20001]	 1.078it/s	 time: 1:03:22~4:05:44	 loss: 5.728>4.283	 lr: 2.237e-05 ▲
[4200/20001]	 1.079it/s	 time: 1:04:52~4:04:01	 loss: 5.922>4.141	 lr: 3.462e-05 ▲
[4300/20001]	 1.08it/s	 time: 1:06:23~4:02:22	 loss: 6.032>4.141	 lr: 4.687e-05 ▲
[4400/20001]	 1.081it/s	 time: 1:07:52~4:00:37	 loss: 5.878>4.141	 lr: 5.912e-05 ▲
[4500/20001]	 1.081it/s	 time: 1:09:24~3:59:02	 loss: 5.959>4.141	 lr: 7.137e-05 ▲
[4600/20001]	 1.081it/s	 time: 1:10:55~3:57:24	 loss: 6.01>4.141	 lr: 8.362e-05 ▲
[4700/20001]	 1.082it/s	 time: 1:12:25~3:55:44	 loss: 5.871>4.131	 lr: 9.587e-05 ▲
[4800/20001]	 1.082it/s	 time: 1:13:55~3:54:04	 loss: 5.717>4.077	 lr: 0.00010812 ▲
[4900/20001]	 1.083it/s	 time: 1:15:25~3:52:24	 loss: 6.4>4.077	 lr: 0.00012037 ▲
[5000/20001]	 1.083it/s	 time: 1:16:55~3:50:45	 loss: 6.294>4.077	 lr: 0.00013262 ▲
model [rubiks_isoRmat_v0.5_cp5000] saved to _checkpoints...
[5100/20001]	 1.084it/s	 time: 1:18:23~3:49:00	 loss: 6.085>4.077	 lr: 0.00014487 ▲
[5200/20001]	 1.085it/s	 time: 1:19:51~3:47:15	 loss: 5.732>4.077	 lr: 0.00015712 ▲
[5300/20001]	 1.086it/s	 time: 1:21:20~3:45:35	 loss: 6.323>4.077	 lr: 0.00016937 ▲
[5400/20001]	 1.087it/s	 time: 1:22:49~3:43:54	 loss: 6.775>4.077	 lr: 0.00018162 ▲
[5500/20001]	 1.088it/s	 time: 1:24:17~3:42:12	 loss: 6.849>4.077	 lr: 0.00019387 ▲
[5600/20001]	 1.089it/s	 time: 1:25:44~3:40:27	 loss: 6.851>4.077	 lr: 0.00020612 ▲
[5700/20001]	 1.09it/s	 time: 1:27:11~3:38:43	 loss: 6.971>4.077	 lr: 0.00021837 ▲
[5800/20001]	 1.09it/s	 time: 1:28:39~3:37:02	 loss: 6.714>4.077	 lr: 0.00023062 ▲
[5900/20001]	 1.09it/s	 time: 1:30:12~3:35:33	 loss: 7.576>4.077	 lr: 0.00024287 ▲
[6000/20001]	 1.09it/s	 time: 1:31:46~3:34:07	 loss: 6.521>4.077	 lr: 0.00025488 ▲
[6100/20001]	 1.09it/s	 time: 1:33:18~3:32:36	 loss: 6.521>4.077	 lr: 0.00024263 ▼
[6200/20001]	 1.089it/s	 time: 1:34:54~3:31:13	 loss: 6.679>4.077	 lr: 0.00023038 ▼
[6300/20001]	 1.087it/s	 time: 1:36:36~3:30:04	 loss: 6.716>4.077	 lr: 0.00021813 ▼
[6400/20001]	 1.086it/s	 time: 1:38:14~3:28:44	 loss: 6.907>4.077	 lr: 0.00020588 ▼
[6500/20001]	 1.085it/s	 time: 1:39:51~3:27:22	 loss: 5.96>3.941	 lr: 0.00019363 ▼
[6600/20001]	 1.084it/s	 time: 1:41:28~3:26:00	 loss: 6.239>3.941	 lr: 0.00018138 ▼
[6700/20001]	 1.083it/s	 time: 1:43:06~3:24:39	 loss: 5.909>3.941	 lr: 0.00016913 ▼
[6800/20001]	 1.083it/s	 time: 1:44:37~3:23:04	 loss: 5.536>3.713	 lr: 0.00015688 ▼
[6900/20001]	 1.081it/s	 time: 1:46:22~3:21:56	 loss: 5.88>3.713	 lr: 0.00014463 ▼
[7000/20001]	 1.08it/s	 time: 1:47:59~3:20:32	 loss: 5.384>3.713	 lr: 0.00013238 ▼
[7100/20001]	 1.081it/s	 time: 1:49:27~3:18:51	 loss: 5.638>3.713	 lr: 0.00012013 ▼
[7200/20001]	 1.081it/s	 time: 1:50:58~3:17:16	 loss: 5.335>3.591	 lr: 0.00010788 ▼
[7300/20001]	 1.081it/s	 time: 1:52:32~3:15:46	 loss: 5.092>3.565	 lr: 9.563e-05 ▼
[7400/20001]	 1.08it/s	 time: 1:54:13~3:14:28	 loss: 5.472>3.543	 lr: 8.338e-05 ▼
[7500/20001]	 1.08it/s	 time: 1:55:45~3:12:55	 loss: 4.823>3.358	 lr: 7.113e-05 ▼
[7600/20001]	 1.079it/s	 time: 1:57:24~3:11:32	 loss: 4.911>3.358	 lr: 5.888e-05 ▼
[7700/20001]	 1.077it/s	 time: 1:59:07~3:10:16	 loss: 5.166>3.235	 lr: 4.663e-05 ▼
[7800/20001]	 1.076it/s	 time: 2:00:46~3:08:53	 loss: 4.811>3.235	 lr: 3.438e-05 ▼
[7900/20001]	 1.077it/s	 time: 2:02:17~3:07:17	 loss: 4.686>3.235	 lr: 2.213e-05 ▼
[8000/20001]	 1.075it/s	 time: 2:04:03~3:06:04	 loss: 4.688>3.235	 lr: 1.006e-05 ▼
[8100/20001]	 1.074it/s	 time: 2:05:42~3:04:40	 loss: 4.603>3.235	 lr: 1.619e-05 ▲
