****************
timestamp: 2024-02-27 15:00:26.946590
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 60
nca parameter count: 9856
nca isotropic type: 1
training new model from scratch...
model: rubiks_rod_slice_flatiso_v0
type: FLAT_ISO
hidden-seed-info: True
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.857it/s	 time: 0:00:35~0:57:45	 loss: 27.145>1.145	 lr: 3.474e-05 ▲
[200/10001]	 2.985it/s	 time: 0:01:07~0:54:42	 loss: 6.46>0.852	 lr: 5.924e-05 ▲
[300/10001]	 3.0it/s	 time: 0:01:40~0:53:53	 loss: 1.542>0.819	 lr: 8.375e-05 ▲
[400/10001]	 3.008it/s	 time: 0:02:13~0:53:12	 loss: 1.023>0.758	 lr: 0.00010824 ▲
[500/10001]	 3.03it/s	 time: 0:02:45~0:52:15	 loss: 0.839>0.653	 lr: 0.00013275 ▲
[600/10001]	 3.03it/s	 time: 0:03:18~0:51:42	 loss: 0.806>0.622	 lr: 0.00015724 ▲
[700/10001]	 3.043it/s	 time: 0:03:50~0:50:55	 loss: 0.748>0.602	 lr: 0.00018174 ▲
[800/10001]	 3.042it/s	 time: 0:04:23~0:50:24	 loss: 0.689>0.574	 lr: 0.00020625 ▲
[900/10001]	 3.051it/s	 time: 0:04:55~0:49:42	 loss: 0.674>0.549	 lr: 0.00023074 ▲
[1000/10001]	 3.049it/s	 time: 0:05:28~0:49:12	 loss: 0.651>0.538	 lr: 0.00025524 ▲
[1100/10001]	 3.056it/s	 time: 0:06:00~0:48:32	 loss: 0.639>0.538	 lr: 0.00027975 ▲
[1200/10001]	 3.053it/s	 time: 0:06:33~0:48:01	 loss: 0.654>0.523	 lr: 0.00030425 ▲
[1300/10001]	 3.059it/s	 time: 0:07:05~0:47:24	 loss: 0.577>0.496	 lr: 0.00032875 ▲
[1400/10001]	 3.057it/s	 time: 0:07:38~0:46:53	 loss: 0.599>0.487	 lr: 0.00035324 ▲
[1500/10001]	 3.049it/s	 time: 0:08:12~0:46:28	 loss: 0.546>0.451	 lr: 0.00037774 ▲
[1600/10001]	 3.048it/s	 time: 0:08:45~0:45:56	 loss: 0.531>0.43	 lr: 0.00040224 ▲
[1700/10001]	 3.047it/s	 time: 0:09:18~0:45:24	 loss: 0.508>0.394	 lr: 0.00042675 ▲
[1800/10001]	 3.051it/s	 time: 0:09:50~0:44:47	 loss: 0.462>0.361	 lr: 0.00045125 ▲
[1900/10001]	 3.05it/s	 time: 0:10:23~0:44:15	 loss: 0.427>0.275	 lr: 0.00047574 ▲
[2000/10001]	 3.053it/s	 time: 0:10:55~0:43:39	 loss: 0.401>0.221	 lr: 0.00049976 ▲
[2100/10001]	 3.052it/s	 time: 0:11:28~0:43:08	 loss: 0.305>0.174	 lr: 0.00047526 ▼
[2200/10001]	 3.056it/s	 time: 0:12:00~0:42:32	 loss: 0.271>0.132	 lr: 0.00045075 ▼
[2300/10001]	 3.059it/s	 time: 0:12:32~0:41:57	 loss: 0.253>0.116	 lr: 0.00042625 ▼
[2400/10001]	 3.057it/s	 time: 0:13:05~0:41:25	 loss: 0.257>0.106	 lr: 0.00040176 ▼
[2500/10001]	 3.056it/s	 time: 0:13:38~0:40:54	 loss: 0.202>0.089	 lr: 0.00037726 ▼
[2600/10001]	 3.055it/s	 time: 0:14:11~0:40:22	 loss: 0.199>0.088	 lr: 0.00035276 ▼
[2700/10001]	 3.061it/s	 time: 0:14:42~0:39:44	 loss: 0.185>0.085	 lr: 0.00032825 ▼
[2800/10001]	 3.06it/s	 time: 0:15:15~0:39:12	 loss: 0.174>0.08	 lr: 0.00030375 ▼
[2900/10001]	 3.062it/s	 time: 0:15:47~0:38:38	 loss: 0.171>0.077	 lr: 0.00027926 ▼
[3000/10001]	 3.064it/s	 time: 0:16:19~0:38:04	 loss: 0.173>0.076	 lr: 0.00025476 ▼
[3100/10001]	 3.066it/s	 time: 0:16:51~0:37:30	 loss: 0.157>0.074	 lr: 0.00023026 ▼
[3200/10001]	 3.065it/s	 time: 0:17:24~0:36:58	 loss: 0.173>0.072	 lr: 0.00020575 ▼
[3300/10001]	 3.067it/s	 time: 0:17:56~0:36:24	 loss: 0.162>0.072	 lr: 0.00018125 ▼
[3400/10001]	 3.066it/s	 time: 0:18:29~0:35:52	 loss: 0.166>0.071	 lr: 0.00015676 ▼
[3500/10001]	 3.067it/s	 time: 0:19:01~0:35:19	 loss: 0.116>0.07	 lr: 0.00013226 ▼
[3600/10001]	 3.069it/s	 time: 0:19:33~0:34:45	 loss: 0.152>0.068	 lr: 0.00010776 ▼
[3700/10001]	 3.068it/s	 time: 0:20:06~0:34:13	 loss: 0.15>0.066	 lr: 8.325e-05 ▼
[3800/10001]	 3.069it/s	 time: 0:20:38~0:33:39	 loss: 0.166>0.063	 lr: 5.875e-05 ▼
[3900/10001]	 3.071it/s	 time: 0:21:10~0:33:06	 loss: 0.129>0.061	 lr: 3.426e-05 ▼
[4000/10001]	 3.072it/s	 time: 0:21:42~0:32:33	 loss: 0.102>0.058	 lr: 1.012e-05 ▼
[4100/10001]	 3.073it/s	 time: 0:22:14~0:31:59	 loss: 0.128>0.058	 lr: 2.237e-05 ▲
[4200/10001]	 3.072it/s	 time: 0:22:47~0:31:27	 loss: 0.128>0.057	 lr: 3.462e-05 ▲
[4300/10001]	 3.074it/s	 time: 0:23:19~0:30:54	 loss: 0.169>0.057	 lr: 4.687e-05 ▲
[4400/10001]	 3.073it/s	 time: 0:23:52~0:30:22	 loss: 0.126>0.055	 lr: 5.912e-05 ▲
[4500/10001]	 3.074it/s	 time: 0:24:24~0:29:49	 loss: 0.124>0.053	 lr: 7.137e-05 ▲
[4600/10001]	 3.073it/s	 time: 0:24:57~0:29:17	 loss: 0.151>0.051	 lr: 8.362e-05 ▲
[4700/10001]	 3.072it/s	 time: 0:25:30~0:28:45	 loss: 0.151>0.047	 lr: 9.587e-05 ▲
[4800/10001]	 3.073it/s	 time: 0:26:02~0:28:12	 loss: 0.142>0.046	 lr: 0.00010812 ▲
[4900/10001]	 3.074it/s	 time: 0:26:34~0:27:39	 loss: 0.122>0.045	 lr: 0.00012037 ▲
[5000/10001]	 3.073it/s	 time: 0:27:07~0:27:07	 loss: 0.134>0.043	 lr: 0.00013262 ▲
model [rubiks_rod_slice_flatiso_v0_cp5000] saved to _checkpoints...
[5100/10001]	 3.074it/s	 time: 0:27:39~0:26:33	 loss: 0.124>0.043	 lr: 0.00014487 ▲
[5200/10001]	 3.077it/s	 time: 0:28:10~0:25:59	 loss: 0.1>0.042	 lr: 0.00015712 ▲
[5300/10001]	 3.078it/s	 time: 0:28:42~0:25:27	 loss: 0.115>0.04	 lr: 0.00016937 ▲
[5400/10001]	 3.077it/s	 time: 0:29:15~0:24:54	 loss: 0.137>0.039	 lr: 0.00018162 ▲
[5500/10001]	 3.078it/s	 time: 0:29:47~0:24:22	 loss: 0.128>0.037	 lr: 0.00019387 ▲
[5600/10001]	 3.077it/s	 time: 0:30:20~0:23:49	 loss: 0.144>0.035	 lr: 0.00020612 ▲
[5700/10001]	 3.079it/s	 time: 0:30:51~0:23:16	 loss: 0.148>0.035	 lr: 0.00021837 ▲
[5800/10001]	 3.08it/s	 time: 0:31:23~0:22:43	 loss: 0.121>0.035	 lr: 0.00023062 ▲
[5900/10001]	 3.081it/s	 time: 0:31:55~0:22:10	 loss: 0.124>0.035	 lr: 0.00024287 ▲
[6000/10001]	 3.08it/s	 time: 0:32:28~0:21:38	 loss: 0.122>0.033	 lr: 0.00025488 ▲
[6100/10001]	 3.081it/s	 time: 0:33:00~0:21:05	 loss: 0.109>0.033	 lr: 0.00024263 ▼
[6200/10001]	 3.083it/s	 time: 0:33:31~0:20:32	 loss: 0.119>0.033	 lr: 0.00023038 ▼
[6300/10001]	 3.082it/s	 time: 0:34:04~0:20:00	 loss: 0.105>0.033	 lr: 0.00021813 ▼
[6400/10001]	 3.083it/s	 time: 0:34:36~0:19:27	 loss: 0.121>0.033	 lr: 0.00020588 ▼
[6500/10001]	 3.083it/s	 time: 0:35:08~0:18:55	 loss: 0.122>0.031	 lr: 0.00019363 ▼
[6600/10001]	 3.083it/s	 time: 0:35:41~0:18:22	 loss: 0.128>0.031	 lr: 0.00018138 ▼
[6700/10001]	 3.083it/s	 time: 0:36:13~0:17:50	 loss: 0.113>0.03	 lr: 0.00016913 ▼
[6800/10001]	 3.083it/s	 time: 0:36:46~0:17:18	 loss: 0.102>0.03	 lr: 0.00015688 ▼
[6900/10001]	 3.082it/s	 time: 0:37:19~0:16:45	 loss: 0.119>0.029	 lr: 0.00014463 ▼
[7000/10001]	 3.08it/s	 time: 0:37:53~0:16:14	 loss: 0.099>0.028	 lr: 0.00013238 ▼
[7100/10001]	 3.08it/s	 time: 0:38:25~0:15:41	 loss: 0.126>0.027	 lr: 0.00012013 ▼
[7200/10001]	 3.081it/s	 time: 0:38:57~0:15:08	 loss: 0.108>0.027	 lr: 0.00010788 ▼
[7300/10001]	 3.081it/s	 time: 0:39:29~0:14:36	 loss: 0.093>0.027	 lr: 9.563e-05 ▼
[7400/10001]	 3.081it/s	 time: 0:40:02~0:14:03	 loss: 0.091>0.027	 lr: 8.338e-05 ▼
[7500/10001]	 3.08it/s	 time: 0:40:35~0:13:31	 loss: 0.107>0.027	 lr: 7.113e-05 ▼
[7600/10001]	 3.081it/s	 time: 0:41:07~0:12:59	 loss: 0.105>0.027	 lr: 5.888e-05 ▼
[7700/10001]	 3.08it/s	 time: 0:41:40~0:12:26	 loss: 0.084>0.026	 lr: 4.663e-05 ▼
[7800/10001]	 3.079it/s	 time: 0:42:13~0:11:54	 loss: 0.126>0.026	 lr: 3.438e-05 ▼
