****************
timestamp: 2024-02-14 15:29:01.179772
initializing training...
device: cuda
forcing cuDNN initialization...
nca perception channels: 75
nca parameter count: 11776
nca isotropic type: 1
training new model from scratch...
model: rubiks_slice_iso2_v0
type: YAW_ISO_V2
batch-size: 4
pool-size: 32
lr: 0.0005>1e-05 w/ 2000 step
seed.shape: [1, 16, 25, 25, 25]
target.shape: [4, 4, 25, 25, 25]
starting training w/ 10001 epochs...
[100/10001]	 2.778it/s	 time: 0:00:36~0:59:24	 loss: 3.125>1.261	 lr: 3.474e-05 ▲
[200/10001]	 2.778it/s	 time: 0:01:12~0:58:48	 loss: 2.17>1.149	 lr: 5.924e-05 ▲
[300/10001]	 2.804it/s	 time: 0:01:47~0:57:39	 loss: 2.0>1.147	 lr: 8.375e-05 ▲
[400/10001]	 2.74it/s	 time: 0:02:26~0:58:24	 loss: 1.927>1.101	 lr: 0.00010824 ▲
[500/10001]	 2.618it/s	 time: 0:03:11~1:00:29	 loss: 4.064>1.094	 lr: 0.00013275 ▲
[600/10001]	 2.542it/s	 time: 0:03:56~1:01:37	 loss: 1.25>1.094	 lr: 0.00015724 ▲
[700/10001]	 2.491it/s	 time: 0:04:41~1:02:13	 loss: 1.255>1.081	 lr: 0.00018174 ▲
[800/10001]	 2.469it/s	 time: 0:05:24~1:02:06	 loss: 1.211>1.081	 lr: 0.00020625 ▲
[900/10001]	 2.439it/s	 time: 0:06:09~1:02:11	 loss: 1.205>1.073	 lr: 0.00023074 ▲
[1000/10001]	 2.41it/s	 time: 0:06:55~1:02:15	 loss: 2.233>1.073	 lr: 0.00025524 ▲
[1100/10001]	 2.397it/s	 time: 0:07:39~1:01:53	 loss: 1.168>1.073	 lr: 0.00027975 ▲
[1200/10001]	 2.376it/s	 time: 0:08:25~1:01:43	 loss: 1.09>0.99	 lr: 0.00030425 ▲
[1300/10001]	 2.364it/s	 time: 0:09:10~1:01:20	 loss: 1.047>0.973	 lr: 0.00032875 ▲
